,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Ohio St. ,B10,33.47,125,91.5,63.8,0.031,8.82,-4.08,1,34,3,0.918918919
1,Duke ,ACC,28.42,119.7,91.3,68.6,0.017,8.43,3.48,1,32,5,0.864864865
2,Kansas ,B12,28.38,118.9,90.6,68.4,0.06,7.75,-0.29,1,35,3,0.921052632
3,Pittsburgh ,BE,27.08,120.6,93.5,61.8,-0.023,8.17,-3.68,1,28,6,0.823529412
4,Texas ,B12,25.93,115.5,89.6,65.5,-0.058,7.61,0.6,4,28,8,0.777777778
5,Wisconsin ,B10,25.84,122.3,96.5,56.9,-0.003,10.81,-3.58,4,25,9,0.735294118
6,Kentucky ,SEC,25.82,117.8,92,65,-0.044,9.81,4.46,4,29,9,0.763157895
7,San Diego St. ,MWC,24.98,114.1,89.1,62.3,0.059,7.48,4.1,2,34,3,0.918918919
8,Purdue ,B10,24.79,115.9,91.1,66,0.007,10.16,1.21,3,26,8,0.764705882
9,Connecticut ,BE,23.93,115.8,91.9,64.5,0.048,12.78,-0.77,3,32,9,0.780487805
10,Notre Dame ,BE,23.25,120.9,97.7,63.1,0.074,9.92,-3.83,2,27,7,0.794117647
11,BYU ,MWC,23.22,117.5,94.3,70.2,0.055,7.04,3.59,3,32,5,0.864864865
12,Syracuse ,BE,22.49,114.9,92.4,64.6,0.032,9.03,-2.31,3,27,8,0.771428571
13,Louisville ,BE,22.26,111.4,89.2,66.8,-0.037,8.77,-5.13,4,25,10,0.714285714
14,North Carolina ,ACC,22.18,111.8,89.6,70.6,0.064,11.14,6.01,2,29,8,0.783783784
15,Washington ,P10,21.69,117.7,96,69.9,-0.099,7.21,1.07,7,24,11,0.685714286
16,Florida ,SEC,20.61,115.8,95.2,62.5,0.038,7.73,1.55,2,29,8,0.783783784
17,Illinois ,B10,20.14,113.3,93.1,64.8,-0.074,12.29,3.15,9,20,14,0.588235294
18,West Virginia ,BE,20.11,114.9,94.8,62.5,-0.018,12.7,7.1,5,21,12,0.636363636
19,Arizona ,P10,19.65,117.4,97.8,65.3,0.064,7.69,-0.36,5,30,8,0.789473684
20,Cincinnati ,BE,19.41,111.1,91.7,62.6,0.04,6.23,-9.35,6,26,9,0.742857143
21,Utah St. ,WAC,19.32,111.2,91.8,62.4,0.033,-0.29,-2.4,12,30,4,0.882352941
22,Belmont ,ASun,18.48,112.6,94.1,68.4,-0.006,-4.71,-1.05,13,30,5,0.857142857
23,George Mason ,CAA,18.3,114.1,95.8,64.5,0.028,2.06,0.66,8,27,7,0.794117647
24,Clemson ,ACC,18.16,109.6,91.5,63.9,-0.087,6.99,-2.81,12,22,12,0.647058824
25,Marquette ,BE,18.14,115.5,97.3,66.2,-0.058,11.06,-5.91,11,22,15,0.594594595
26,Villanova ,BE,17.83,114.9,97,65,-0.04,9.07,-0.79,9,21,12,0.636363636
27,UNLV ,MWC,17.75,110.6,92.9,66.4,0.003,5.99,1.85,8,24,9,0.727272727
28,Michigan ,B10,17.69,112.8,95.1,61.5,-0.014,12,-1.19,8,21,14,0.6
29,Georgetown ,BE,17.65,114.2,96.6,63.4,0.048,12.51,5.8,6,21,11,0.65625
30,Kansas St. ,B12,17.42,111.1,93.6,66.4,0.01,9.23,0.73,5,23,11,0.676470588
31,Vanderbilt ,SEC,17.33,116.6,99.2,66.1,-0.05,6.66,2.52,5,23,11,0.676470588
32,Temple ,A10,16.84,110.5,93.7,64.2,0.014,4.04,5.83,7,26,8,0.764705882
33,Florida St. ,ACC,16.76,104.5,87.7,66.7,-0.017,7.01,-1.82,10,23,11,0.676470588
34,Butler ,Horz,16.46,112.3,95.9,63.5,0.033,6.11,6.67,8,28,10,0.736842105
35,Gonzaga ,WCC,16.45,112.1,95.6,66.1,-0.007,3.82,4.5,11,25,10,0.714285714
36,Xavier ,A10,16.02,112.8,96.8,64.3,0.035,4.49,6.02,6,24,8,0.75
37,Richmond ,A10,16.01,112.6,96.5,62.1,0.052,3.11,1,12,29,8,0.783783784
38,St. John's ,BE,15.87,111.2,95.3,66,0.047,10.98,1.69,6,21,12,0.636363636
39,Missouri ,B12,15.54,113.4,97.8,70.7,-0.013,6.5,-4.76,11,23,11,0.676470588
40,Michigan St. ,B10,15.08,109.5,94.4,65,0.01,13.7,6.7,10,19,15,0.558823529
41,Penn St. ,B10,14.88,113.1,98.3,59.4,0.037,12.46,-0.62,10,19,15,0.558823529
42,Old Dominion ,CAA,14.66,110,95.4,60.4,0.059,2.38,2.76,9,27,7,0.794117647
43,Texas A&M ,B12,14.62,110,95.4,60.9,0.05,5.43,-7.5,7,24,9,0.727272727
44,UCLA ,P10,13.57,108.7,95.1,65.5,0.033,6.92,0.26,7,23,11,0.676470588
45,VCU ,CAA,13.49,112,98.5,65.6,0.021,4.79,2.26,11,28,12,0.7
46,Oakland ,Sum,13.31,118.6,105.3,71.1,0.021,2.01,14.82,13,25,10,0.714285714
47,USC ,P10,13.29,107.9,94.6,61.7,-0.05,7.56,2.66,11,19,15,0.558823529
