,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
48,Tennessee ,SEC,12.41,108,95.6,66.1,-0.013,9.07,6.45,9,19,15,0.558823529
49,Georgia ,SEC,12.24,108.2,95.9,63.5,-0.003,5.83,-0.69,10,21,12,0.636363636
50,UAB ,CUSA,11.64,108.8,97.2,61.8,0.025,2.16,-2.02,12,22,9,0.709677419
51,Princeton ,Ivy,9.09,107.2,98.1,62.6,0.091,-0.72,0.33,13,25,7,0.78125
52,Wofford ,SC,8.17,112.3,104.2,63.2,-0.024,-0.59,6.96,14,21,13,0.617647059
53,Morehead St. ,OVC,7.01,105.6,98.6,63.4,0.023,-2.89,2.66,13,25,10,0.714285714
54,Memphis ,CUSA,6.98,104.5,97.6,67.6,0.117,2.11,-4.74,12,25,10,0.714285714
55,Bucknell ,Pat,6.57,105.8,99.2,64.5,0.068,-3.41,1.56,14,25,9,0.735294118
56,Indiana St. ,MVC,5.45,102.8,97.4,65,0.051,3.4,2.76,14,20,14,0.588235294
57,LIU Brooklyn ,NEC,5.43,109.6,104.2,73.3,0.053,-6.02,-5.31,15,27,6,0.818181818
58,Akron ,MAC,4.09,103.7,99.6,65.9,0.043,-1.7,-0.43,15,23,13,0.638888889
59,Northern Colorado ,BSky,4.05,106.3,102.2,66.6,0.023,-2.41,2.87,15,21,11,0.65625
60,UC Santa Barbara ,BW,3.15,103.7,100.5,64.1,0.002,0.29,6.12,15,18,14,0.5625
61,Saint Peter's ,MAAC,2.73,95.2,92.5,64.1,0.073,0.88,4.62,14,20,14,0.588235294
62,UNC Asheville ,BSth,1.91,101.9,100,67.4,-0.011,-3.97,7.07,16,20,14,0.588235294
63,Boston University ,AE,-0.5,103.4,103.9,62.6,0.045,-4.62,0.49,16,21,14,0.6
64,Hampton ,MEAC,-4.21,94.4,98.7,66.1,0.108,-10.7,-4.84,16,24,9,0.727272727
65,Arkansas Little Rock ,SB,-4.53,101.1,105.6,64.1,0.032,-3.85,0.85,16,19,17,0.527777778
66,UTSA ,Slnd,-5.32,101.8,107.1,66.7,0.085,-5.71,-1.85,16,20,14,0.588235294
67,Alabama St. ,SWAC,-13.19,92.8,106,63.6,0.032,-11.26,6.29,16,17,18,0.485714286
