Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Villanova 2,BE,35-5,32.01,122.8,90.8,66,0.023,10.74,2.98
North Carolina 1,ACC,33-7,29.82,124.4,94.6,70.5,-0.055,11.45,3.13
Kansas 1,B12,33-5,29.67,120,90.4,69,0.044,12.61,3.62
Virginia 1,ACC,29-8,29.64,120.6,91,61.3,-0.04,12.67,4.98
Michigan St. 2,B10,29-6,27.97,123.4,95.5,66.5,-0.012,7.19,0.4
Kentucky 4,SEC,27-9,25.14,121.8,96.6,67.4,-0.046,8.37,3.19
Louisville,ACC,23-8,24.68,113.4,88.8,66.1,-0.025,7.49,-7.4
West Virginia 3,B12,26-9,24.45,115.3,90.9,69.5,0.003,11.24,0.72
Purdue 5,B10,26-9,23.85,116.9,93.1,67.9,-0.046,7.43,-2.67
Oklahoma 2,B12,29-8,23.78,117.9,94.1,69.8,0.082,13.05,2.7
Indiana 5,B10,27-8,23.05,121.7,98.7,68.2,0,6.4,-3.12
Oregon 1,P12,31-7,22.68,119.1,96.4,68.1,0.041,9.06,1.04
Wichita St. 11,MVC,26-9,22.53,111.3,88.7,66,-0.079,3.61,6.45
Xavier 2,BE,28-6,22.52,117.1,94.6,71.9,0.047,8.16,1.73
Miami FL 3,ACC,27-8,22.44,119.4,96.9,65.9,0.077,11.67,2.63
SMU,Amer,25-5,21.98,119.3,97.3,65.8,0.014,3.37,-1.06
Duke 4,ACC,25-11,21.87,121.9,100,67.7,-0.026,11.23,3.52
Texas A&M 3,SEC,28-9,21.26,113.8,92.5,67.1,0.006,8.48,3.15
Arizona 6,P12,25-9,20.97,116.8,95.8,68.3,-0.038,6.66,-3.66
Iowa St. 4,B12,23-12,20.95,121.2,100.3,71.2,-0.062,12.05,2.54
Gonzaga 11,WCC,28-8,20.82,116.3,95.5,67.3,-0.038,3.51,6.12
Maryland 5,B10,27-9,20.25,116.2,95.9,67.4,0.016,8.6,-1.86
Iowa 7,B10,22-11,20.24,116.1,95.9,68.8,-0.071,9.12,1.28
Baylor 5,B12,22-12,19.06,118.9,99.8,66.6,-0.012,11.21,-3.12
Vanderbilt 11,SEC,19-14,18.76,113.6,94.9,67.8,-0.106,8.6,3.68
Connecticut 9,Amer,25-11,18.71,111.9,93.2,65.9,-0.036,6.17,-0.91
Syracuse 10,ACC,23-14,18.57,112.7,94.1,65,-0.027,10.21,-0.82
California 4,P12,23-11,18.32,112.5,94.2,68.1,-0.053,7.65,-2.58
Seton Hall 6,BE,25-9,18.27,111.1,92.9,69.7,0.016,8.55,-2.92
