,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Duke ,ACC,33.29,121,87.7,64.7,0.009,11.53,2.5,1,35,5,0.875
1,Kansas ,B12,31.85,120.4,88.5,67.2,0.038,9.53,1.13,1,33,3,0.9166666666666666
2,Syracuse ,BE,27.62,118.5,90.9,68.7,-0.008,8.62,-2.96,1,30,5,0.8571428571428571
3,Kentucky ,SEC,26.54,114.9,88.3,68.3,0.06,7.06,-1.28,1,35,3,0.9210526315789473
4,West Virginia ,BE,25.54,117.2,91.7,62.6,0.057,12.58,5.45,2,31,7,0.8157894736842105
5,Kansas St. ,B12,25.52,116.1,90.6,69.4,-0.008,11.99,2.37,2,29,8,0.7837837837837838
6,Ohio St. ,B10,24.99,117.5,92.5,64.6,0.007,7.88,-2.92,2,29,8,0.7837837837837838
7,Baylor ,B12,24.95,119.2,94.3,64.5,-0.021,10.59,-2.79,3,28,8,0.7777777777777778
8,Wisconsin ,B10,23.56,115.2,91.6,59.2,-0.013,8.69,1.01,4,24,9,0.7272727272727273
9,BYU ,MWC,23.27,117.3,94,71.1,0.012,3.88,-0.03,7,30,6,0.8333333333333334
10,Georgetown ,BE,22.64,116.8,94.2,65.8,-0.035,11.55,3.35,3,23,11,0.6764705882352942
11,Butler ,Horz,22.45,111,88.5,63,0.032,6.85,11.11,5,33,5,0.868421052631579
12,Maryland ,ACC,22.37,118.3,95.9,68.7,-0.023,8.87,-4.35,4,24,9,0.7272727272727273
13,California ,P10,22.15,119.6,97.4,67.1,-0.043,9.03,8.46,8,24,11,0.6857142857142857
14,Purdue ,B10,22.05,109.8,87.7,66.2,0.07,8.81,-1.26,4,29,6,0.8285714285714286
15,Texas A&M ,B12,21.33,112.6,91.2,64.3,-0.005,11.51,0.15,5,24,10,0.7058823529411765
16,Villanova ,BE,21.24,117.2,96,71.2,0.025,10.03,-0.91,2,25,8,0.7575757575757576
17,Xavier ,A10,20.87,115.5,94.6,68.9,0.01,8.04,7.27,6,26,9,0.7428571428571429
18,Texas ,B12,20.75,113.9,93.1,71.5,-0.014,9.01,-1.32,8,24,10,0.7058823529411765
