,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
19,Michigan St. ,B10,20.13,112.8,92.7,65.3,0.027,9.03,-0.94,5,28,9,0.7567567567567568
20,Temple ,A10,20.12,107.8,87.7,60.4,0.076,6.07,5.68,5,29,6,0.8285714285714286
21,Missouri ,B12,19.99,111.5,91.5,68.8,-0.035,8.17,-6.1,10,23,11,0.6764705882352942
22,Utah St. ,WAC,19.9,116,96.1,59.8,-0.026,1.81,0.16,12,27,8,0.7714285714285715
23,Marquette ,BE,19.65,115.1,95.5,62.3,-0.064,9.05,-6.52,6,22,12,0.6470588235294118
24,Clemson ,ACC,19.28,110.9,91.6,67.6,-0.041,8.76,-2.85,7,21,11,0.65625
25,Northern Iowa ,MVC,18.87,109.6,90.8,58.9,0.034,4.08,-1.58,9,30,5,0.8571428571428571
26,Pittsburgh ,BE,18.66,111.4,92.8,61.3,0.041,7.87,-2.76,3,25,9,0.7352941176470589
27,Saint Mary's ,WCC,18.59,116.5,97.9,66.2,0.038,2.72,1.18,10,28,6,0.8235294117647058
28,Tennessee ,SEC,18.5,108.9,90.4,67.5,0.082,8.67,-0.48,6,28,9,0.7567567567567568
29,Georgia Tech ,ACC,18.22,109.2,91,68.2,-0.034,10.94,-2.46,10,23,13,0.6388888888888888
30,Washington ,P10,18.19,111.7,93.6,71.7,0.029,6.97,1.13,11,26,10,0.7222222222222222
31,Florida St. ,ACC,18.02,105,87,65.3,0.009,9.01,-2.88,9,22,10,0.6875
32,Minnesota ,B10,17.97,112,94.1,65.6,-0.055,8.37,-3.72,11,21,14,0.6
33,Notre Dame ,BE,17.71,119.4,101.7,62.4,-0.068,6.28,-9.08,6,23,12,0.6571428571428571
34,Vanderbilt ,SEC,17.54,113.7,96.2,68.7,0.019,8.14,1.5,4,24,9,0.7272727272727273
35,Old Dominion ,CAA,17.51,107.8,90.3,62.6,0.009,3.17,6.16,11,27,9,0.75
36,Louisville ,BE,16.91,114.5,97.6,66.3,-0.038,8.87,-1.62,9,20,13,0.6060606060606061
37,Oklahoma St. ,B12,16.72,112.2,95.4,66.2,0.011,8.47,-4.33,7,22,11,0.6666666666666666
38,San Diego St. ,MWC,16.58,111.4,94.9,63.1,0.006,5.4,2.24,11,25,9,0.7352941176470589
39,UNLV ,MWC,16.56,110.6,94,66.3,-0.013,4.08,0.67,8,25,9,0.7352941176470589
40,UTEP ,CUSA,16.53,107.7,91.2,67.9,0.024,2.62,-4.26,12,26,7,0.7878787878787878
41,New Mexico ,MWC,16.18,113.6,97.4,67.4,0.096,4.09,1.85,3,30,5,0.8571428571428571
42,Gonzaga ,WCC,16.14,112.3,96.1,67.5,0.079,3.42,4.43,8,27,7,0.7941176470588235
43,Cornell ,Ivy,15.92,117.4,101.5,63.9,0.068,-0.66,4.12,12,29,5,0.8529411764705882
44,Florida ,SEC,15.23,113,97.8,63.9,-0.061,7.75,-1.96,10,21,13,0.6176470588235294
45,Murray St. ,OVC,15.06,109,94,65.6,-0.011,-5.78,-5.24,13,31,5,0.8611111111111112
46,Richmond ,A10,15.01,108.8,93.8,62.5,0.047,5.7,2.39,7,26,9,0.7428571428571429
47,Wake Forest ,ACC,14.12,107.1,93,68.7,0.067,10.51,-0.82,9,20,11,0.6451612903225806
48,Siena ,MAAC,13.86,109.4,95.5,69.2,0.027,-0.51,3.22,13,27,7,0.7941176470588235
49,Wofford ,SC,10.12,104.6,94.4,63.5,-0.023,-1.55,4.23,13,26,9,0.7428571428571429
50,Houston ,CUSA,8.79,112,103.2,71.1,-0.083,3.76,0.68,13,19,16,0.5428571428571428
51,Ohio ,MAC,8.25,107.3,99,68.8,-0.068,0.76,-0.9,14,22,15,0.5945945945945946
52,Montana ,BSky,8.08,106.5,98.4,62,-0.042,-2.21,-0.86,14,22,10,0.6875
53,Sam Houston St. ,Slnd,7.42,110.2,102.7,69.3,0.052,-3.33,4.67,14,25,8,0.7575757575757576
54,New Mexico St. ,WAC,6.03,111.6,105.5,70.3,0.122,4.03,2.09,12,22,12,0.6470588235294118
55,Oakland ,Sum,3.19,107.5,104.3,69.5,0.173,-2.75,10.65,14,26,9,0.7428571428571429
56,Vermont ,AE,3.08,104.1,101,66.1,0.068,-6.32,-3.11,16,25,10,0.7142857142857143
57,East Tennessee St. ,ASun,2.47,100.9,98.4,66.8,-0.004,-1.26,8.97,16,20,15,0.5714285714285714
58,UC Santa Barbara ,BW,2.11,100,97.9,66.3,0.125,-1.0,3.46,15,20,10,0.6666666666666666
59,Morgan St. ,MEAC,1.58,105.5,104,68.6,0.078,-7.71,0.13,15,27,10,0.7297297297297297
60,North Texas ,SB,-0.47,103.4,103.8,67.4,0.113,-5.87,-2.96,15,24,9,0.7272727272727273
61,Robert Morris ,NEC,-0.97,99.9,100.8,66.1,0.074,-7.18,3.47,15,23,12,0.6571428571428571
62,Lehigh ,Pat,-0.97,105.6,106.6,68.9,0.018,-10.02,-8.95,16,22,11,0.6666666666666666
63,Winthrop ,BSth,-5.63,90.7,96.3,64,0.049,-7.35,6.9,16,19,14,0.5757575757575758
64,Arkansas Pine Bluff ,SWAC,-6.44,93.1,99.5,65.1,0.053,-7.62,17.98,16,18,16,0.5294117647058824
