Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Kentucky 1,SEC,38-1,36.91,121.3,84.4,62.4,0.048,8.58,3.13
Wisconsin 1,B10,36-4,33.72,129,95.2,58.7,0.015,11.03,5.3
Duke 1,ACC,35-4,32.48,124.5,92,65.8,0.067,11.17,1.31
Arizona 2,P12,34-4,32.36,119.9,87.5,65.8,-0.033,7.37,0.09
Villanova 1,BE,33-3,30.65,122.7,92,64.2,0.031,7.67,0.23
Virginia 2,ACC,30-4,30.06,115.6,85.5,58,0.023,8.21,0.46
Gonzaga 2,WCC,35-3,27.78,121.7,93.9,64.7,0.018,4.37,3
Utah 5,P12,26-9,27.24,116.4,89.2,60.5,-0.054,8.19,0.6
Notre Dame 3,ACC,32-6,24.96,125.4,100.4,63.4,0.062,7.59,-11.62
North Carolina 4,ACC,26-12,23.85,119.1,95.3,69.2,-0.026,12.76,7.64
Oklahoma 3,B12,24-11,22.8,112.5,89.7,66.7,-0.045,11,1.05
Kansas 2,B12,27-9,22.72,114.5,91.8,67,0.07,13.17,9.57
Wichita St. 7,MVC,30-5,22.21,115.8,93.6,62.3,0.022,3.24,3.44
Baylor 3,B12,24-10,22.14,116.6,94.5,61.5,-0.035,10.22,-0.51
Michigan St. 7,B10,27-12,21.72,116.6,94.9,63.1,-0.017,10.49,-0.88
Iowa St. 3,B12,25-9,21.49,119,97.5,69.6,0.005,10.59,-1.18
Louisville 4,ACC,27-9,21.21,110.2,88.9,64.6,0.027,9.69,-2.36
Northern Iowa 5,MVC,31-4,20.98,116.3,95.3,58.2,0.018,1.42,0.61
Ohio St. 10,B10,24-11,20.75,115.6,94.8,65.2,-0.043,6.76,-7.41
Butler 6,BE,23-11,20.09,110.2,90.1,63.2,-0.023,9.72,0.69
Xavier 6,BE,23-14,19.49,116.6,97.1,65,-0.062,10.29,2.07
Georgetown 4,BE,22-11,19.13,114.3,95.1,64,0,10.23,3.24
Iowa 7,B10,22-12,19.02,114.2,95.1,63.7,-0.007,8.58,-1.58
Texas 11,B12,20-14,18.94,112.4,93.4,62,-0.079,9.52,-2.47
