,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Louisville ,BE,32.92,117.7,84.8,65.8,-0.016,10.23,2.15,1,35,5,0.875
1,Florida ,SEC,31.18,117.2,86,61.9,-0.089,7.0,4.09,3,29,8,0.7837837837837838
2,Indiana ,B10,29.31,120.8,91.5,66,-0.021,8.86,-5.16,1,29,7,0.8055555555555556
3,Michigan ,B10,27.86,121.9,94,64,-0.007,11.13,-3.09,4,31,8,0.7948717948717948
4,Gonzaga ,WCC,27.81,120.5,92.7,63.3,0.026,4.37,5.03,1,32,3,0.9142857142857143
5,Duke ,ACC,26.98,119.1,92.1,66.7,0.033,9.95,6.85,2,30,6,0.8333333333333334
6,Ohio St. ,B10,25.42,115.1,89.7,63.6,0.02,10.18,-5.53,2,29,8,0.7837837837837838
7,Kansas ,B12,25.23,112.7,87.5,66.4,0.01,7.05,2.64,1,31,6,0.8378378378378378
8,Syracuse ,BE,24.83,113.1,88.3,63.1,-0.004,9.46,-4.44,4,30,10,0.75
9,Michigan St. ,B10,24.17,112.6,88.5,63.1,0.001,11.91,-0.75,3,27,9,0.75
10,Pittsburgh ,BE,24.08,115.6,91.5,59.3,-0.058,4.52,-9.69,8,24,9,0.7272727272727273
11,Wisconsin ,B10,22.57,108.3,85.7,60.4,-0.033,11.08,-3.2,5,23,12,0.6571428571428571
12,Miami FL ,ACC,22.37,113.6,91.3,61.9,0.028,8.41,4.96,2,29,7,0.8055555555555556
13,Arizona ,P12,21.88,115.4,93.5,65.5,-0.012,7.99,1.45,6,27,8,0.7714285714285715
14,Creighton ,MVC,21.75,118.3,96.5,63.8,-0.009,5.73,1.63,7,28,8,0.7777777777777778
15,Georgetown ,BE,21.24,107.6,86.4,61.2,0.038,7.42,-6.15,2,25,7,0.78125
16,Wichita St. ,MVC,20.31,111.8,91.5,63.8,-0.002,6.71,0.17,9,30,9,0.7692307692307693
17,VCU ,A10,20.28,114,93.7,66.4,0.002,5.09,-0.22,5,27,9,0.75
18,Saint Louis ,A10,20.01,108.6,88.6,63.8,0,3.91,-3.98,4,28,7,0.8
19,Minnesota ,B10,19.85,114.8,95,62.3,-0.036,11.22,2.07,11,21,13,0.6176470588235294
