Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Louisville 4,Amer,31-6,30.41,118.9,88.5,67.2,-0.045,4.31,-4.65
Arizona 1,P12,33-5,30.11,116.5,86.4,62.8,0.014,9.3,1.62
Florida 1,SEC,36-3,28.57,116.5,88,61.3,0.053,9.02,2.39
Virginia 1,ACC,30-7,26.46,114.8,88.3,59.5,0.012,8.67,1.57
Wisconsin 2,B10,30-8,25.89,122,96.1,62.4,0.019,11.44,3.33
Wichita St. 1,MVC,35-1,25.36,117.8,92.4,63.5,-0.009,1.04,2.89
Kansas 2,B12,25-10,24.6,119.3,94.7,66.6,-0.051,12.13,9.47
Duke 3,ACC,26-9,24.25,124.7,100.4,64.6,-0.035,8.76,2.4
Michigan St. 4,B10,29-9,23.92,118.6,94.7,64.4,-0.003,10.44,0.57
Tennessee 11,SEC,24-13,23.69,117.9,94.2,61.6,-0.099,8.12,1.46
Villanova 2,BE,29-5,23.68,116.3,92.6,66,0.075,7.47,2.61
Michigan 2,B10,28-9,23.44,123.9,100.5,61,0.047,11.65,0.62
Kentucky 8,SEC,29-11,22.55,118.3,95.8,64,-0.025,10.73,4.19
UCLA 4,P12,28-9,22.53,118.7,96.1,68.4,-0.019,7.63,-3.26
Connecticut 7,Amer,32-8,22.13,113.6,91.5,63.2,0.08,9.43,0.91
Pittsburgh 9,ACC,26-10,21.89,116.9,95,62.2,-0.038,7.62,-3.66
Creighton 3,BE,27-8,21.72,124.2,102.5,63.6,0.024,7.5,1.31
Syracuse 3,ACC,28-6,21.62,114.6,93,59.6,0.016,7.23,-1.01
Ohio St. 6,B10,25-10,21.3,109.3,88,64,-0.043,7.8,-3.36
Iowa St. 3,B12,28-8,21.07,118.9,97.8,70.2,0.064,10.77,1.44
Oklahoma St. 9,B12,21-13,20.98,115.9,95,67.2,-0.11,9.06,-1.15
Iowa 11,B10,20-13,20.44,120.2,99.8,68.6,-0.116,8.35,-6.19
San Diego St. 4,MWC,31-5,20.38,110.4,90,62.3,0.067,5.18,2.71
Gonzaga 8,WCC,29-7,20.14,114,93.8,65,0.016,5.05,2.2
VCU 5,A10,26-9,19.8,109.2,89.4,68.9,-0.058,5.45,1.33
Baylor 6,B12,26-12,19.39,118.9,99.5,61.3,0.012,10.31,-0.36
Cincinnati 5,Amer,27-7,19.24,109.7,90.4,61.1,0.036,4.72,-4.57
Oregon 7,P12,24-10,19.02,118.9,99.9,67.5,-0.037,7.39,-1.18
