Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Duke 1,ACC,35-5,33.29,121,87.7,64.7,0.009,11.53,2.5
Kansas 1,B12,33-3,31.85,120.4,88.5,67.2,0.038,9.53,1.13
Syracuse 1,BE,30-5,27.62,118.5,90.9,68.7,-0.008,8.62,-2.96
Kentucky 1,SEC,35-3,26.54,114.9,88.3,68.3,0.06,7.06,-1.28
West Virginia 2,BE,31-7,25.54,117.2,91.7,62.6,0.057,12.58,5.45
Kansas St. 2,B12,29-8,25.52,116.1,90.6,69.4,-0.008,11.99,2.37
Ohio St. 2,B10,29-8,24.99,117.5,92.5,64.6,0.007,7.88,-2.92
Baylor 3,B12,28-8,24.95,119.2,94.3,64.5,-0.021,10.59,-2.79
Wisconsin 4,B10,24-9,23.56,115.2,91.6,59.2,-0.013,8.69,1.01
BYU 7,MWC,30-6,23.27,117.3,94,71.1,0.012,3.88,-0.03
Georgetown 3,BE,23-11,22.64,116.8,94.2,65.8,-0.035,11.55,3.35
Butler 5,Horz,33-5,22.45,111,88.5,63,0.032,6.85,11.11
Maryland 4,ACC,24-9,22.37,118.3,95.9,68.7,-0.023,8.87,-4.35
California 8,P10,24-11,22.15,119.6,97.4,67.1,-0.043,9.03,8.46
Purdue 4,B10,29-6,22.05,109.8,87.7,66.2,0.07,8.81,-1.26
Texas A&M 5,B12,24-10,21.33,112.6,91.2,64.3,-0.005,11.51,0.15
Villanova 2,BE,25-8,21.24,117.2,96,71.2,0.025,10.03,-0.91
Xavier 6,A10,26-9,20.87,115.5,94.6,68.9,0.01,8.04,7.27
Texas 8,B12,24-10,20.75,113.9,93.1,71.5,-0.014,9.01,-1.32
Michigan St. 5,B10,28-9,20.13,112.8,92.7,65.3,0.027,9.03,-0.94
Temple 5,A10,29-6,20.12,107.8,87.7,60.4,0.076,6.07,5.68
Missouri 10,B12,23-11,19.99,111.5,91.5,68.8,-0.035,8.17,-6.1
Utah St. 12,WAC,27-8,19.9,116,96.1,59.8,-0.026,1.81,0.16
Marquette 6,BE,22-12,19.65,115.1,95.5,62.3,-0.064,9.05,-6.52
Clemson 7,ACC,21-11,19.28,110.9,91.6,67.6,-0.041,8.76,-2.85
Northern Iowa 9,MVC,30-5,18.87,109.6,90.8,58.9,0.034,4.08,-1.58
Pittsburgh 3,BE,25-9,18.66,111.4,92.8,61.3,0.041,7.87,-2.76
Saint Mary's 10,WCC,28-6,18.59,116.5,97.9,66.2,0.038,2.72,1.18
Tennessee 6,SEC,28-9,18.5,108.9,90.4,67.5,0.082,8.67,-0.48
Georgia Tech 10,ACC,23-13,18.22,109.2,91,68.2,-0.034,10.94,-2.46
Washington 11,P10,26-10,18.19,111.7,93.6,71.7,0.029,6.97,1.13
Florida St. 9,ACC,22-10,18.02,105,87,65.3,0.009,9.01,-2.88
Minnesota 11,B10,21-14,17.97,112,94.1,65.6,-0.055,8.37,-3.72
Notre Dame 6,BE,23-12,17.71,119.4,101.7,62.4,-0.068,6.28,-9.08
Vanderbilt 4,SEC,24-9,17.54,113.7,96.2,68.7,0.019,8.14,1.5
Old Dominion 11,CAA,27-9,17.51,107.8,90.3,62.6,0.009,3.17,6.16
Louisville 9,BE,20-13,16.91,114.5,97.6,66.3,-0.038,8.87,-1.62
Oklahoma St. 7,B12,22-11,16.72,112.2,95.4,66.2,0.011,8.47,-4.33
San Diego St. 11,MWC,25-9,16.58,111.4,94.9,63.1,0.006,5.4,2.24
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
UNLV 8,MWC,25-9,16.56,110.6,94,66.3,-0.013,4.08,0.67
UTEP 12,CUSA,26-7,16.53,107.7,91.2,67.9,0.024,2.62,-4.26
New Mexico 3,MWC,30-5,16.18,113.6,97.4,67.4,0.096,4.09,1.85
Gonzaga 8,WCC,27-7,16.14,112.3,96.1,67.5,0.079,3.42,4.43
Cornell 12,Ivy,29-5,15.92,117.4,101.5,63.9,0.068,-0.66,4.12
Florida 10,SEC,21-13,15.23,113,97.8,63.9,-0.061,7.75,-1.96
Murray St. 13,OVC,31-5,15.06,109,94,65.6,-0.011,-5.78,-5.24
Richmond 7,A10,26-9,15.01,108.8,93.8,62.5,0.047,5.7,2.39
Miami FL,ACC,20-13,14.79,112.2,97.4,65.3,-0.069,6.02,-11.44
VCU,CAA,27-9,14.39,113.2,98.8,68.2,-0.016,0.84,-0.39
Wake Forest 9,ACC,20-11,14.12,107.1,93,68.7,0.067,10.51,-0.82
Siena 13,MAAC,27-7,13.86,109.4,95.5,69.2,0.027,-0.51,3.22
Alabama,SEC,17-15,12.55,107.9,95.3,64.2,-0.099,6.75,-0.93
Wright St.,Horz,20-12,12.1,108.6,96.5,61.8,-0.047,1.93,1.97
Michigan,B10,15-17,11.48,107.4,95.9,61.8,-0.079,9.27,2.62
Iowa St.,B12,15-17,11.09,107.2,96.1,67.5,-0.081,9.52,-3.7
Boston College,ACC,15-16,10.87,110.7,99.8,64.1,-0.086,8.22,-5.29
Missouri St.,MVC,24-12,10.85,111.8,100.9,64.5,-0.05,1.07,-4.44
Virginia,ACC,15-16,10.76,108,97.2,61.7,-0.067,8.38,-5.39
USC,P10,16-14,10.63,96.7,86.1,62.2,-0.043,6.53,1.54
Portland,WCC,21-11,10.28,110.6,100.4,63.1,0.02,2.15,2.98
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Marshall,CUSA,24-10,10.18,110.1,99.9,68.5,0.022,1.63,-1.18
Wofford 13,SC,26-9,10.12,104.6,94.4,63.5,-0.023,-1.55,4.23
South Carolina,SEC,15-16,9.06,106.5,97.4,68.7,-0.037,8.69,1.22
Arizona,P10,16-15,8.83,108.4,99.5,67.6,0.027,8.32,6.93
Houston 13,CUSA,19-16,8.79,112,103.2,71.1,-0.083,3.76,0.68
Providence,BE,19-Dec,8.7,116,107.3,73.3,-0.111,9.6,-2.05
Georgia,SEC,14-17,8.68,109.8,101.1,64.1,-0.021,9.32,1.89
Colorado,B12,15-16,8.63,113.1,104.5,67,-0.036,9.38,-3.9
Nebraska,B12,15-18,8.28,107,98.7,62.8,-0.067,8.03,-8.83
Ohio 14,MAC,22-15,8.25,107.3,99,68.8,-0.068,0.76,-0.9
Montana 14,BSky,22-10,8.08,106.5,98.4,62,-0.042,-2.21,-0.86
Charlotte,A10,19-12,7.91,108.7,100.8,67.1,0.068,3.85,-0.61
Pacific,BW,23-12,7.84,106.2,98.3,60.2,0.011,-0.53,1.48
Saint Louis,A10,23-13,7.72,100.1,92.4,62.4,0.039,3.2,-4.13
Southern Miss,CUSA,20-14,7.6,103.7,96.1,61,-0.051,2.64,-3.1
Sam Houston St. 14,Slnd,25-8,7.42,110.2,102.7,69.3,0.052,-3.33,4.67
Penn St.,B10,20-Nov,7.04,107.9,100.8,62.2,-0.14,7.55,-8.17
Morehead St.,OVC,24-11,7,105.1,98.1,64.7,-0.017,-4.33,1.84
Auburn,SEC,15-17,6.98,109.9,102.9,69,-0.075,5.52,-3.37
Oklahoma,B12,13-18,6.98,110.2,103.2,65.3,-0.037,9.92,-1.19
Stanford,P10,14-18,6.75,106.5,99.7,66.3,-0.047,6.91,0.15
IUPUI,Sum,25-11,6.34,108.5,102.2,64.7,0.014,-2.81,6.88
Appalachian St.,SC,24-13,6.18,110.1,104,65.3,0.012,-1.96,2.75
Iona,MAAC,21-10,6.11,100.1,94,64.7,0.04,-0.81,0.37
Harvard,Ivy,21-8,6.06,107.5,101.4,67,0.051,-4.12,0.21
New Mexico St. 12,WAC,22-12,6.03,111.6,105.5,70.3,0.122,4.03,2.09
Louisiana Tech,WAC,24-11,5.99,105.4,99.4,67.6,0.109,1.15,-3.87
Bradley,MVC,16-15,5.69,106.3,100.6,64.9,0.016,4.53,0.99
Washington St.,P10,16-15,5.67,108.2,102.5,66.1,-0.021,4.44,-6.16
Creighton,MVC,18-16,5.56,107.8,102.2,65.5,-0.014,3.19,-0.98
UCLA,P10,14-18,5.48,106.4,100.9,64.3,-0.016,7.01,1.15
Fairfield,MAAC,23-11,5.36,106.7,101.3,65.7,0.045,-1.59,-7.06
Arkansas,SEC,14-18,5.3,105.9,100.6,69.7,-0.075,5.5,-2.77
Princeton,Ivy,22-9,5.29,98.6,93.3,58.7,0.008,-5.24,-4.42
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Akron,MAC,24-11,5.2,105.3,100.1,65.1,0.047,-1.52,-4.29
George Washington,A10,16-15,5.15,103.4,98.3,67,-0.044,2.48,-4.3
Southern Illinois,MVC,15-15,5.14,106.1,101,66.2,-0.086,1.79,-5.92
Utah,MWC,14-17,4.86,102.9,98,64.8,-0.063,4.05,-0.37
Northern Colorado,BSky,25-8,4.82,105.5,100.7,66.8,0.025,-4.94,-7.64
Detroit,Horz,20-14,4.58,101,96.4,67.5,-0.009,-0.68,-6.43
Western Kentucky,SB,21-13,4.39,105.9,101.5,64.5,-0.019,-2.84,4.17
Niagara,MAAC,18-15,4.06,105.7,101.6,68,-0.062,-0.51,-0.54
Oregon,P10,16-16,3.99,105.8,101.8,65.7,0.009,5.1,-5.66
Milwaukee,Horz,20-14,3.89,105.5,101.6,66.3,0.032,1.07,-0.14
Hofstra,CAA,19-15,3.77,101.1,97.4,69.2,-0.001,0,-0.84
