Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
Ohio St. 1,B10,34-3,33.47,125,91.5,63.8,0.031,8.82,-4.08
Duke 1,ACC,32-5,28.42,119.7,91.3,68.6,0.017,8.43,3.48
Kansas 1,B12,35-3,28.38,118.9,90.6,68.4,0.06,7.75,-0.29
Pittsburgh 1,BE,28-6,27.08,120.6,93.5,61.8,-0.023,8.17,-3.68
Texas 4,B12,28-8,25.93,115.5,89.6,65.5,-0.058,7.61,0.6
Wisconsin 4,B10,25-9,25.84,122.3,96.5,56.9,-0.003,10.81,-3.58
Kentucky 4,SEC,29-9,25.82,117.8,92,65,-0.044,9.81,4.46
San Diego St. 2,MWC,34-3,24.98,114.1,89.1,62.3,0.059,7.48,4.1
Purdue 3,B10,26-8,24.79,115.9,91.1,66,0.007,10.16,1.21
Connecticut 3,BE,32-9,23.93,115.8,91.9,64.5,0.048,12.78,-0.77
Notre Dame 2,BE,27-7,23.25,120.9,97.7,63.1,0.074,9.92,-3.83
BYU 3,MWC,32-5,23.22,117.5,94.3,70.2,0.055,7.04,3.59
Syracuse 3,BE,27-8,22.49,114.9,92.4,64.6,0.032,9.03,-2.31
Louisville 4,BE,25-10,22.26,111.4,89.2,66.8,-0.037,8.77,-5.13
North Carolina 2,ACC,29-8,22.18,111.8,89.6,70.6,0.064,11.14,6.01
Washington 7,P10,24-11,21.69,117.7,96,69.9,-0.099,7.21,1.07
Florida 2,SEC,29-8,20.61,115.8,95.2,62.5,0.038,7.73,1.55
Illinois 9,B10,20-14,20.14,113.3,93.1,64.8,-0.074,12.29,3.15
West Virginia 5,BE,21-12,20.11,114.9,94.8,62.5,-0.018,12.7,7.1
Arizona 5,P10,30-8,19.65,117.4,97.8,65.3,0.064,7.69,-0.36
Cincinnati 6,BE,26-9,19.41,111.1,91.7,62.6,0.04,6.23,-9.35
Utah St. 12,WAC,30-4,19.32,111.2,91.8,62.4,0.033,-0.29,-2.4
Belmont 13,ASun,30-5,18.48,112.6,94.1,68.4,-0.006,-4.71,-1.05
George Mason 8,CAA,27-7,18.3,114.1,95.8,64.5,0.028,2.06,0.66
Clemson 12,ACC,22-12,18.16,109.6,91.5,63.9,-0.087,6.99,-2.81
Marquette 11,BE,22-15,18.14,115.5,97.3,66.2,-0.058,11.06,-5.91
Villanova 9,BE,21-12,17.83,114.9,97,65,-0.04,9.07,-0.79
UNLV 8,MWC,24-9,17.75,110.6,92.9,66.4,0.003,5.99,1.85
Michigan 8,B10,21-14,17.69,112.8,95.1,61.5,-0.014,12,-1.19
Georgetown 6,BE,21-11,17.65,114.2,96.6,63.4,0.048,12.51,5.8
Kansas St. 5,B12,23-11,17.42,111.1,93.6,66.4,0.01,9.23,0.73
Vanderbilt 5,SEC,23-11,17.33,116.6,99.2,66.1,-0.05,6.66,2.52
Temple 7,A10,26-8,16.84,110.5,93.7,64.2,0.014,4.04,5.83
Florida St. 10,ACC,23-11,16.76,104.5,87.7,66.7,-0.017,7.01,-1.82
Butler 8,Horz,28-10,16.46,112.3,95.9,63.5,0.033,6.11,6.67
Gonzaga 11,WCC,25-10,16.45,112.1,95.6,66.1,-0.007,3.82,4.5
Xavier 6,A10,24-8,16.02,112.8,96.8,64.3,0.035,4.49,6.02
Richmond 12,A10,29-8,16.01,112.6,96.5,62.1,0.052,3.11,1
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
St. John's 6,BE,21-12,15.87,111.2,95.3,66,0.047,10.98,1.69
Missouri 11,B12,23-11,15.54,113.4,97.8,70.7,-0.013,6.5,-4.76
Maryland,ACC,19-14,15.27,109.7,94.4,69.6,-0.091,5.82,-4.93
Michigan St. 10,B10,19-15,15.08,109.5,94.4,65,0.01,13.7,6.7
Penn St. 10,B10,19-15,14.88,113.1,98.3,59.4,0.037,12.46,-0.62
Old Dominion 9,CAA,27-7,14.66,110,95.4,60.4,0.059,2.38,2.76
Texas A&M 7,B12,24-9,14.62,110,95.4,60.9,0.05,5.43,-7.5
UCLA 7,P10,23-11,13.57,108.7,95.1,65.5,0.033,6.92,0.26
VCU 11,CAA,28-12,13.49,112,98.5,65.6,0.021,4.79,2.26
Duquesne,A10,19-13,13.36,108,94.7,70.9,-0.149,2.17,-0.08
Oakland 13,Sum,25-10,13.31,118.6,105.3,71.1,0.021,2.01,14.82
USC 11,P10,19-15,13.29,107.9,94.6,61.7,-0.05,7.56,2.66
Minnesota,B10,17-14,13.15,110.5,97.4,64.9,-0.018,9.94,-0.82
Seton Hall,BE,13-18,12.93,104.4,91.5,67.6,-0.117,10.81,2.97
Tennessee 9,SEC,19-15,12.41,108,95.6,66.1,-0.013,9.07,6.45
Georgia 10,SEC,21-12,12.24,108.2,95.9,63.5,-0.003,5.83,-0.69
UAB 12,CUSA,22-9,11.64,108.8,97.2,61.8,0.025,2.16,-2.02
Iona,MAAC,25-12,11.61,113.6,102,68.3,-0.086,-1.5,1.3
Southern Miss,CUSA,22-10,10.21,112,101.8,64.5,-0.025,1.6,-3.56
Rutgers,BE,15-17,9.49,108.6,99.1,62.5,-0.051,8.47,-5.31
Princeton 13,Ivy,25-7,9.09,107.2,98.1,62.6,0.091,-0.72,0.33
Baylor,B12,18-13,9.04,107.1,98.1,64.9,-0.044,3.6,-8.92
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Iowa St.,B12,16-16,8.78,108.1,99.4,69,-0.095,4.15,-9.59
Indiana,B10,20-Dec,8.57,110.3,101.7,64.6,-0.141,9.1,-9.03
Boise St.,WAC,22-13,8.22,108.2,100,67.3,-0.038,0.02,-2.85
Wofford 14,SC,21-13,8.17,112.3,104.2,63.2,-0.024,-0.59,6.96
Marshall,CUSA,22-12,7.99,108.6,100.6,66.7,-0.013,1.42,-3.2
Providence,BE,15-17,7.25,110.1,102.8,71.4,-0.045,6.53,-7.82
North Carolina St.,ACC,15-16,7.19,109.9,102.7,65.9,-0.021,7.05,-4.26
Iowa,B10,20-Nov,7.12,103.9,96.8,66.6,-0.117,9.95,-4.08
Morehead St. 13,OVC,25-10,7.01,105.6,98.6,63.4,0.023,-2.89,2.66
Memphis 12,CUSA,25-10,6.98,104.5,97.6,67.6,0.117,2.11,-4.74
