Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Gonzaga 1,WCC,37-2,32.05,118.4,86.3,70.1,0.02,2.99,1.01
Villanova 1,BE,32-4,29.88,122.4,92.5,64.1,0.01,9.33,3.55
North Carolina 1,ACC,33-7,28.22,120.7,92.5,71.3,0.037,12.49,3.87
Kentucky 2,SEC,32-6,27.72,119.1,91.4,72,0.006,10.98,3.74
Florida 4,SEC,27-9,27.5,116.9,89.5,69,-0.041,12.46,8.19
Kansas 1,B12,31-5,27.45,121.9,94.5,70.2,0.067,12.43,2.39
West Virginia 4,B12,28-9,27.17,116.5,89.4,69.9,-0.043,10.84,-7.97
Wichita St. 10,MVC,31-5,26.14,118.7,92.6,68,-0.021,1.5,-0.32
Louisville 2,ACC,25-9,25.51,117.2,91.7,67.9,-0.023,11.14,4.2
Oregon 3,P12,33-6,25.02,118.2,93.2,67,0.034,8.05,0.51
SMU 6,Amer,30-5,24.73,119.8,95,63.5,0.003,3.25,-0.92
Virginia 5,ACC,23-11,24.29,112.2,88,59.2,-0.03,11.68,2.29
Baylor 3,B12,27-8,24.23,117.1,92.9,63.7,0.023,13.08,1.67
Duke 2,ACC,28-9,24.17,121,96.8,68.3,0.014,11.43,0.03
Saint Mary's 7,WCC,29-5,23.67,118.7,95,60.2,0.03,0.41,-4.13
UCLA 3,P12,31-5,23.63,124,100.4,72.6,0.021,5.17,-4.66
Iowa St. 5,B12,24-11,23.45,119.7,96.3,68.4,-0.019,14.05,-0.74
Arizona 2,P12,32-5,23.31,118.4,95.1,66,0.046,7.13,1.69
Purdue 4,B10,27-8,23.12,117,93.9,69.1,0.016,9,-2.38
Michigan 7,B10,26-12,23.05,122.3,99.2,63.1,-0.025,10.76,-0.53
Wisconsin 8,B10,27-10,22.99,115.1,92.1,63.4,-0.003,10,-1.29
Oklahoma St. 10,B12,20-13,22.48,126,103.5,70.4,-0.071,14.42,3.07
Cincinnati 6,Amer,30-6,22.18,114.9,92.8,63.5,0.026,4.17,-0.47
South Carolina 7,SEC,26-11,20.8,108.9,88.1,68.6,-0.005,10.63,1.93
Butler 4,BE,25-9,20.76,117.7,97,65.9,0.002,10.81,5.12
Florida St. 3,ACC,26-9,20.06,115.5,95.5,71.3,0.039,8.82,-3.95
Notre Dame 5,ACC,26-10,19.74,118.1,98.4,67,0.024,10.24,-3.85
Creighton 6,BE,25-10,18.83,115.3,96.5,71.2,0.004,8.97,-1.24
Kansas St. 11,B12,21-14,17.44,113,95.6,66.2,-0.029,11.56,-5.31
Xavier 11,BE,24-14,16.7,115.7,99,67.2,0.044,11.73,5.32
Marquette 10,BE,19-13,16.58,120.8,104.2,70.1,-0.058,9.03,-2.16
Vanderbilt 9,SEC,19-16,16.53,112.4,95.9,65.8,-0.048,11.43,6.3
Rhode Island 11,A10,25-10,16.26,111.5,95.2,66.4,-0.033,4.27,1.62
Arkansas 8,SEC,26-10,16.25,116.1,99.8,69.7,0.086,8.37,-1.55
Wake Forest 11,ACC,19-14,16.25,120.9,104.7,70.7,-0.043,10.54,4.51
Minnesota 5,B10,24-10,16,109.7,93.7,69.5,0.022,8.09,-1.81
Northwestern 8,B10,24-12,15.81,111.3,95.5,65.6,0.019,8.32,-3.23
Dayton 7,A10,24-8,15.57,111.9,96.3,68.4,-0.021,3.64,2.53
Michigan St. 9,B10,20-15,15.51,111.4,95.9,66.9,-0.011,10.99,4.01
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Texas Tech,B12,18-14,15.11,112.6,97.5,63.8,-0.082,7.89,-11.69
Miami FL 8,ACC,21-12,15.03,109.9,94.9,63,0.031,9.39,-4.48
Middle Tennessee 12,CUSA,31-5,14.95,112.2,97.2,64.6,0.011,-0.93,3.86
Maryland 6,B10,24-9,14.34,113.1,98.7,67.2,0.061,7.74,-1.1
VCU 10,A10,26-9,14.07,110.1,96,68.8,0.026,3.65,0.91
Virginia Tech 9,ACC,22-11,13.8,117.3,103.5,68.4,0.053,8.23,-7.98
Seton Hall 9,BE,21-12,13.63,109.4,95.8,67.5,0.058,9.65,-2.11
USC 11,P12,26-10,13.45,114.2,100.7,68.7,0.079,5.49,-3.37
Nevada 12,MWC,28-7,13.31,114.6,101.3,69.7,0.055,1.29,-1.12
Tennessee,SEC,16-16,12.62,110.1,97.5,69.4,-0.053,11.2,6.58
Princeton 12,Ivy,23-7,12.61,109,96.4,63.2,0.007,-1.08,2.17
UNC Wilmington 12,CAA,29-6,12.46,118,105.5,70.3,0.039,0.4,2.17
Providence 11,BE,20-13,12.43,108.5,96,66.2,0.014,7.9,-4.48
Vermont 13,AE,29-6,11.67,111.1,99.4,64.5,0.053,-4.42,1.65
Texas A&M,SEC,16-15,11.49,108.7,97.3,64.5,-0.042,7.97,-1.94
Oklahoma,B12,20-Nov,11.49,107.4,95.9,70,-0.102,14.13,1.16
East Tennessee St. 13,SC,27-8,11.1,108,96.9,70.1,0.005,-1.17,0.38
Georgetown,BE,14-18,10.72,108.4,97.7,68.6,-0.102,9.68,1.85
Texas,B12,22-Nov,10.51,104.2,93.7,67.6,-0.105,13.92,1.81
Ohio St.,B10,17-15,10.2,111.2,101,68,-0.054,6.78,-4.55
Bucknell 13,Pat,26-9,9.38,109.7,100.3,70,0.006,-3.62,0.89
San Diego St.,MWC,19-14,8.99,104,95.1,64.9,-0.101,0.95,-1.88
Pittsburgh,ACC,16-17,8.72,112.4,103.7,65.4,0.044,10.42,0.08
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Auburn,SEC,18-14,8.52,111.9,103.3,73.6,0.045,6.99,1.35
New Mexico St. 14,WAC,28-6,7.89,110.5,102.6,67.9,0.063,-4.52,-4.82
Davidson,A10,17-15,7.7,108.4,100.7,68.5,-0.031,4.23,1.87
Penn St.,B10,15-18,7.3,104.5,97.2,70.4,-0.013,8.52,0.43
Mississippi St.,SEC,16-16,7.27,106.6,99.3,68.9,-0.032,5.29,-6.24
St. Bonaventure,A10,20-12,7.23,109,101.8,68.8,-0.027,0.05,-4.39
Louisiana Tech,CUSA,23-10,7.06,107.9,100.9,68.5,-0.062,-5.77,-6.32
Saint Peter's,MAAC,23-13,6.67,102.5,95.9,61.3,-0.024,-2.64,-2.34
Connecticut,Amer,16-17,6.53,105.2,98.7,65,-0.047,5.67,5.25
Loyola Chicago,MVC,18-14,6.45,108.9,102.5,65.8,-0.104,-0.5,-4.35
St. John's,BE,14-19,6.26,109,102.7,73.3,-0.039,9.18,-2.77
Memphis,Amer,19-13,6.02,107,101,68.4,0.026,1.65,-4.46
Stanford,P12,14-17,5.91,104.8,98.9,68.3,-0.008,8.53,6.04
Ohio,MAC,20-11,5.73,105.6,99.9,70.4,-0.072,-2.9,-6.82
Furman,SC,23-12,5.21,107,101.7,66.1,0.01,-1.5,0.19
Nebraska,B10,19-Dec,5.14,105,99.8,68.1,0.011,11.37,6.66
Florida Gulf Coast 14,ASun,26-8,5.07,109.4,104.4,65.9,0.037,-4.8,2.14
North Carolina St.,ACC,15-17,4.98,112.6,107.6,70.3,0.019,7.58,-6.15
UNC Asheville,BSth,23-10,4.85,107.4,102.5,68.3,0.012,-4.96,6.43
San Francisco,WCC,20-13,4.74,102.8,98,69.1,0.008,-1.24,-5.69
Harvard,Ivy,18-10,4.73,106.7,101.9,67,-0.07,-2.82,-0.82
Winthrop 13,BSth,26-7,4.53,106.1,101.6,71.1,0.029,-7.13,1.93
Chattanooga,SC,19-12,4.32,106.6,102.3,65.5,-0.01,-1.12,2.21
Lehigh,Pat,20-12,4.23,107.5,103.3,69.6,-0.034,-2.53,3.52
Towson,CAA,20-13,4.22,105.5,101.2,67.9,-0.009,-0.59,-1.51
Iona 14,MAAC,22-13,4.2,110.8,106.6,70.6,0.013,-1.94,-0.05
Temple,Amer,16-16,3.93,108.3,104.3,67.1,0.015,3.27,0.71
New Mexico,MWC,17-14,3.44,106.5,103.1,68.8,0.024,2.14,-1.32
Old Dominion,CUSA,19-12,3.44,100.7,97.2,61.1,-0.013,-2.4,1.5
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Buffalo,MAC,17-15,3.14,105.3,102.2,71.4,-0.053,-0.41,2.55
George Mason,A10,20-14,3.14,107.3,104.2,68.8,0.027,0.53,-3.55
Arkansas St.,SB,20-12,2.99,106.3,103.3,67.3,0.022,-1.48,3.26
Santa Clara,WCC,17-16,2.81,105.5,102.7,62.6,-0.014,0.38,-4.47
Arizona St.,P12,15-18,2.81,111.9,109.1,70,0.035,6.49,-1.06
Wyoming,MWC,23-15,2.78,104.8,102,72.9,-0.004,-1.08,-2.1
Toledo,MAC,17-17,2.69,108.8,106.1,66.4,-0.081,-0.96,0.52
Albany,AE,21-14,2.66,107.5,104.9,64.2,-0.038,-5.16,-2
Utah St.,MWC,15-17,2.42,106.9,104.5,66.6,-0.066,1.99,-0.45
Georgia St.,SB,20-13,2.4,103.9,101.5,68.6,0.014,-1.27,2.23
George Washington,A10,20-15,2.32,107.7,105.3,65.8,0.067,1.38,-1.71
William & Mary,CAA,17-14,2.28,111.9,109.7,70.9,-0.003,0.51,1.05
Missouri St.,MVC,17-16,2.27,108.3,106,66.2,-0.055,-0.26,-6.25
Rutgers,B10,15-18,2.23,101.5,99.3,66.2,0.006,6.7,-9.39
Elon,CAA,18-14,2.19,104.4,102.2,67.8,-0.021,-0.77,-1.75
Troy 15,SB,22-15,2.04,109.7,107.6,68.1,-0.023,-2.86,-6.78
Northern Kentucky 15,Horz,24-11,1.91,106.8,104.9,68,0.073,-3.35,-2.55
La Salle,A10,15-15,1.8,110.6,108.7,68.7,0.028,2.18,1.13
Kent St. 14,MAC,22-14,1.68,104.9,103.3,68.3,0.024,-1.92,-5.91
Wofford,SC,16-17,1.54,109.9,108.4,66.7,-0.067,0.9,6.75
Tulsa,Amer,15-17,1.44,104.3,102.9,68.2,0.055,4.59,2.08
Mercer,SC,15-17,1.37,109.6,108.2,61.7,-0.064,0.1,3.55
Louisiana Lafayette,SB,21-12,1.29,111.1,109.8,72.2,0.034,-2.71,-4.27
Utah Valley,WAC,17-17,1.25,101,99.7,73,-0.085,-1.13,1.42
Eastern Michigan,MAC,16-17,1.2,106.1,104.9,68.1,-0.078,0.58,5.08
Marshall,CUSA,20-15,1.13,110.8,109.7,77.6,0.027,-1.36,0.72
Southern Illinois,MVC,17-16,1.09,104.8,103.7,65.4,0.047,1.18,-2.95
Yale,Ivy,18-11,1.01,106.2,105.2,68.2,0.055,-2.03,-1.36
Grand Canyon,WAC,22-9,0.97,101.6,100.6,68.9,0.078,-5.95,-7.8
Fort Wayne,Sum,20-13,0.84,108.8,108,71.6,-0.025,-3.36,-4.33
Evansville,MVC,16-17,0.83,104.1,103.2,66.8,-0.024,1.09,-2.4
Rice,CUSA,23-12,0.73,107.8,107.1,72.7,-0.028,-5.44,-6.25
Missouri,SEC,24-Aug,0.64,101.5,100.9,68,-0.16,6.83,-5.07
Jacksonville St. 15,OVC,20-15,0.63,105.8,105.2,63.6,0.028,-1.68,0.61
Massachusetts,A10,15-18,0.63,100.6,100,71.9,-0.042,0.85,-4.53
Northeastern,CAA,15-16,0.63,107,106.4,66.1,-0.014,0.9,2.41
Tennessee St.,OVC,17-13,0.59,100.3,99.7,67,-0.016,-2.29,3.55
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
North Carolina Central 16,MEAC,25-9,0.36,102.2,101.9,66.7,-0.055,-12.44,-0.66
Western Michigan,MAC,16-16,0.36,107.1,106.8,67.9,-0.016,-0.54,1.99
Washington,P12,22-Sep,0.34,107.7,107.4,71.1,-0.103,6.87,-2.27
Wright St.,Horz,20-12,0.34,106.5,106.2,69,0.056,-2.21,0.85
Lipscomb,ASun,20-13,0.3,107.3,107,74.2,-0.017,-4.59,1.17
Samford,SC,20-16,0.26,107.8,107.5,68.6,-0.036,-2.56,-3.56
North Dakota St.,Sum,19-11,0.19,104.6,104.4,66.7,0.081,-1.93,0.5
North Dakota 15,BSky,22-10,0.04,103.6,103.5,71.5,0.048,-5.66,3.24
