Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Northern Iowa,MVC,14-16,0.01,97.6,97.6,63.5,0.054,4.51,7.99
Siena,MAAC,17-17,-0.16,106.2,106.3,68.7,-0.009,-1.16,5.47
Penn,Ivy,13-15,-0.2,102.6,102.8,66.7,-0.054,-1.68,0.2
LSU,SEC,21-Oct,-0.25,109.7,109.9,71.9,0.008,9.25,2.91
Boston College,ACC,23-Sep,-0.27,103.9,104.2,71.1,-0.032,8.18,-6.42
Texas St.,SB,22-14,-0.36,101.3,101.7,62.3,0.016,-4.36,-7.98
Loyola Marymount,WCC,15-15,-0.4,103,103.4,67.2,0.025,-0.07,-5.03
Nebraska Omaha,Sum,18-14,-0.4,108.6,109,73.8,0.086,-0.59,4.11
Texas A&M Corpus Chris,Slnd,24-12,-0.49,102.8,103.3,68.8,0.062,-6,2.4
New Orleans 16,Slnd,20-12,-0.52,101.3,101.8,66.2,0.046,-5.29,8.32
Weber St.,BSky,20-14,-0.54,108.5,109,67,-0.03,-4.67,1.43
Ball St.,MAC,21-13,-0.62,104.7,105.3,71.1,0.041,-3.92,-10.95
Gardner Webb,BSth,19-14,-0.76,102.7,103.5,70.8,-0.041,-5.65,4.28
New Hampshire,AE,20-12,-0.8,102.3,103.2,65.4,0.063,-4.58,-0.5
DePaul,BE,23-Sep,-1.05,103.5,104.5,67.7,-0.069,6.99,-7.12
Saint Joseph's,A10,20-Nov,-1.05,102.2,103.3,68.4,-0.032,3.35,3.33
South Dakota St. 16,Sum,18-17,-1.19,110.2,111.4,67.2,0.029,-0.59,1.66
Eastern Washington,BSky,22-12,-1.25,109.6,110.8,66.7,0.082,-5.14,2.16
Canisius,MAAC,18-16,-1.27,108.7,109.9,69.6,0.005,-2.77,-1.07
Hofstra,CAA,15-17,-1.35,111.1,112.4,67.7,-0.034,-1.44,-2.82
Denver,Sum,16-14,-1.41,107.7,109.2,66.8,-0.007,-3.65,-4.94
Green Bay,Horz,18-14,-1.45,102,103.4,74,0.032,-2.88,-0.33
East Carolina,Amer,15-18,-1.49,97,98.5,66.9,0.013,0.53,-10.91
Boston University,Pat,18-14,-1.68,101.7,103.4,69.6,0.003,-4.1,-0.77
Washington St.,P12,13-18,-1.73,104.4,106.1,67.7,0.067,6.36,-3.03
Montana,BSky,16-16,-2.06,106.1,108.2,66.7,-0.05,-4.94,0.79
Georgia Southern,SB,18-15,-2.08,105.2,107.3,68.5,0.049,-1.26,1.82
UAB,CUSA,17-16,-2.52,103.9,106.4,66.1,-0.008,-2.45,0.08
Murray St.,OVC,16-17,-2.61,107.2,109.8,68.7,-0.087,-4.05,0.01
IUPUI,Sum,14-18,-2.76,107,109.8,69.3,-0.036,-0.64,3.64
Indiana St.,MVC,20-Nov,-2.78,99.6,102.3,69.7,-0.009,2.47,1.71
UTEP,CUSA,15-17,-2.93,99.7,102.7,66.3,-0.035,-3.51,-2.74
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
UMBC,AE,21-13,-2.97,107.9,110.9,71,0.029,-6.24,-3.41
Fordham,A10,13-19,-3.05,97,100,64.3,-0.023,0.87,-3.14
Morehead St.,OVC,14-16,-3.06,106.7,109.8,68.7,-0.005,-1,4.42
Fairfield,MAAC,16-15,-3.3,99.8,103.1,69.2,0.038,-2.85,-2.55
Northern Illinois,MAC,15-17,-3.47,98.9,102.4,66.8,-0.038,-2.5,-5.54
Navy,Pat,16-16,-3.47,99.9,103.4,64.2,-0.012,-4.19,-3.3
Coastal Carolina,SB,20-19,-3.56,101.8,105.4,68.8,0.05,-1.39,1.16
Rider,MAAC,18-15,-3.7,100.9,104.6,72.2,0.047,-4.42,-6.04
Mount St. Mary's 16,NEC,20-16,-3.86,99.5,103.4,66.8,0.074,-4.49,11.52
Tennessee Martin,OVC,22-13,-3.92,106.7,110.6,67.5,0.118,-4.47,-2.34
Liberty,BSth,21-14,-3.93,99.9,103.8,62.7,0.037,-6.25,2.89
Texas Southern 16,SWAC,23-12,-4.04,103.5,107.5,68.6,0.125,-8.49,12.68
Stony Brook,AE,18-14,-4.1,101.8,105.9,65.9,0.05,-5.85,-3.28
San Jose St.,MWC,14-16,-4.1,100.4,104.5,70.8,0.077,1.21,-4.42
Holy Cross,Pat,15-17,-4.23,98.7,102.9,60.4,0.022,-3,0.22
Idaho,BSky,19-14,-4.23,101.8,106,66.5,0.031,-5.98,-1.34
Bradley,MVC,13-20,-4.29,98.4,102.7,67.7,0.018,2.4,0.41
UC Davis 16,BW,23-13,-4.41,97.8,102.2,68.9,0.131,-5.31,-0.94
UMKC,WAC,18-17,-4.42,103,107.4,70.7,0.065,-1.63,0.61
Eastern Illinois,OVC,14-15,-4.83,100.1,105,68.6,-0.049,-4.96,-3.33
Houston Baptist,Slnd,17-14,-5.08,105.2,110.2,70.3,0.052,-3.5,13.67
Air Force,MWC,21-Dec,-5.22,104.3,109.5,67.1,-0.065,0.29,-6.1
James Madison,CAA,23-Oct,-5.31,98.8,104.1,64,-0.065,-0.84,-2.9
Duquesne,A10,22-Oct,-5.32,101.9,107.3,70,-0.075,-1.27,-8.24
Long Beach St.,BW,15-19,-5.48,104.6,110.1,69.5,0.036,-1.65,12.57
Lamar,Slnd,19-15,-5.58,103.1,108.7,68.1,-0.014,-7.05,-3.82
Loyola MD,Pat,16-17,-5.82,98.4,104.2,66.2,0.067,-3.12,0.14
Southeast Missouri St.,OVC,15-18,-5.87,103.4,109.3,68.6,-0.038,-4.43,-2.94
Central Michigan,MAC,16-16,-6.01,111.6,117.6,75.3,0.053,-2.21,-5.47
Army,Pat,13-19,-6.04,98.6,104.7,71.4,-0.063,-4.56,-3.96
Southeastern Louisiana,Slnd,16-16,-6.06,97.8,103.9,67.1,-0.054,-7.56,-3.61
Western Kentucky,CUSA,15-17,-6.15,103,109.1,65.8,0.048,-3.19,-3.64
Stephen F. Austin,Slnd,18-15,-6.19,96.7,102.9,66.3,0.04,-5.65,1.84
Sam Houston St.,Slnd,21-13,-6.19,97.2,103.4,70,0.101,-6.44,2.7
Columbia,Ivy,16-Nov,-6.26,101.1,107.3,68.9,-0.022,-3.35,-4
Oral Roberts,Sum,22-Aug,-6.3,104.4,110.7,69.1,-0.077,1.85,8.64
Charlotte,CUSA,13-17,-6.35,103.1,109.5,72.8,0.033,-2.08,1.69
Illinois Chicago,Horz,17-19,-6.4,101.1,107.5,72.1,0.014,-4.16,-5.26
Portland St.,BSky,15-16,-6.5,104.3,110.8,72.6,-0.057,-6.52,-0.17
Montana St.,BSky,16-16,-6.51,103.1,109.6,69.3,-0.025,-6.68,-2.98
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Tulane,Amer,25-Jun,-6.58,102.6,109.2,70.4,-0.075,3.43,-1.3
Cleveland St.,Horz,22-Sep,-6.65,96.5,103.1,65.4,-0.09,-1.08,4.85
South Alabama,SB,14-18,-6.76,98.7,105.5,69.7,0.012,-2.76,-5.95
USC Upstate,ASun,17-16,-6.89,104.2,111.1,68.4,0.016,-4.65,-1.08
Little Rock,SB,15-17,-6.93,98.3,105.2,63.3,0.023,-4.09,-7.34
Pacific,WCC,22-Nov,-6.98,99.5,106.5,66.5,-0.003,1.02,-2.65
Wagner,NEC,16-14,-7,101,108,62.9,-0.024,-8.95,-1.05
UNLV,MWC,21-Nov,-7.01,98.3,105.3,68.4,-0.007,0.96,-3.98
Bowling Green,MAC,13-19,-7.16,100.1,107.2,70,0.01,-1.8,-6.1
Drexel,CAA,23-Sep,-7.19,102.9,110.1,70.3,-0.089,-1.26,-3.83
UTSA,CUSA,14-19,-7.25,95.4,102.7,68.1,0.016,-2.61,-0.41
Kennesaw St.,ASun,14-18,-7.52,102.6,110.1,69.4,0,-4.81,-3.58
LIU Brooklyn,NEC,20-12,-7.52,100.2,107.7,67,0.081,-9.66,-5.33
St. Francis PA,NEC,17-17,-7.61,102.1,109.7,70.3,-0.001,-7.98,-1.18
North Florida,ASun,15-19,-7.64,101.8,109.5,69.9,0.025,-0.46,6.82
Niagara,MAAC,23-Oct,-7.9,101.4,109.3,69.1,-0.067,-3.63,-4.72
Tennessee Tech,OVC,20-Dec,-8.03,98.9,107,68.3,-0.058,-3.33,-2.6
Drake,MVC,24-Jul,-8.17,103,111.1,69.7,-0.083,0.96,-3.43
Milwaukee,Horz,24-Nov,-8.37,99.9,108.3,62.5,-0.023,-1.39,2.15
San Diego,WCC,13-18,-8.38,100,108.4,63.3,0.058,-0.88,-6.68
Cal St. Fullerton,BW,17-15,-8.54,97,105.5,68.8,0.021,-8.88,-8.14
Louisiana Monroe,SB,24-Sep,-8.54,98.3,106.8,65,-0.116,-1.53,-3.54
Cornell,Ivy,21-Aug,-8.67,99.7,108.4,69.7,-0.032,-0.48,1.71
Oregon St.,P12,27-May,-8.72,97,105.8,64.6,-0.067,5.87,-5.07
Seattle,WAC,13-17,-8.75,96,104.7,67.6,-0.023,-4.29,-6.58
Robert Morris,NEC,14-19,-8.77,91.6,100.4,68.8,0.032,-5.36,3.99
Fairleigh Dickinson,NEC,19-Nov,-8.78,103.1,111.9,69,-0.05,-5.02,7.64
Colgate,Pat,22-Oct,-8.85,98.8,107.6,65.1,-0.013,-2.84,-1.04
Hawaii,BW,14-16,-8.98,97,106,67.1,-0.012,-8.18,-5.89
High Point,BSth,15-16,-9.22,98.9,108.1,65.7,-0.004,-6.4,-0.27
Florida Atlantic,CUSA,20-Oct,-9.33,98.6,107.9,68.9,-0.037,-2.7,-1.66
Eastern Kentucky,OVC,19-Dec,-9.44,98.4,107.9,67.6,0.015,-1.89,0.22
Saint Louis,A10,21-Dec,-9.58,95.4,105,63.5,0.082,0.81,-5.01
Appalachian St.,SB,21-Sep,-9.61,99.5,109.2,70.5,-0.039,-0.76,-0.49
Jacksonville,ASun,17-16,-9.61,102.3,111.9,67.9,0.002,-7.85,-9.11
FIU,CUSA,24-Jul,-9.62,102.9,112.5,65,-0.171,-3.96,-4.87
Brown,Ivy,13-17,-9.84,104.1,114,71.3,0.017,-5.52,-9.67
Campbell,BSth,19-18,-10.04,100.4,110.4,65.7,0.029,-7.98,-5.63
Miami OH,MAC,21-Nov,-10.05,95.9,106,68.6,0.052,-2.31,-6.71
Portland,WCC,22-Nov,-10.24,98.7,108.9,65.8,0.011,0.86,-3.81
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Bryant,NEC,20-Dec,-10.27,101.7,112,69.1,-0.014,-6.34,3
Youngstown St.,Horz,13-21,-10.29,102.6,112.9,71.7,0.077,-2.3,-1.84
Northern Colorado,BSky,18-Nov,-10.33,96.6,106.9,68.5,-0.027,-4.29,8.65
Cal St. Northridge,BW,19-Nov,-10.47,104.1,114.6,72.7,-0.032,-6.13,0.49
Alcorn St.,SWAC,18-14,-10.5,95.5,106,67.8,0.048,-11.09,11.03
NJIT,ASun,20-Nov,-10.55,98.7,109.2,67.6,0.029,-3.43,-0.42
Manhattan,MAAC,22-Oct,-10.64,97,107.6,68.9,0,-2.38,-0.96
The Citadel,SC,21-Dec,-11.03,105.5,116.5,79.7,0.023,-1.63,-2.45
Austin Peay,OVC,19-Nov,-11.08,106.2,117.3,70,0.04,-2.03,2.82
Delaware,CAA,13-20,-11.12,97.3,108.5,64.8,0.089,-0.1,-3.17
Sacramento St.,BSky,13-18,-11.24,100.9,112.2,65.5,0.045,-5.52,1.68
South Florida,Amer,23-Jul,-11.28,96.4,107.7,68.8,-0.021,1.34,-7.82
Northwestern St.,Slnd,13-16,-11.4,101.1,112.5,71.3,0.028,-5.18,6.99
Quinnipiac,MAAC,21-Oct,-11.44,101.6,113,73.2,0.027,-3.24,-3.67
UMass Lowell,AE,20-Nov,-11.5,104.3,115.8,71.8,-0.036,-6.6,-6.75
Radford,BSth,14-18,-11.7,96.1,107.8,64,0.06,-4.34,8.3
Western Illinois,Sum,20-Aug,-11.75,97.1,108.9,68.8,-0.035,-1.91,-2.98
Abilene Christian,Slnd,13-16,-11.86,97,108.8,65.8,0.049,-5.96,1.15
Norfolk St.,MEAC,17-17,-11.92,94.2,106.1,68.8,0.069,-9.52,6.02
UT Rio Grande Valley,WAC,22-Oct,-12.02,100.9,112.9,73.9,-0.037,-2.8,-3
Sacred Heart,NEC,13-19,-12.12,97.6,109.7,71.1,0.018,-8.68,-5.34
Detroit,Horz,23-Aug,-12.21,102.3,114.5,72.6,0.016,-1.37,2.32
Pepperdine,WCC,22-Sep,-12.26,102,114.2,68.5,0.026,1.03,-1.67
Incarnate Word,Slnd,17-Dec,-12.61,101.7,114.3,71.8,0.032,-5.24,4.08
Dartmouth,Ivy,20-Jul,-12.89,99.2,112.1,67.4,0.032,-3.06,-4.48
Cal Poly,BW,20-Nov,-12.93,100.1,113,65.3,0.013,-4.19,2.74
American,Pat,22-Aug,-12.94,95.2,108.1,64.3,-0.017,-4.21,-4.47
Central Arkansas,Slnd,24-Aug,-13.47,104,117.5,71.1,-0.014,-3.28,6.65
Charleston Southern,BSth,19-Dec,-13.49,103.2,116.7,68.2,0.007,-5.98,3.84
Hampton,MEAC,14-17,-13.54,93.4,106.9,68.6,0.018,-10.05,1.7
UC Riverside,BW,21-Aug,-13.63,92.3,105.9,67.9,-0.055,-4.78,1.84
Marist,MAAC,24-Aug,-13.63,100.7,114.3,66.9,0.013,-1.94,-0.37
Prairie View A&M,SWAC,13-20,-13.64,98,111.6,67.6,-0.017,-8.65,11.49
Binghamton,AE,20-Dec,-13.77,96.3,110,65.9,-0.009,-5.33,-4.69
Nicholls St.,Slnd,14-17,-13.77,100.4,114.2,69.4,0.089,-3.88,7.91
McNeese St.,Slnd,22-Jul,-14.01,96.3,110.3,69.9,-0.057,-3.42,7.94
Savannah St.,MEAC,13-16,-14.14,100.6,114.7,81,0.054,-10.1,6.75
SIU Edwardsville,OVC,24-Jun,-14.15,95,109.2,69.2,-0.041,-3.04,-0.01
Stetson,ASun,21-Nov,-14.45,100.9,115.4,72.4,-0.002,-5.23,-5.51
North Texas,CUSA,22-Aug,-14.52,96.3,110.8,70.2,-0.08,-4.66,-8.18
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Maryland Eastern Shore,MEAC,14-20,-14.83,97.8,112.7,68.5,0.039,-7.48,8.64
Western Carolina,SC,23-Sep,-15.11,90,105.1,66.8,0.027,1.01,5.83
Northern Arizona,BSky,23-Sep,-15.28,95.1,110.4,69.2,-0.016,-6.17,-3.31
Morgan St.,MEAC,14-16,-15.47,91.2,106.6,67.7,0.038,-12.66,-3.2
Southern Miss,CUSA,22-Sep,-15.52,93,108.5,65.5,-0.032,-3.41,-3.6
Southern,SWAC,15-18,-15.7,97.9,113.6,68.5,0.038,-12.49,1.38
Grambling St.,SWAC,15-17,-16.24,96.5,112.7,67.1,0.049,-12.33,-0.83
VMI,SC,24-Jun,-16.27,97.6,113.8,69.1,-0.034,-0.28,0.51
Jackson St.,SWAC,14-18,-16.36,92.8,109.1,64.3,0.032,-11.84,2.06
Lafayette,Pat,21-Sep,-16.79,96.6,113.3,69.3,0.059,-3.76,-3.93
UC Santa Barbara,BW,22-Jun,-17.84,91.3,109.2,64.1,0.009,-2.9,6.96
Idaho St.,BSky,26-Jun,-17.91,97.9,115.8,68.9,-0.053,-2.67,4.84
