,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,North Carolina ,ACC,31.14,123.2,92.1,72.9,-0.011,9.91,1.06,1,34,4,0.8947368421052632
1,Connecticut ,BE,29.25,116,86.8,67.1,0.024,10.37,-1.68,1,31,5,0.8611111111111112
2,Pittsburgh ,BE,28.96,121.2,92.3,65.2,-0.012,10.11,0.79,1,31,5,0.8611111111111112
3,Memphis ,CUSA,28.67,112.8,84.2,65.9,-0.009,4.73,4.19,2,33,4,0.8918918918918919
4,Louisville ,BE,26.06,111.2,85.2,66.9,0.068,9.57,-0.19,1,31,6,0.8378378378378378
5,Missouri ,B12,24.81,116.6,91.8,70.9,0.031,7.96,-3.76,3,31,7,0.8157894736842105
6,Oklahoma ,B12,24.59,118.3,93.7,66.6,0.018,9.49,0.46,2,30,6,0.8333333333333334
7,Gonzaga ,WCC,24.51,117.5,93,67.1,0.003,4.63,10.61,4,28,6,0.8235294117647058
8,Michigan St. ,B10,24.37,114.3,89.9,66.5,0.091,12.33,5.81,2,31,7,0.8157894736842105
9,Duke ,ACC,24.31,117.5,93.2,66.3,0.053,10.23,3.18,2,30,7,0.8108108108108109
10,West Virginia ,BE,24.21,115.1,90.9,63.7,-0.067,10.95,2.11,6,23,12,0.6571428571428571
11,UCLA ,P10,23.93,119.5,95.6,65.3,-0.03,8.42,-3.43,6,26,9,0.7428571428571429
12,Villanova ,BE,23.89,114.4,90.5,68.3,0.021,9.99,-5.37,3,30,8,0.7894736842105263
13,Kansas ,B12,23.83,114.5,90.7,67.2,-0.013,8.83,1.55,3,27,8,0.7714285714285715
14,Arizona St. ,P10,23.03,118.2,95.2,59.1,-0.018,10.14,-2.04,6,25,10,0.7142857142857143
15,Syracuse ,BE,22.21,117,94.8,69.7,0.024,11.46,0.77,3,28,10,0.7368421052631579
16,Washington ,P10,22.09,113.1,91,72.2,-0.005,10.18,0.09,4,26,9,0.7428571428571429
17,Purdue ,B10,21.84,110.5,88.7,65.9,-0.012,8.94,-5.45,5,27,10,0.7297297297297297
18,Marquette ,BE,21.02,117.1,96.1,67.5,-0.014,8.22,-4.95,6,25,10,0.7142857142857143
19,Xavier ,A10,20.24,111,90.8,65.8,-0.008,5.81,7.97,4,27,8,0.7714285714285715
20,BYU ,MWC,20.1,114,93.9,69,-0.046,4.57,0.39,8,25,8,0.7575757575757576
21,Texas ,B12,19.65,112.2,92.5,65.4,-0.048,10.16,2.01,7,23,12,0.6571428571428571
22,Clemson ,ACC,19.62,116.4,96.7,67.9,-0.024,6.19,-4.45,7,23,9,0.71875
23,Wake Forest ,ACC,18.88,111.6,92.7,72.8,0.051,7.66,-4.35,4,24,7,0.7741935483870968
24,Illinois ,B10,18.72,106.8,88.1,62.8,0.001,7.96,-3.36,5,24,10,0.7058823529411765
25,Oklahoma St. ,B12,18.33,116.4,98.1,69.3,-0.003,10.46,-0.28,8,23,12,0.6571428571428571
26,USC ,P10,18.26,110,91.8,63.7,-0.032,10.81,0.74,10,22,13,0.6285714285714286
27,Utah ,MWC,17.8,110.8,92.9,65,0.013,7.29,6.96,5,24,10,0.7058823529411765
28,Wisconsin ,B10,17.62,113.3,95.7,59.1,-0.052,9.51,1.32,12,20,13,0.6060606060606061
29,California ,P10,17.37,116.8,99.4,66,0.001,9.17,-3.54,7,22,11,0.6666666666666666
30,Tennessee ,SEC,16.48,115.1,98.7,67.7,-0.032,9.4,9.15,9,21,13,0.6176470588235294
31,Ohio St. ,B10,16.34,113.3,96.9,62.5,0.042,9.46,-3.41,8,22,11,0.6666666666666666
32,Arizona ,P10,15.96,117.7,101.8,64.9,0.018,11.33,2.34,12,21,14,0.6
33,Butler ,Horz,15.78,110.3,94.5,62.8,-0.014,2.51,6.15,9,26,6,0.8125
34,Florida St. ,ACC,15.76,105.9,90.1,65.9,0.066,10.01,0.6,5,25,10,0.7142857142857143
35,Minnesota ,B10,15.43,108.1,92.6,64.5,0.031,8.44,-4.18,10,22,11,0.6666666666666666
36,Utah St. ,WAC,15.12,116.7,101.6,60,0.046,-0.47,-2.77,11,30,5,0.8571428571428571
37,Texas A&M ,B12,15.01,113.1,98.1,63.9,0.053,7.85,-4.3,9,24,10,0.7058823529411765
38,LSU ,SEC,14.86,111.5,96.6,66.1,0.075,3.5,-8.66,8,27,8,0.7714285714285715
39,Michigan ,B10,14.75,112.2,97.5,62.5,0.014,11.39,0.63,10,21,14,0.6
40,Temple ,A10,14.38,109.9,95.5,63.5,-0.005,6.68,7.22,11,22,12,0.6470588235294118
41,VCU ,CAA,13.62,110.1,96.4,65.8,-0.073,0.23,3.46,11,24,10,0.7058823529411765
42,Maryland ,ACC,13.55,110,96.4,66.3,0.039,9.61,-3.29,10,21,14,0.6
43,North Dakota St. ,Sum,12.29,114.3,102,67.5,-0.009,-1.6,2.21,14,26,7,0.7878787878787878
44,Cleveland St. ,Horz,11.96,105.3,93.3,63.7,0.009,3.76,7.07,13,26,11,0.7027027027027027
45,Siena ,MAAC,11.93,110.3,98.4,70.7,0.031,0.91,7.27,9,27,8,0.7714285714285715
46,Mississippi St. ,SEC,11.55,107.8,96.2,67.2,-0.004,4.96,-3.07,13,23,13,0.6388888888888888
47,Boston College ,ACC,11.2,113.2,102,65.3,0.038,6.4,-5.57,7,22,12,0.6470588235294118
48,Dayton ,A10,10.23,103.3,93,64.5,0.107,2.34,-4.57,11,27,8,0.7714285714285715
49,Northern Iowa ,MVC,9.7,110.6,100.9,60.8,0.051,3.1,1.88,12,23,11,0.6764705882352942
50,Western Kentucky ,SB,8.1,111.1,103,65.6,0.092,-0.6,6.63,12,25,9,0.7352941176470589
51,Akron ,MAC,6.9,102.9,96,64.8,-0.014,-1.6,-1.83,13,23,13,0.6388888888888888
52,Stephen F. Austin ,Slnd,6.52,97,90.4,62.4,0.053,-1.98,4.63,14,24,8,0.75
53,East Tennessee St. ,ASun,5.67,106.4,100.7,69.6,-0.048,-4.73,-1.26,16,23,11,0.6764705882352942
54,Cornell ,Ivy,5.23,108.5,103.3,65.4,-0.005,-5.58,-0.5,14,21,10,0.6774193548387096
55,Cal St. Northridge ,BW,5.18,102.2,97,71.8,-0.045,0.26,5.14,15,17,14,0.5483870967741935
56,American ,Pat,4.7,105.3,100.6,60.7,0.093,-6.34,0.55,14,24,8,0.75
57,Portland St. ,BSky,4.04,109.2,105.1,64.8,0.025,-3.32,0.0,13,23,10,0.696969696969697
58,Robert Morris ,NEC,1.49,102,100.6,66,0.055,-7.27,0.44,15,24,11,0.6857142857142857
59,Morgan St. ,MEAC,0.99,100.1,99.1,65.5,0.031,-7.43,4.82,15,23,12,0.6571428571428571
60,Morehead St. ,OVC,0.76,102,101.3,65.3,0.015,-1.9,3.49,16,20,16,0.5555555555555556
61,Radford ,BSth,-0.86,101.2,102.1,69.2,0.076,-4.54,8.71,16,21,12,0.6363636363636364
62,Binghamton ,AE,-0.98,102.3,103.3,67.2,0.13,-5.64,-4.08,15,23,9,0.71875
63,Alabama St. ,SWAC,-2.97,100.7,103.6,63.6,0.025,-11.71,9.21,16,22,10,0.6875
64,Chattanooga ,SC,-4.04,104.3,108.4,69.5,0.041,-3.37,12.4,16,18,17,0.5142857142857142
