,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Gonzaga ,WCC,32.05,118.4,86.3,70.1,0.02,2.99,1.01,1,37,2,0.9487179487179487
1,Villanova ,BE,29.88,122.4,92.5,64.1,0.01,9.33,3.55,1,32,4,0.8888888888888888
2,North Carolina ,ACC,28.22,120.7,92.5,71.3,0.037,12.49,3.87,1,33,7,0.825
3,Kentucky ,SEC,27.72,119.1,91.4,72,0.006,10.98,3.74,2,32,6,0.8421052631578947
4,Florida ,SEC,27.5,116.9,89.5,69,-0.041,12.46,8.19,4,27,9,0.75
5,Kansas ,B12,27.45,121.9,94.5,70.2,0.067,12.43,2.39,1,31,5,0.8611111111111112
6,West Virginia ,B12,27.17,116.5,89.4,69.9,-0.043,10.84,-7.97,4,28,9,0.7567567567567568
7,Wichita St. ,MVC,26.14,118.7,92.6,68,-0.021,1.5,-0.32,10,31,5,0.8611111111111112
8,Louisville ,ACC,25.51,117.2,91.7,67.9,-0.023,11.14,4.2,2,25,9,0.7352941176470589
9,Oregon ,P12,25.02,118.2,93.2,67,0.034,8.05,0.51,3,33,6,0.8461538461538461
10,SMU ,Amer,24.73,119.8,95,63.5,0.003,3.25,-0.92,6,30,5,0.8571428571428571
11,Virginia ,ACC,24.29,112.2,88,59.2,-0.03,11.68,2.29,5,23,11,0.6764705882352942
12,Baylor ,B12,24.23,117.1,92.9,63.7,0.023,13.08,1.67,3,27,8,0.7714285714285715
13,Duke ,ACC,24.17,121,96.8,68.3,0.014,11.43,0.03,2,28,9,0.7567567567567568
14,Saint Mary's ,WCC,23.67,118.7,95,60.2,0.03,0.41,-4.13,7,29,5,0.8529411764705882
15,UCLA ,P12,23.63,124,100.4,72.6,0.021,5.17,-4.66,3,31,5,0.8611111111111112
16,Iowa St. ,B12,23.45,119.7,96.3,68.4,-0.019,14.05,-0.74,5,24,11,0.6857142857142857
17,Arizona ,P12,23.31,118.4,95.1,66,0.046,7.13,1.69,2,32,5,0.8648648648648649
18,Purdue ,B10,23.12,117,93.9,69.1,0.016,9.0,-2.38,4,27,8,0.7714285714285715
19,Michigan ,B10,23.05,122.3,99.2,63.1,-0.025,10.76,-0.53,7,26,12,0.6842105263157895
