,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
20,Wisconsin ,B10,22.99,115.1,92.1,63.4,-0.003,10.0,-1.29,8,27,10,0.7297297297297297
21,Oklahoma St. ,B12,22.48,126,103.5,70.4,-0.071,14.42,3.07,10,20,13,0.6060606060606061
22,Cincinnati ,Amer,22.18,114.9,92.8,63.5,0.026,4.17,-0.47,6,30,6,0.8333333333333334
23,South Carolina ,SEC,20.8,108.9,88.1,68.6,-0.005,10.63,1.93,7,26,11,0.7027027027027027
24,Butler ,BE,20.76,117.7,97,65.9,0.002,10.81,5.12,4,25,9,0.7352941176470589
25,Florida St. ,ACC,20.06,115.5,95.5,71.3,0.039,8.82,-3.95,3,26,9,0.7428571428571429
26,Notre Dame ,ACC,19.74,118.1,98.4,67,0.024,10.24,-3.85,5,26,10,0.7222222222222222
27,Creighton ,BE,18.83,115.3,96.5,71.2,0.004,8.97,-1.24,6,25,10,0.7142857142857143
28,Kansas St. ,B12,17.44,113,95.6,66.2,-0.029,11.56,-5.31,11,21,14,0.6
29,Xavier ,BE,16.7,115.7,99,67.2,0.044,11.73,5.32,11,24,14,0.631578947368421
30,Marquette ,BE,16.58,120.8,104.2,70.1,-0.058,9.03,-2.16,10,19,13,0.59375
31,Vanderbilt ,SEC,16.53,112.4,95.9,65.8,-0.048,11.43,6.3,9,19,16,0.5428571428571428
32,Rhode Island ,A10,16.26,111.5,95.2,66.4,-0.033,4.27,1.62,11,25,10,0.7142857142857143
33,Arkansas ,SEC,16.25,116.1,99.8,69.7,0.086,8.37,-1.55,8,26,10,0.7222222222222222
34,Wake Forest ,ACC,16.25,120.9,104.7,70.7,-0.043,10.54,4.51,11,19,14,0.5757575757575758
35,Minnesota ,B10,16,109.7,93.7,69.5,0.022,8.09,-1.81,5,24,10,0.7058823529411765
36,Northwestern ,B10,15.81,111.3,95.5,65.6,0.019,8.32,-3.23,8,24,12,0.6666666666666666
37,Dayton ,A10,15.57,111.9,96.3,68.4,-0.021,3.64,2.53,7,24,8,0.75
38,Michigan St. ,B10,15.51,111.4,95.9,66.9,-0.011,10.99,4.01,9,20,15,0.5714285714285714
39,Miami FL ,ACC,15.03,109.9,94.9,63,0.031,9.39,-4.48,8,21,12,0.6363636363636364
40,Middle Tennessee ,CUSA,14.95,112.2,97.2,64.6,0.011,-0.93,3.86,12,31,5,0.8611111111111112
41,Maryland ,B10,14.34,113.1,98.7,67.2,0.061,7.74,-1.1,6,24,9,0.7272727272727273
42,VCU ,A10,14.07,110.1,96,68.8,0.026,3.65,0.91,10,26,9,0.7428571428571429
43,Virginia Tech ,ACC,13.8,117.3,103.5,68.4,0.053,8.23,-7.98,9,22,11,0.6666666666666666
44,Seton Hall ,BE,13.63,109.4,95.8,67.5,0.058,9.65,-2.11,9,21,12,0.6363636363636364
45,USC ,P12,13.45,114.2,100.7,68.7,0.079,5.49,-3.37,11,26,10,0.7222222222222222
46,Nevada ,MWC,13.31,114.6,101.3,69.7,0.055,1.29,-1.12,12,28,7,0.8
47,Princeton ,Ivy,12.61,109,96.4,63.2,0.007,-1.08,2.17,12,23,7,0.7666666666666667
48,UNC Wilmington ,CAA,12.46,118,105.5,70.3,0.039,0.4,2.17,12,29,6,0.8285714285714286
49,Providence ,BE,12.43,108.5,96,66.2,0.014,7.9,-4.48,11,20,13,0.6060606060606061
50,Vermont ,AE,11.67,111.1,99.4,64.5,0.053,-4.42,1.65,13,29,6,0.8285714285714286
51,East Tennessee St. ,SC,11.1,108,96.9,70.1,0.005,-1.17,0.38,13,27,8,0.7714285714285715
52,Bucknell ,Pat,9.38,109.7,100.3,70,0.006,-3.62,0.89,13,26,9,0.7428571428571429
53,New Mexico St. ,WAC,7.89,110.5,102.6,67.9,0.063,-4.52,-4.82,14,28,6,0.8235294117647058
54,Florida Gulf Coast ,ASun,5.07,109.4,104.4,65.9,0.037,-4.8,2.14,14,26,8,0.7647058823529411
55,Winthrop ,BSth,4.53,106.1,101.6,71.1,0.029,-7.13,1.93,13,26,7,0.7878787878787878
56,Iona ,MAAC,4.2,110.8,106.6,70.6,0.013,-1.94,-0.05,14,22,13,0.6285714285714286
57,Troy ,SB,2.04,109.7,107.6,68.1,-0.023,-2.86,-6.78,15,22,15,0.5945945945945946
58,Northern Kentucky ,Horz,1.91,106.8,104.9,68,0.073,-3.35,-2.55,15,24,11,0.6857142857142857
59,Kent St. ,MAC,1.68,104.9,103.3,68.3,0.024,-1.92,-5.91,14,22,14,0.6111111111111112
60,Jacksonville St. ,OVC,0.63,105.8,105.2,63.6,0.028,-1.68,0.61,15,20,15,0.5714285714285714
61,North Carolina Central ,MEAC,0.36,102.2,101.9,66.7,-0.055,-12.44,-0.66,16,25,9,0.7352941176470589
62,North Dakota ,BSky,0.04,103.6,103.5,71.5,0.048,-5.66,3.24,15,22,10,0.6875
63,New Orleans ,Slnd,-0.52,101.3,101.8,66.2,0.046,-5.29,8.32,16,20,12,0.625
64,South Dakota St. ,Sum,-1.19,110.2,111.4,67.2,0.029,-0.59,1.66,16,18,17,0.5142857142857142
65,Mount St. Mary's ,NEC,-3.86,99.5,103.4,66.8,0.074,-4.49,11.52,16,20,16,0.5555555555555556
66,Texas Southern ,SWAC,-4.04,103.5,107.5,68.6,0.125,-8.49,12.68,16,23,12,0.6571428571428571
67,UC Davis ,BW,-4.41,97.8,102.2,68.9,0.131,-5.31,-0.94,16,23,13,0.6388888888888888
