,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Kentucky ,SEC,36.91,121.3,84.4,62.4,0.048,8.58,3.13,1,38,1,0.9743589743589743
1,Wisconsin ,B10,33.72,129,95.2,58.7,0.015,11.03,5.3,1,36,4,0.9
2,Duke ,ACC,32.48,124.5,92,65.8,0.067,11.17,1.31,1,35,4,0.8974358974358975
3,Arizona ,P12,32.36,119.9,87.5,65.8,-0.033,7.37,0.09,2,34,4,0.8947368421052632
4,Villanova ,BE,30.65,122.7,92,64.2,0.031,7.67,0.23,1,33,3,0.9166666666666666
5,Virginia ,ACC,30.06,115.6,85.5,58,0.023,8.21,0.46,2,30,4,0.8823529411764706
6,Gonzaga ,WCC,27.78,121.7,93.9,64.7,0.018,4.37,3.0,2,35,3,0.9210526315789473
7,Utah ,P12,27.24,116.4,89.2,60.5,-0.054,8.19,0.6,5,26,9,0.7428571428571429
8,Notre Dame ,ACC,24.96,125.4,100.4,63.4,0.062,7.59,-11.62,3,32,6,0.8421052631578947
9,North Carolina ,ACC,23.85,119.1,95.3,69.2,-0.026,12.76,7.64,4,26,12,0.6842105263157895
10,Oklahoma ,B12,22.8,112.5,89.7,66.7,-0.045,11.0,1.05,3,24,11,0.6857142857142857
11,Kansas ,B12,22.72,114.5,91.8,67,0.07,13.17,9.57,2,27,9,0.75
12,Wichita St. ,MVC,22.21,115.8,93.6,62.3,0.022,3.24,3.44,7,30,5,0.8571428571428571
13,Baylor ,B12,22.14,116.6,94.5,61.5,-0.035,10.22,-0.51,3,24,10,0.7058823529411765
14,Michigan St. ,B10,21.72,116.6,94.9,63.1,-0.017,10.49,-0.88,7,27,12,0.6923076923076923
15,Iowa St. ,B12,21.49,119,97.5,69.6,0.005,10.59,-1.18,3,25,9,0.7352941176470589
16,Louisville ,ACC,21.21,110.2,88.9,64.6,0.027,9.69,-2.36,4,27,9,0.75
17,Northern Iowa ,MVC,20.98,116.3,95.3,58.2,0.018,1.42,0.61,5,31,4,0.8857142857142857
18,Ohio St. ,B10,20.75,115.6,94.8,65.2,-0.043,6.76,-7.41,10,24,11,0.6857142857142857
19,Butler ,BE,20.09,110.2,90.1,63.2,-0.023,9.72,0.69,6,23,11,0.6764705882352942
20,Xavier ,BE,19.49,116.6,97.1,65,-0.062,10.29,2.07,6,23,14,0.6216216216216216
21,Georgetown ,BE,19.13,114.3,95.1,64,0,10.23,3.24,4,22,11,0.6666666666666666
22,Iowa ,B10,19.02,114.2,95.1,63.7,-0.007,8.58,-1.58,7,22,12,0.6470588235294118
23,Texas ,B12,18.94,112.4,93.4,62,-0.079,9.52,-2.47,11,20,14,0.5882352941176471
