,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
24,West Virginia ,B12,17.64,112.6,94.9,67.9,0.087,9.56,-2.65,5,25,10,0.7142857142857143
25,SMU ,Amer,17.51,113.1,95.6,63.1,-0.004,2.52,0.99,6,27,7,0.7941176470588235
26,Providence ,BE,16.72,112.6,95.9,65.2,0.038,10.26,2.18,6,22,12,0.6470588235294118
27,BYU ,WCC,16.69,119.4,102.7,70.4,-0.055,3.96,3.78,11,25,10,0.7142857142857143
28,Arkansas ,SEC,16.44,114.7,98.3,69.3,0.045,6.09,-3.44,5,27,9,0.75
29,VCU ,A10,16.27,111.1,94.9,66.5,0.043,6.65,8.77,7,26,10,0.7222222222222222
30,San Diego St. ,MWC,15.95,104.9,89,60.4,0.026,3.63,3.5,8,27,9,0.75
31,North Carolina St. ,ACC,15.93,114.9,98.9,64.1,-0.003,9.84,-0.65,8,22,14,0.6111111111111112
32,Maryland ,B10,15.68,111.3,95.7,63.9,0.127,7.15,-3.33,4,28,7,0.8
33,Georgia ,SEC,15.09,109.6,94.5,64.1,0.001,8.73,1.41,10,21,12,0.6363636363636364
34,Davidson ,A10,15,119.7,104.7,66.7,0.056,3.16,-3.78,10,24,8,0.75
35,Oklahoma St. ,B12,14.92,111.8,96.8,63.3,-0.045,10.42,-1.65,9,18,14,0.5625
36,UCLA ,P12,14.65,112.9,98.2,65.8,0.032,8.4,2.63,11,22,14,0.6111111111111112
37,Dayton ,A10,14.24,109.2,95,63.4,0.022,3.39,0.07,11,27,9,0.75
38,Cincinnati ,Amer,14.15,108.2,94,59.8,-0.016,3.39,1.69,8,23,11,0.6764705882352942
39,Purdue ,B10,13.96,110.9,97,64.3,-0.006,7.45,-2.75,9,21,13,0.6176470588235294
40,Oregon ,P12,13.88,115.2,101.3,66.6,0.119,7.28,-2.34,8,26,10,0.7222222222222222
41,Mississippi ,SEC,13.88,114.5,100.6,66.2,-0.033,7.1,-1.19,11,21,13,0.6176470588235294
42,Boise St. ,MWC,13.85,111.9,98.1,62.8,0.009,0.94,-0.31,11,25,9,0.7352941176470589
43,Indiana ,B10,13.83,119.8,106,66.6,-0.044,6.92,-5.96,10,20,14,0.5882352941176471
44,LSU ,SEC,13.76,108.9,95.1,69.3,-0.043,5.09,-4.77,9,22,11,0.6666666666666666
45,St. John's ,BE,13.7,110.7,97,66.7,0.05,8.72,-1.5,9,21,12,0.6363636363636364
46,Stephen F. Austin ,Slnd,13.64,113.9,100.3,65.4,0.02,-5.56,0.63,12,29,5,0.8529411764705882
47,Buffalo ,MAC,11.87,111.3,99.4,68.3,0.001,1.83,0.81,12,23,10,0.696969696969697
48,Valparaiso ,Horz,11.13,107.4,96.3,62.3,0.053,-2.06,-3.69,13,28,6,0.8235294117647058
49,Georgia St. ,SB,10.32,111.6,101.3,62.4,-0.003,-1.47,3.63,14,25,10,0.7142857142857143
50,Harvard ,Ivy,9.23,104.8,95.6,61.1,0.091,-0.18,0.36,13,22,8,0.7333333333333333
51,UC Irvine ,BW,7.09,106.3,99.2,63.4,-0.022,0.9,2.29,13,21,13,0.6176470588235294
52,Wofford ,SC,6.72,105.2,98.5,60.5,0.122,-3.98,6.79,12,28,7,0.8
53,New Mexico St. ,WAC,6.63,107.4,100.8,63,-0.042,-5.37,1.78,15,23,11,0.6764705882352942
54,Wyoming ,MWC,5.67,104.8,99.1,59.1,0.083,-1.04,-10.31,12,25,10,0.7142857142857143
55,Northeastern ,CAA,5.12,108.3,103.1,63.3,0.025,-1.29,1.8,14,23,12,0.6571428571428571
56,Albany ,AE,3.29,107.2,103.9,60.8,0.054,-5.5,0.18,14,24,9,0.7272727272727273
57,Eastern Washington ,BSky,3.25,112.9,109.6,68.2,0.067,-3.75,3.94,13,26,9,0.7428571428571429
58,UAB ,CUSA,3.06,104.9,101.9,64.7,0.025,0.29,3.4,14,20,16,0.5555555555555556
59,Coastal Carolina ,BSth,2.38,106.7,104.3,64.1,0.006,-6.45,-1.05,16,24,10,0.7058823529411765
60,Belmont ,OVC,2.27,110.2,107.9,66.9,0.065,-3.33,-1.68,15,22,11,0.6666666666666666
61,North Florida ,ASun,2.26,108.4,106.2,67.1,-0.022,-7.19,2.23,16,23,12,0.6571428571428571
62,North Dakota St. ,Sum,1.41,103.8,102.4,60.8,0.105,-4.21,-5.5,15,23,10,0.696969696969697
63,Manhattan ,MAAC,0.31,101.9,101.6,67.7,-0.001,-3.59,-0.4,16,19,14,0.5757575757575758
64,Robert Morris ,NEC,-1.39,103.1,104.5,65.4,0.055,-4.59,2.49,16,20,15,0.5714285714285714
65,Lafayette ,Pat,-2.14,112.9,115.1,64.6,0.097,-4.01,-0.45,16,20,13,0.6060606060606061
66,Texas Southern ,SWAC,-3.84,104.1,107.9,63.3,0.128,-6.74,15.16,15,22,13,0.6285714285714286
67,Hampton ,MEAC,-7.4,96.6,104,69.2,0.031,-7.48,-0.55,16,17,18,0.4857142857142857
