Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Louisville 1,BE,35-5,32.92,117.7,84.8,65.8,-0.016,10.23,2.15
Florida 3,SEC,29-8,31.18,117.2,86,61.9,-0.089,7,4.09
Indiana 1,B10,29-7,29.31,120.8,91.5,66,-0.021,8.86,-5.16
Michigan 4,B10,31-8,27.86,121.9,94,64,-0.007,11.13,-3.09
Gonzaga 1,WCC,32-3,27.81,120.5,92.7,63.3,0.026,4.37,5.03
Duke 2,ACC,30-6,26.98,119.1,92.1,66.7,0.033,9.95,6.85
Ohio St. 2,B10,29-8,25.42,115.1,89.7,63.6,0.02,10.18,-5.53
Kansas 1,B12,31-6,25.23,112.7,87.5,66.4,0.01,7.05,2.64
Syracuse 4,BE,30-10,24.83,113.1,88.3,63.1,-0.004,9.46,-4.44
Michigan St. 3,B10,27-9,24.17,112.6,88.5,63.1,0.001,11.91,-0.75
Pittsburgh 8,BE,24-9,24.08,115.6,91.5,59.3,-0.058,4.52,-9.69
Wisconsin 5,B10,23-12,22.57,108.3,85.7,60.4,-0.033,11.08,-3.2
Miami FL 2,ACC,29-7,22.37,113.6,91.3,61.9,0.028,8.41,4.96
Arizona 6,P12,27-8,21.88,115.4,93.5,65.5,-0.012,7.99,1.45
Creighton 7,MVC,28-8,21.75,118.3,96.5,63.8,-0.009,5.73,1.63
Georgetown 2,BE,25-7,21.24,107.6,86.4,61.2,0.038,7.42,-6.15
Wichita St. 9,MVC,30-9,20.31,111.8,91.5,63.8,-0.002,6.71,0.17
VCU 5,A10,27-9,20.28,114,93.7,66.4,0.002,5.09,-0.22
Saint Louis 4,A10,28-7,20.01,108.6,88.6,63.8,0,3.91,-3.98
Minnesota 11,B10,21-13,19.85,114.8,95,62.3,-0.036,11.22,2.07
Saint Mary's 11,WCC,28-7,19.33,116.1,96.8,62.9,0.023,3.18,-0.49
Colorado St. 8,MWC,26-9,19.12,117.9,98.8,63.8,0.02,7.17,-0.49
New Mexico 3,MWC,29-6,19.02,109.9,90.9,63.7,0.073,7.98,4.42
Oklahoma St. 5,B12,24-9,18.69,109,90.3,66.1,-0.016,6.38,-2.26
Missouri 9,SEC,23-11,18.53,114.9,96.4,66.3,-0.032,5.62,-2.02
Marquette 3,BE,26-9,18.32,113.2,94.9,63.3,0.09,9.28,-1.14
Kansas St. 4,B12,27-8,18.16,113.5,95.3,61.4,0.051,6.82,-3.29
Iowa St. 10,B12,23-12,17.63,117.5,99.8,68.3,-0.046,6.74,-3.12
San Diego St. 7,MWC,23-11,17.43,107.7,90.3,65.5,-0.049,7.65,1.92
North Carolina 8,ACC,25-11,17.14,112.2,95.1,69.6,0.038,8.57,-0.95
North Carolina St. 8,ACC,24-11,16.99,116.8,99.8,66.8,-0.032,6.54,-0.36
Mississippi 12,SEC,27-9,16.95,112.3,95.3,69.2,-0.011,3.19,-7.55
Oregon 12,P12,28-9,16.78,106.6,89.8,67.9,0.052,5.92,-8.08
Notre Dame 7,BE,25-10,16.65,114.6,97.9,60.3,0.046,6.53,-6.61
Memphis 6,CUSA,31-5,16.33,107.3,91,68.3,0.056,1.9,0.43
UNLV 5,MWC,25-10,16.07,106,90,67.9,-0.015,6.23,-0.28
Illinois 7,B10,23-13,15.82,110.6,94.8,64.6,0.042,10.84,-0.8
Cincinnati 10,BE,22-12,15.57,105.9,90.4,63,-0.012,7.31,-5.68
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Butler 6,A10,27-9,15.41,110.5,95.1,63.6,0.087,7.53,4.18
Belmont 11,OVC,26-7,14.92,111.6,96.6,65.9,0.013,-0.74,5.39
Middle Tennessee 11,SB,28-6,14.77,107.3,92.5,63.4,0.052,-2.3,4.87
Colorado 10,P12,21-12,14.62,106.5,91.9,63.7,0.029,9.15,3.8
UCLA 6,P12,25-10,14.53,111.1,96.6,68.1,0.068,8.06,0.43
Connecticut,BE,20-10,14.05,109.9,95.9,63.8,0.011,7.49,0.29
La Salle 13,A10,24-10,13.89,111.8,98,64.6,0.051,5.67,-0.5
Oklahoma 10,B12,20-12,13.8,111.1,97.3,65.2,0.004,7.8,2.47
Villanova 9,BE,20-14,13.57,106.3,92.7,66.4,0.011,9.41,0.3
Boise St. 13,MWC,21-11,13.54,113.2,99.7,64.8,0.004,6.74,-1.38
California 12,P12,21-12,13.11,107.3,94.2,64.9,0.041,8.35,2.12
Bucknell 11,Pat,28-6,12.72,107.3,94.6,61.9,-0.014,-1.72,2.78
Temple 9,A10,24-10,12.67,111.3,98.6,65.6,0.038,5.48,0.82
Akron 12,MAC,26-7,11.52,106.8,95.2,65.2,0.085,-0.35,0.28
Illinois St.,MVC,18-15,11.49,109.7,98.2,68.8,-0.094,4.14,-2.4
Valparaiso 14,Horz,26-8,11.42,110.7,99.3,64.3,0.021,-1.5,-3.18
Davidson 14,SC,26-8,11.36,112.1,100.7,63.9,-0.002,-5.09,6.42
Dayton,A10,17-14,11.31,112.7,101.4,64.7,-0.1,3.66,-1.09
Northern Iowa,MVC,21-15,10.84,106.8,96,61.8,-0.034,5.34,6.52
Weber St.,BSky,30-7,10.65,109.1,98.4,64.1,-0.016,-6.8,1.69
Purdue,B10,16-18,10.33,107,96.6,65.6,-0.06,8.01,-2.89
North Dakota St.,Sum,24-10,10.03,105.5,95.4,59.6,-0.015,-3.66,2.45
Santa Clara,WCC,26-12,9.72,110.9,101.2,67.5,0.046,1.07,-6.01
Xavier,A10,17-14,9.55,106,96.4,61.8,-0.055,5.45,2.84
Arkansas,SEC,19-13,9.29,106.7,97.4,69.6,0.004,4.24,-4.85
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Richmond,A10,19-15,8.08,110,102,62.4,-0.017,3.45,-2.48
Evansville,MVC,21-15,8.08,106.4,98.3,64.6,-0.011,3.86,-2.62
Princeton,Ivy,17-11,7.88,108.8,100.9,59.4,-0.071,-1.29,3.16
New Mexico St. 13,WAC,24-11,7.68,104.7,97.1,63.8,0.039,0.36,3.94
Iona 15,MAAC,20-14,7.45,114.4,106.9,69.7,-0.07,0.94,4.09
Washington St.,P12,13-19,7.45,107.6,100.2,60.7,-0.135,4.91,-7.39
Lehigh,Pat,21-10,7.32,108.9,101.6,65.8,-0.003,-3.16,-1.85
Harvard 14,Ivy,20-10,7.07,108.1,101.1,63.3,0.037,0.6,5.07
Texas,B12,16-18,7.02,102.5,95.5,64.7,-0.023,6.19,-1.35
Texas A&M,SEC,18-15,6.83,105.2,98.4,59.8,-0.013,3.92,-4.04
South Dakota St. 13,Sum,25-10,6.79,112,105.2,62.6,0.03,-3.31,4.11
Oregon St.,P12,14-18,6.77,109.4,102.7,67.1,-0.12,5.16,-7.59
Vanderbilt,SEC,16-17,6.77,102.6,95.8,59.7,-0.026,4.98,0.5
Air Force,MWC,18-14,6.74,111.7,104.9,63.2,0.034,7.17,-4.78
Wyoming,MWC,20-14,6.53,103,96.5,60,0.045,5.49,-1.81
USC,P12,14-18,6.39,103.4,97,65.8,-0.014,9.18,5.31
