,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
55,Cornell ,Ivy,4.41,110.1,105.7,67.9,0.086,-6.93,-3.59,14,22,6,0.7857142857142857
56,Boise St. ,WAC,3.89,108.7,104.8,70.7,0.085,-2.64,-3.36,14,25,9,0.7352941176470589
57,UMBC ,AE,3.86,113.2,109.3,63.7,0.057,-4.31,2.68,15,24,9,0.7272727272727273
58,Belmont ,ASun,3.53,109.7,106.2,68.6,0.075,-5.21,0.51,15,25,9,0.7352941176470589
59,American ,Pat,1.67,107.9,106.3,60.4,0.045,-4.23,-2.17,15,21,12,0.6363636363636364
60,Austin Peay ,OVC,-0.3,104.6,104.9,65.5,0.086,-6.35,5.19,15,24,11,0.6857142857142857
61,Mount St. Mary's ,NEC,-1.32,99.3,100.6,66.1,0.014,-5.35,-0.05,16,19,15,0.5588235294117647
62,UT Arlington ,Slnd,-2.31,101.3,103.6,68.6,0.045,-4.81,-5.9,16,21,12,0.6363636363636364
63,Coppin St. ,MEAC,-14.41,92.4,106.8,62.9,0.065,-7.38,7.87,16,16,21,0.43243243243243246
64,Mississippi Valley St. ,SWAC,-15.21,91.9,107.1,63,0.115,-11.0,13.04,16,17,16,0.5151515151515151
