Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
North Carolina 1,ACC,33-4,32.77,122.5,89.7,73.1,0.011,11.64,4.26
Illinois 1,B10,37-2,32.68,122.3,89.6,64.1,-0.007,8.16,0.31
Duke 1,ACC,27-6,27.41,115.7,88.3,68.3,-0.002,10.89,1.51
Louisville 4,CUSA,33-5,25.78,118.8,93,66.3,0.045,6.42,-2.03
Michigan St. 5,B10,26-7,25.67,119.7,94,66.4,-0.013,7.89,-3.18
Oklahoma St. 2,B12,26-7,25.02,121.2,96.2,66.2,-0.015,9.59,5.03
Villanova 5,BE,24-8,25.02,114.7,89.7,67,-0.054,9.16,-0.89
Wake Forest 2,ACC,27-6,24.86,124.3,99.5,68.9,0.046,10.94,4.87
Kentucky 2,SEC,28-6,24.1,113,88.9,66.6,0.032,8.85,-2.71
Florida 4,SEC,24-8,23.93,116.4,92.5,65.2,-0.027,7.13,-4.3
Kansas 3,B12,23-7,23.08,115.6,92.5,66.5,0.008,10.45,10.37
Oklahoma 3,B12,25-8,22.55,114.4,91.8,65.4,-0.006,7.68,0.09
Arizona 3,P10,30-7,22.22,116.7,94.5,68.6,0.027,8.12,3.33
Washington 1,P10,29-6,22.18,120.6,98.4,71.9,0.06,8.61,6.73
Connecticut 2,BE,23-8,21.94,112.1,90.2,70.6,-0.031,8.52,-1.04
Syracuse 4,BE,27-7,20.98,115.6,94.7,65.8,0.002,6.29,-4.57
Wisconsin 6,B10,25-9,20.81,112,91.2,62.8,0.042,10.24,1.27
Alabama 5,SEC,24-8,20.51,118.8,98.3,62.8,0.033,6.84,-1.28
Cincinnati 7,CUSA,25-8,20.43,112.5,92,68,-0.006,5.48,0.62
Utah 6,MWC,29-6,20.33,113.1,92.7,59.1,0.032,3.6,-4.04
Utah St. 14,BW,24-8,19.62,116,96.4,61.1,-0.094,-2.48,-4.48
Georgia Tech 5,ACC,20-12,19.23,109.2,90,68.6,-0.038,10.91,-4.87
North Carolina St. 10,ACC,21-14,18.93,115,96.1,63.1,-0.062,10.05,-3.82
Pittsburgh 9,BE,20-9,18.41,114.8,96.3,64,-0.057,5.63,-10.09
Boston College 4,BE,25-5,18.3,114.3,96,64.8,0.078,6.6,-4.21
Gonzaga 3,WCC,26-5,17.88,119.3,101.4,67.1,0.012,3.46,2.18
Iowa 10,B10,21-12,17.17,111.9,94.7,68.1,-0.034,9.51,3.4
Texas 8,B12,20-11,17.01,114.1,97.1,66.5,-0.051,6.62,-2.46
Southern Illinois 7,MVC,27-8,16.75,109.1,92.4,63.4,0.015,6.1,4.17
Ohio St.,B10,20-12,15.82,109.7,93.9,65.5,-0.067,5.63,-3.63
New Mexico 12,MWC,26-7,15.54,112.8,97.3,65.4,-0.002,-0.46,-10.69
Texas Tech 6,B12,22-11,15.47,110.3,94.8,69,0.037,8.93,-3.94
Vanderbilt,SEC,20-14,15.31,111,95.7,65.8,-0.053,6.82,-0.02
Mississippi St. 9,SEC,23-11,15.25,109.3,94,68.1,0.038,6.49,-1.84
West Virginia 7,BE,24-11,15,114.1,99.1,63.6,0.082,9.14,-7.33
Milwaukee 12,Horz,26-6,14.69,110.1,95.4,68.8,0.079,2.31,7.63
Maryland,ACC,19-13,14.62,109.3,94.7,74.5,-0.034,8.07,-5.23
George Washington 12,A10,22-8,14.41,109.9,95.5,70.8,-0.013,0.49,0.84
Creighton 10,MVC,23-11,14.33,114.3,100,63.1,-0.033,4.44,-1.69
Pacific 8,BW,27-4,14.08,114.5,100.5,63.6,0.091,0.66,1.74
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Minnesota 8,B10,21-11,14.06,104,89.9,67.3,0.016,6.18,-3.99
LSU 6,SEC,20-10,13.8,113.9,100.1,66.7,0.07,7.49,0.64
Vermont 13,AE,25-7,13.53,111.3,97.8,64.7,0.032,-1.71,5.11
Air Force,MWC,18-12,13.4,112.2,98.9,54.3,-0.084,2.63,-1.5
Northern Iowa 11,MVC,21-11,13.36,112.2,98.9,64.5,-0.035,5.44,1.09
Texas A&M,B12,21-10,13.34,112.3,98.9,64.9,0.007,4.05,-16.29
Wichita St.,MVC,22-10,13.15,113.6,100.5,64.4,-0.013,4.74,-0.68
Iowa St. 9,B12,19-12,13.02,103.1,90.1,66.8,0.003,7.22,-3.06
Saint Joseph's,A10,24-12,13.01,106.9,93.9,61.6,0.019,3.55,8.98
South Carolina,SEC,20-13,12.73,110.2,97.5,64,-0.017,6.91,-1.3
UAB 11,CUSA,22-11,12.51,109.2,96.7,71,-0.001,4.75,1.33
Georgetown,BE,19-13,12.45,112.2,99.8,59.2,-0.005,6.83,-5.5
Memphis,CUSA,22-16,12.17,107.8,95.7,66.9,-0.058,4.51,2.26
Charlotte 7,CUSA,21-8,12.15,111.6,99.5,70.6,0.042,3.68,-1.74
Nevada 9,WAC,25-7,12.11,104,91.8,65.7,0.045,1.1,0.35
Arkansas,SEC,18-12,11.98,106.2,94.2,65.4,-0.063,2.84,-9.99
Clemson,ACC,16-16,11.92,105.6,93.7,69.7,-0.052,9.7,-3.17
UTEP 11,WAC,27-8,11.62,112.7,101.1,65.9,0.015,-0.68,-5.3
Notre Dame,BE,17-12,11.54,109.9,98.3,64.3,-0.041,6.58,-8.1
Southwest Missouri St.,MVC,19-13,11.42,108.2,96.8,68.8,-0.044,5.06,-1.68
Providence,BE,14-17,11.36,111.2,99.8,68.7,-0.092,9.76,3.08
DePaul,CUSA,20-11,11.29,111.8,100.5,62.5,0,3.7,-0.94
Western Michigan,MAC,20-13,11.14,111.6,100.4,64.9,-0.067,3.27,1.87
Miami OH,MAC,19-11,11.08,106,94.9,60.7,0.008,5.09,7.16
Indiana,B10,15-14,11,109.2,98.2,61.7,0.011,9.93,7.36
Holy Cross,Pat,25-7,10.97,104.7,93.8,63.5,0.012,-4.27,0.39
Miami FL,ACC,16-13,10.83,111.4,100.5,64.4,-0.006,7.5,-7.2
UCLA 11,P10,18-11,10.74,107.8,97.1,69.2,0.036,6.73,-0.43
Stanford 8,P10,18-13,10.63,106.6,95.9,67.1,0.049,8.47,4.14
Arizona St.,P10,18-14,10.32,111.1,100.8,68.6,-0.05,5.16,-4.68
Kansas St.,B12,17-12,10.14,109.9,99.8,63.4,-0.012,6.41,-6.33
Akron,MAC,19-10,10.1,106,95.9,66.2,-0.014,2.55,-1.97
Old Dominion 12,CAA,28-6,10.04,104.7,94.6,66.4,0.049,-3.2,-3.98
Louisiana Lafayette 13,SB,20-11,9.91,107.1,97.2,67.6,0.037,2.67,9.12
Oral Roberts,MCon,25-8,9.88,107,97.1,69.7,-0.013,-2.52,2.65
Buffalo,MAC,23-10,9.87,107.4,97.5,68.6,0.056,3.27,-2.24
Penn 13,Ivy,20-9,9.6,102.1,92.5,68.2,0.034,-1.72,3.31
Saint Mary's 10,WCC,25-9,9.41,106.8,97.4,64.9,0.08,3.04,-0.59
Washington St.,P10,16-Dec,9.14,96,86.9,57.8,-0.048,8.67,5.63
Nebraska,B12,14-14,9.13,105.2,96.1,64.9,-0.082,5.73,-6.91
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Xavier,A10,17-12,9.05,111.5,102.4,63.1,-0.087,0.76,3.06
Tennessee,SEC,14-17,8.89,110,101.1,65,-0.052,8.95,0.41
