Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Rutgers,BE,20-13,9.83,106,96.2,66,0.046,6.66,0.32
Penn,Ivy,17-10,9.8,109,99.2,63.6,-0.072,-2.36,5.82
Dayton 10,A10,24-9,9.75,108.1,98.4,62.2,0.084,3.26,-1.55
Kent St.,MAC,22-9,9.68,106.9,97.2,65.6,0.009,0.37,1.51
Georgia,SEC,16-14,9.54,108.1,98.5,62.3,0.029,8.84,-5.31
UNLV,MWC,18-13,9.35,110.3,100.9,69.1,-0.009,5.18,0.12
Hawaii,WAC,21-12,9.27,109.8,100.6,65.3,0.023,4.31,-4.46
Oregon,P10,18-13,9.21,110.9,101.7,67.6,0.026,6.38,2.41
Detroit,Horz,19-11,9.19,106.4,97.2,59.1,-0.009,-0.14,2.76
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
VCU 13,CAA,23-8,9.09,105.6,96.5,64.4,0.076,-0.29,0.29
Pacific 12,BW,25-8,8.93,108.6,99.7,63.6,0.096,0.28,3.56
Kansas St.,B12,14-14,8.89,104.6,95.7,64.9,-0.08,5.49,-8.19
Northern Iowa 14,MVC,21-10,8.78,107.4,98.6,64.8,0.022,2.45,-1.91
East Tennessee St. 13,SC,27-6,8.6,104.4,95.8,73.2,0.016,-2.39,0.64
Rhode Island,A10,20-14,8.48,105.2,96.7,64.4,0.003,2.69,0.47
Saint Louis,CUSA,19-13,8.21,103.5,95.3,61.3,0.031,5.49,-1.49
Troy St.,ASun,24-7,7.82,113.5,105.7,68,0.017,-5,3.83
Tennessee,SEC,15-14,7.3,108.5,101.2,66.1,0.02,7.83,-6.49
Temple,A10,15-14,7.23,109.8,102.5,60.1,0.011,6.05,6.95
Fresno St.,WAC,14-15,7.09,106.7,99.6,58.7,-0.066,5.37,2.19
Marquette,CUSA,19-12,7.03,111.7,104.6,64.2,0.02,3.1,-6.5
West Virginia,BE,17-14,6.81,107,100.2,62.3,0.064,6.8,0.71
Indiana,B10,14-15,6.81,105.3,98.4,64,0.053,8.97,8.13
Southwest Missouri St.,MVC,19-14,6.48,105.6,99.1,63.2,-0.026,1.31,-4.18
George Mason,CAA,23-10,6.24,103,96.8,67.5,0.093,0.36,-0.35
Arkansas,SEC,16-Dec,6.03,104.6,98.6,66.1,-0.067,6.44,-6.94
UCF 14,ASun,25-6,5.91,103.3,97.4,62.6,0.087,-5.87,-3.79
Drexel,CAA,18-11,5.78,106.7,100.9,67.7,-0.017,-1.3,-5.62
Northwestern,B10,14-15,5.65,106.7,101.1,59.3,0.023,6.62,2.13
Old Dominion,CAA,17-12,5.57,104.6,99,69.1,-0.019,0.66,2.85
California,P10,13-15,5.51,103.7,98.2,64,-0.018,5.91,3.39
Austin Peay,OVC,22-10,5.49,100.1,94.6,62.1,0.07,-0.01,14.88
Niagara,MAAC,22-10,5.45,111.5,106.1,69.9,-0.028,-3.24,-4.1
Belmont,ASun,21-9,5.22,106,100.8,63.8,-0.047,-5.08,7.27
Fairfield,MAAC,19-11,4.95,102.2,97.3,62.1,0.025,-2.12,2.62
Clemson,ACC,18-Oct,4.93,102.1,97.1,64.9,0.022,13.44,-1.35
Princeton 14,Ivy,20-8,4.86,106.3,101.4,56.4,0.033,-4.32,-0.07
Buffalo,MAC,17-12,4.67,107.6,102.9,69.5,-0.018,-1.87,-4.78
Miami FL,BE,14-16,4.6,107.4,102.8,65.2,-0.104,2.44,-11.93
San Diego St.,MWC,14-16,4.49,105,100.6,66.9,-0.035,5.88,2.26
Toledo,MAC,20-11,4.36,109,104.7,69.6,0.115,1.39,6
East Carolina,CUSA,13-14,4.35,104.7,100.4,65.4,-0.101,1.63,-12.96
Wyoming,MWC,17-Nov,4.34,104.7,100.3,68,-0.123,4.78,-0.34
New Mexico,MWC,14-14,4.19,110.3,106.1,61.6,-0.058,2.21,-7.44
College of Charleston,SC,20-9,3.92,105.5,101.6,67.7,0.017,-3.61,1.4
IUPUI,MCon,21-11,3.85,110.7,106.9,64.5,-0.017,-2.48,2.28
Western Kentucky,SB,15-13,3.8,111.2,107.4,66.2,-0.056,0.57,5.96
Louisiana Tech,WAC,15-15,3.8,102.6,98.8,64.9,-0.018,5.32,-1.03
UNC Wilmington,CAA,15-15,3.66,98.7,95,59.8,-0.064,0.29,2.5
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
UC Santa Barbara,BW,16-12,3.45,101.9,98.5,63.1,-0.034,-1.3,1.67
Miami OH,MAC,18-11,3.43,104.5,101.1,58.6,0.085,1.5,4.46
Virginia Tech,BE,15-14,3.16,101.9,98.8,66.3,0.052,4.31,-9.42
Georgetown,BE,13-15,3.1,99.1,96,68.4,-0.053,2.93,-10.85
Eastern Washington 15,BSky,17-13,3.09,105.4,102.3,64.5,0.014,-0.25,7.22
Washington St.,P10,13-16,3.04,100.9,97.9,56.5,-0.014,5.37,-1.9
Boston University,AE,23-6,3.01,102.5,99.5,63.4,0.115,-7.79,0.37
Mississippi,SEC,13-15,2.99,102.7,99.7,62.9,0.022,6.19,-7.42
Pepperdine,WCC,15-16,2.93,113.7,110.8,69.3,-0.001,2.22,2.89
Butler,Horz,16-14,2.77,107.5,104.7,56.4,-0.038,-0.58,1.04
Colorado St.,MWC,13-16,2.63,104.3,101.6,68.3,0.008,5.86,1.09
USC,P10,13-15,2.32,104.6,102.3,70.3,0.086,6.21,3.17
Minnesota,B10,18-Dec,2.23,105.2,103,67.3,-0.034,5.18,-2.5
Georgia St.,ASun,20-9,1.88,104.5,102.6,65.5,0.04,-5.19,6.99
Middle Tennessee,SB,17-12,1.81,103.4,101.6,65.3,0.026,-0.74,0.13
SMU,WAC,18-Dec,1.72,105.2,103.5,62.4,0.001,6.16,2.44
Davidson,SC,17-12,1.55,103.6,102.1,66.3,0.043,-0.03,15.04
Ball St.,MAC,14-15,1.47,103.3,101.9,67.1,-0.013,1.47,6.51
Stephen F. Austin,Slnd,21-9,1.45,99.6,98.2,63.4,-0.075,-9.43,-9.43
Hofstra,CAA,14-15,1.42,105.7,104.3,67.4,-0.007,1.52,5.24
Oral Roberts,MCon,17-11,1.3,109.4,108.1,68.1,0.007,-1.83,2.26
Arizona St.,P10,17-Oct,1.29,107.6,106.3,68.5,-0.049,4.44,-2.29
Georgia Southern,SC,21-8,1.27,100.9,99.6,72.5,-0.016,-6.46,-8.44
UCLA,P10,17-Nov,1.24,102.7,101.4,63.2,0.017,5.71,2.42
Chattanooga,SC,19-11,1.18,111.2,110,66.8,0.043,-1.81,1.82
Duquesne,A10,17-Dec,1.01,104.5,103.5,67.5,-0.052,2.77,-6.28
UMKC,MCon,15-14,0.72,105.7,105,65.8,-0.069,-4.24,-4.53
Ohio St.,B10,14-16,0.71,107.9,107.2,62.8,0.056,4.63,-2.79
Oregon St.,P10,16-Dec,0.66,102.8,102.1,67.6,0.003,3.89,-5.14
Delaware,CAA,16-12,0.62,99.3,98.6,68.9,0.028,-1.81,-6.37
Arkansas Little Rock,SB,17-12,0.58,101,100.4,65.6,-0.052,-4.51,-6.93
Valparaiso 15,MCon,18-13,0.53,100.1,99.6,69.2,0.068,-1.31,0.85
Tulsa,WAC,20-Sep,0.16,102.2,102,67,-0.099,5.87,2.74
TCU,CUSA,17-Dec,0.08,102.9,102.8,66.1,-0.001,3.94,-0.22
Drake,MVC,16-Dec,-0.03,100.9,100.9,68.2,-0.012,2.24,-2.76
