,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Villanova ,BE,32.01,122.8,90.8,66,0.023,10.74,2.98,2,35,5,0.875
1,North Carolina ,ACC,29.82,124.4,94.6,70.5,-0.055,11.45,3.13,1,33,7,0.825
2,Kansas ,B12,29.67,120,90.4,69,0.044,12.61,3.62,1,33,5,0.868421052631579
3,Virginia ,ACC,29.64,120.6,91,61.3,-0.04,12.67,4.98,1,29,8,0.7837837837837838
4,Michigan St. ,B10,27.97,123.4,95.5,66.5,-0.012,7.19,0.4,2,29,6,0.8285714285714286
5,Kentucky ,SEC,25.14,121.8,96.6,67.4,-0.046,8.37,3.19,4,27,9,0.75
6,West Virginia ,B12,24.45,115.3,90.9,69.5,0.003,11.24,0.72,3,26,9,0.7428571428571429
7,Purdue ,B10,23.85,116.9,93.1,67.9,-0.046,7.43,-2.67,5,26,9,0.7428571428571429
8,Oklahoma ,B12,23.78,117.9,94.1,69.8,0.082,13.05,2.7,2,29,8,0.7837837837837838
9,Indiana ,B10,23.05,121.7,98.7,68.2,0,6.4,-3.12,5,27,8,0.7714285714285715
10,Oregon ,P12,22.68,119.1,96.4,68.1,0.041,9.06,1.04,1,31,7,0.8157894736842105
11,Wichita St. ,MVC,22.53,111.3,88.7,66,-0.079,3.61,6.45,11,26,9,0.7428571428571429
12,Xavier ,BE,22.52,117.1,94.6,71.9,0.047,8.16,1.73,2,28,6,0.8235294117647058
13,Miami FL ,ACC,22.44,119.4,96.9,65.9,0.077,11.67,2.63,3,27,8,0.7714285714285715
14,Duke ,ACC,21.87,121.9,100,67.7,-0.026,11.23,3.52,4,25,11,0.6944444444444444
15,Texas A&M ,SEC,21.26,113.8,92.5,67.1,0.006,8.48,3.15,3,28,9,0.7567567567567568
16,Arizona ,P12,20.97,116.8,95.8,68.3,-0.038,6.66,-3.66,6,25,9,0.7352941176470589
17,Iowa St. ,B12,20.95,121.2,100.3,71.2,-0.062,12.05,2.54,4,23,12,0.6571428571428571
18,Gonzaga ,WCC,20.82,116.3,95.5,67.3,-0.038,3.51,6.12,11,28,8,0.7777777777777778
19,Maryland ,B10,20.25,116.2,95.9,67.4,0.016,8.6,-1.86,5,27,9,0.75
20,Iowa ,B10,20.24,116.1,95.9,68.8,-0.071,9.12,1.28,7,22,11,0.6666666666666666
21,Baylor ,B12,19.06,118.9,99.8,66.6,-0.012,11.21,-3.12,5,22,12,0.6470588235294118
22,Vanderbilt ,SEC,18.76,113.6,94.9,67.8,-0.106,8.6,3.68,11,19,14,0.5757575757575758
23,Connecticut ,Amer,18.71,111.9,93.2,65.9,-0.036,6.17,-0.91,9,25,11,0.6944444444444444
24,Syracuse ,ACC,18.57,112.7,94.1,65,-0.027,10.21,-0.82,10,23,14,0.6216216216216216
25,California ,P12,18.32,112.5,94.2,68.1,-0.053,7.65,-2.58,4,23,11,0.6764705882352942
26,Seton Hall ,BE,18.27,111.1,92.9,69.7,0.016,8.55,-2.92,6,25,9,0.7352941176470589
27,Butler ,BE,17.27,118,100.7,67.9,-0.009,8.1,-4.1,9,22,11,0.6666666666666666
28,VCU ,A10,17.07,112.1,95,69.6,-0.07,3.82,0.95,10,25,11,0.6944444444444444
29,Cincinnati ,Amer,17.06,111.2,94.1,64,-0.067,5.2,-1.21,9,22,11,0.6666666666666666
30,Utah ,P12,16.79,115.6,98.8,65.3,0.112,9.79,1.9,3,27,9,0.75
31,Notre Dame ,ACC,16.6,120.6,104,64.6,0.054,10.75,-1.64,6,24,12,0.6666666666666666
32,Pittsburgh ,ACC,16.6,114.9,98.3,65.3,-0.011,9.06,-7.02,10,21,12,0.6363636363636364
