Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Kentucky 1,SEC,32-4,29.18,116.5,87.4,67.7,0.051,11.2,6.77
Kansas 2,B12,30-8,28.62,115,86.4,72.2,-0.017,11.84,6.08
Pittsburgh 2,BE,28-5,28.61,114.8,86.2,64.7,-0.023,7.07,-8.24
Arizona 1,P10,28-4,26.8,115.6,88.8,72.7,-0.007,8.69,8.19
Illinois 4,B10,25-7,24.47,113.2,88.7,67.8,-0.029,7.29,-4.18
Duke 3,ACC,26-7,23.75,115,91.3,70.7,-0.03,8.85,0.64
Texas 1,B12,26-7,23.49,119.3,95.8,69.4,-0.009,10.36,2.16
Syracuse 3,BE,30-5,23.28,114.4,91.1,71,0.083,10.32,-3.63
Oklahoma 1,B12,27-7,23.01,112.1,89.1,62.7,0.034,9.01,-2.32
Louisville 4,CUSA,25-7,22.75,115.8,93,72.5,-0.029,6.82,5.99
Florida 2,SEC,25-8,22.14,116.5,94.4,65,0.008,8.3,-0.89
Wisconsin 5,B10,24-8,22.07,114.4,92.4,61.9,-0.024,6.46,-1.01
Maryland 6,ACC,21-10,22,110.9,88.9,71.5,-0.078,8.23,-5.28
Mississippi St. 5,SEC,21-10,21.53,107.4,85.8,64.8,-0.06,8.85,-2.62
Marquette 3,CUSA,27-6,21.3,120.5,99.2,65.7,0.07,7.94,-1.46
Georgia,SEC,19-8,20.93,120.9,99.9,67.1,0.012,12.71,10.85
Saint Joseph's 7,A10,23-7,20.75,109,88.3,64.1,-0.049,4.61,5.8
Notre Dame 5,BE,24-10,20.31,116.5,96.2,69.2,0.009,11,3.78
Michigan St. 7,B10,22-13,20.26,110.1,89.9,63.6,-0.05,10.11,3.19
Xavier 3,A10,26-6,19.88,113.8,94,67.7,0.018,4.8,4.84
Wake Forest 2,ACC,25-6,19.87,114.5,94.6,67.7,0.073,7.83,-3.8
Connecticut 5,BE,23-10,19.54,111.6,92,71.2,0.005,8.75,-3.47
LSU 8,SEC,21-11,18.15,111,92.8,67.5,-0.035,6.27,-8.36
BYU 12,MWC,23-9,17.68,109.4,91.7,65.5,-0.031,5.49,5.2
Oklahoma St. 6,B12,22-10,17.67,105.9,88.2,66.7,0.003,9.08,-1.14
Creighton 6,MVC,29-5,17.54,112.4,94.9,68.4,0.026,-0.19,-0.51
Purdue 9,B10,19-11,17.42,107,89.6,69.3,-0.012,9.53,4.87
Missouri 6,B12,22-11,17.32,111.5,94.2,66.9,0.043,11.14,2.97
Memphis 7,CUSA,23-7,16.72,110.9,94.1,68.3,0.005,4.84,3.33
Arizona St. 10,P10,20-12,16.49,113.9,97.4,66.9,-0.014,8.74,5.44
Butler 12,Horz,27-6,16.09,115.4,99.3,58.6,0.073,4.1,1.83
Texas Tech,B12,21-13,15.89,109.3,93.4,66.2,-0.027,8.92,-2.11
Gonzaga 9,WCC,24-9,15.58,113.2,97.7,66.9,-0.021,3.93,5.83
