,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Duke ,ACC,32.33,120.8,88.5,67.7,-0.028,12.59,2.42,1,31,6,0.8378378378378378
1,Connecticut ,BE,28.3,117.8,89.5,68.2,0.012,8.93,-2.05,2,33,6,0.8461538461538461
2,Saint Joseph's ,A10,27.66,118.9,91.2,66.1,0.06,6.99,8.86,1,30,2,0.9375
3,Oklahoma St. ,B12,27.37,118.5,91.1,64.8,0.029,7.56,-5.55,2,31,4,0.8857142857142857
4,Pittsburgh ,BE,25.91,114.1,88.2,59.7,-0.028,5.97,-8.2,3,31,5,0.8611111111111112
5,Wisconsin ,B10,25.74,116,90.3,60.7,-0.001,8.34,3.63,6,25,7,0.78125
6,Gonzaga ,WCC,25.34,120.8,95.5,66.6,0.013,3.28,7.0,2,28,3,0.9032258064516129
7,Georgia Tech ,ACC,24.69,113.5,88.8,69.1,0.008,13.74,0.97,3,28,10,0.7368421052631579
8,North Carolina St. ,ACC,23.98,119.1,95.1,62.1,-0.072,12.81,-0.59,3,21,10,0.6774193548387096
9,Kentucky ,SEC,23.35,113.5,90.1,66.1,0.031,8.97,3.47,1,27,5,0.84375
10,North Carolina ,ACC,23.23,117.4,94.1,70.9,-0.091,13.85,2.76,6,19,11,0.6333333333333333
11,Stanford ,P10,22.52,111.9,89.3,64.5,0.051,3.76,-1.79,1,30,2,0.9375
12,Illinois ,B10,22.11,117.8,95.7,63.5,0.055,8.13,2.52,5,26,7,0.7878787878787878
13,Mississippi St. ,SEC,21.74,114.7,92.9,68.1,0.021,6.38,-1.89,2,26,4,0.8666666666666667
14,Wake Forest ,ACC,21.69,121.6,99.9,70.4,-0.019,13.52,1.79,4,21,10,0.6774193548387096
15,Cincinnati ,CUSA,21.56,116.1,94.5,66.7,0.003,5.62,-0.28,4,25,7,0.78125
16,Texas ,B12,21.54,115.6,94.1,64.7,0.038,9.27,0.8,3,25,8,0.7575757575757576
17,Kansas ,B12,20.89,112.3,91.4,69.4,0.017,10.39,6.53,4,24,9,0.7272727272727273
18,Louisville ,CUSA,20.44,107.1,86.6,67.4,-0.079,7.09,4.23,10,20,10,0.6666666666666666
