Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Florida 3,SEC,33-6,28.28,117.9,89.7,66.9,-0.011,8.35,-8.46
Duke 1,ACC,32-4,27.54,119.4,91.8,69.8,0.047,10.51,6.81
Texas 2,B12,30-7,25.79,117.5,91.7,63.9,0.039,7.79,-0.02
Connecticut 1,BE,30-4,25.44,117.8,92.3,68.7,0.077,8.98,-3.8
Villanova 1,BE,28-5,24.59,116.3,91.7,65.6,0.08,10.79,3.17
Memphis 1,CUSA,33-4,23.54,113.2,89.6,70.8,-0.007,3.89,7.82
UCLA 2,P10,32-7,23.4,112.7,89.3,61.6,0.02,8.3,1.6
Kansas 4,B12,25-8,23.22,110.4,87.2,67.7,-0.043,6.03,-1.11
Illinois 4,B10,26-7,23.2,114.5,91.3,62.1,-0.019,6.77,-4.52
North Carolina 3,ACC,23-8,22.16,115.9,93.7,70.2,-0.01,9.1,-0.83
LSU 4,SEC,27-9,22,109.8,87.8,67.5,0.008,10.68,1.75
Pittsburgh 5,BE,25-8,21.72,112.4,90.6,64.6,-0.031,7.81,-6.92
Georgetown 7,BE,23-10,21.29,116.5,95.2,57.8,-0.026,9.58,-1.83
Ohio St. 2,B10,26-6,20.68,113,92.3,65.2,0.028,6.74,-3.33
Washington 5,P10,26-7,20.09,114.8,94.7,71.6,0.007,5.21,-7.56
West Virginia 6,BE,22-11,19.49,116.1,96.6,62.5,-0.046,10.37,-0.49
Tennessee 2,SEC,22-8,19.44,116.6,97.2,71.1,0.012,9.44,-0.74
Boston College 4,ACC,28-8,18.65,117.8,99.2,61.5,0.024,7.43,-5.69
Arkansas 8,SEC,22-10,18.47,112.2,93.8,66,-0.062,6.35,-4.78
Iowa 3,B10,25-9,18.22,103.8,85.6,64.7,0.046,7.86,-0.77
George Mason 11,CAA,27-8,18.16,109.7,91.5,62.6,0.017,4.11,2.16
Arizona 8,P10,20-13,17.23,112.2,95,67.7,-0.037,10.53,9.27
Kentucky 8,SEC,22-13,17.13,114.4,97.3,64.1,-0.001,10.02,3.02
Bradley 13,MVC,22-11,16.5,107.5,91,69.3,-0.019,6.94,-2.22
Wichita St. 7,MVC,26-9,16.06,111.8,95.7,62.6,0.032,6.03,0.35
Michigan St. 6,B10,22-12,16.02,116.3,100.3,64.2,0.004,8.89,-1.03
North Carolina St. 10,ACC,22-10,15.92,112.5,96.6,64.4,0.013,6.74,-7.99
Texas A&M 12,B12,22-9,15.9,106.7,90.8,63,-0.008,4.22,-12.2
Northern Iowa 10,MVC,23-10,15.84,109,93.1,59.6,-0.025,6.18,0.24
Gonzaga 3,WCC,29-4,15.64,119.1,103.5,66.3,0.036,4.38,7.98
Indiana 6,B10,19-12,15.53,110,94.4,66.5,-0.012,9.77,2.17
Marquette 7,BE,20-11,15.36,112.8,97.4,68.1,-0.012,8.82,-1.71
Nevada 5,WAC,27-6,15.22,110,94.8,65.8,0.024,1.9,3.89
Wisconsin 9,B10,19-12,14.94,111.5,96.6,65.2,-0.024,7.96,0.91
Air Force 13,MWC,24-7,14.87,113.2,98.3,54.7,-0.001,0.57,-6.63
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
UNC Wilmington 9,CAA,25-8,14.77,107.2,92.4,62.6,-0.006,1.59,0.11
George Washington 8,A10,27-3,14.67,110.3,95.6,71.2,0.106,-1.23,-15.01
Oklahoma 6,B12,20-9,13.99,113,99,62.4,0.049,6.16,-0.61
California 7,P10,20-11,13.68,110.5,96.8,61.9,0.021,7.59,-0.77
Southern Illinois 11,MVC,22-11,13.6,102.9,89.3,60.7,0.032,5.81,0.44
Syracuse 5,BE,23-12,13.15,110,96.8,68.3,0.077,8.71,-3.79
San Diego St. 11,MWC,24-9,12.78,112.8,100,66.1,-0.001,2.27,-2.2
Xavier 14,A10,21-11,12.73,110.9,98.2,65.3,-0.065,1.91,-3.38
UAB 9,CUSA,24-7,12.65,109.1,96.5,68.5,0.058,1.51,0.98
Bucknell 9,Pat,27-5,12.56,105.7,93.1,61.8,0.092,-3.17,7.18
Alabama 10,SEC,18-13,12.48,112.8,100.3,63.4,0.005,9.21,1.6
Milwaukee 11,Horz,22-9,11.86,108.3,96.5,67.7,0.017,1.54,4.95
Iona 13,MAAC,23-8,11.33,109.7,98.4,69.6,0.024,0.66,3.83
Oregon,P10,15-18,11.31,111.9,100.6,63.6,-0.144,7.33,-1.3
Pacific 13,BW,24-8,10.87,109.8,99,62.8,0.01,-1.99,0.54
Utah St. 12,WAC,23-9,10.86,113.4,102.6,60.9,0.026,1.59,-2.41
Kent St. 12,MAC,25-9,10.54,108.3,97.8,65.7,0.017,0.67,-1.52
Winthrop 15,BSth,23-8,10.27,104.4,94.2,64,-0.027,-5.29,8.15
Virginia Tech,ACC,14-16,10.25,108.2,97.9,63.3,-0.149,5.61,-9.6
Iowa St.,B12,16-14,10.03,111.2,101.2,69.8,-0.052,6.75,1.77
Kansas St.,B12,15-13,9.59,105.9,96.3,63.1,-0.097,3.77,-6.05
Providence,BE,15-Dec,9.47,112.2,102.7,68.7,-0.058,9.18,1.71
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
South Alabama 14,SB,24-7,9.28,109.1,99.9,65.7,0.056,-2.51,-3.47
Seton Hall 10,BE,18-12,9.06,106.5,97.4,65.7,0.086,6.93,-1.81
Montana 12,BSky,24-7,8.95,111.6,102.7,66.2,0.056,-0.62,-0.71
UNLV,MWC,17-13,8.57,105.3,96.8,66.5,-0.031,3.83,2.31
Murray St. 14,OVC,24-7,8.56,104.5,96,63.2,0.01,-5.31,4.32
DePaul,BE,15-Dec,8.42,110.2,101.8,61.4,0.004,10.47,7.26
Northwestern St. 14,Slnd,26-8,7.51,106.6,99.1,67.6,0.016,-1.45,10.25
La Salle,A10,18-10,7.44,107.3,99.8,64.3,0.036,0.34,-3.57
Penn 15,Ivy,20-9,7.3,101.8,94.5,64.3,-0.03,-5.06,1.85
Hawaii,WAC,17-11,7.1,106.9,99.8,62.4,-0.024,1.78,0.46
Washington St.,P10,17-Nov,7.1,97.4,90.3,60.1,-0.11,7.35,-1.88
Drexel,CAA,15-16,6.95,100.3,93.4,62.5,-0.112,1.99,2.99
USC,P10,17-13,6.74,105,98.3,66.6,0.02,5.63,-6.85
Georgia Tech,ACC,17-Nov,6.66,104.8,98.1,68.4,-0.097,7.75,-6.34
VCU,CAA,19-10,6.63,107.2,100.5,62.1,0.005,-1.21,-4.72
Massachusetts,A10,13-15,6.48,101.1,94.6,65.5,-0.069,4.44,4.85
Saint Mary's,WCC,17-12,6.46,105.8,99.3,64.2,-0.032,1.65,2.54
Georgia,SEC,15-15,6.33,103.4,97,68.5,0.025,8.34,-3.35
Marist,MAAC,19-10,6.08,113.1,107,64.9,-0.015,-1.06,-1.86
Ohio,MAC,19-11,6.01,106.4,100.4,64.3,0.02,0.19,0.81
Northeastern,CAA,19-11,5.9,107,101.1,69.1,0.039,0.53,-0.25
Oral Roberts 16,MCon,21-12,5.7,107.1,101.4,66.9,-0.035,-3.45,6.88
Auburn,SEC,16-Dec,5.58,104.2,98.6,65.2,-0.018,8.07,-1.86
Mississippi St.,SEC,15-15,5.53,102.9,97.3,66.7,0.027,5.84,-4.37
New Mexico,MWC,17-13,5.3,105.4,100.1,60.2,-0.003,1.91,-2.75
St. John's,BE,15-Dec,5.27,97.6,92.3,62.5,-0.038,6.47,-7.08
Toledo,MAC,20-11,5.17,101.4,96.2,67.5,-0.023,-3.01,-6.87
San Diego,WCC,18-12,5.14,106.9,101.7,69.6,-0.034,-0.41,-3.39
Northern Illinois,MAC,17-11,5.1,112.7,107.7,61.9,0.012,0.13,3.56
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Texas Tech,B12,15-17,5.03,105.6,100.6,65.9,-0.012,6.54,-1.28
Davidson 15,SC,20-11,4.86,109.9,105,66,-0.025,-3.3,9.24
Northwestern,B10,14-15,4.86,102.8,97.9,58.2,0.005,7.35,-1.24
Texas A&M Corpus Chris,ind,20-8,4.83,104.6,99.8,69.3,-0.055,-8.09,0.93
Saint Louis,A10,16-13,4.56,99.2,94.6,61,0.029,3.05,0.97
New Mexico St.,WAC,16-14,4.23,105.6,101.4,66.9,0.044,3.88,3.5
Fordham,A10,16-16,4.12,107.6,103.5,62.7,-0.014,2.41,2.91
Colorado St.,MWC,16-15,4.09,107.7,103.6,68.2,-0.042,2.83,-0.14
Holy Cross,Pat,20-12,4.06,100.3,96.3,64.7,0.002,-4.47,1.79
UC Irvine,BW,16-13,3.38,110,106.6,61.7,-0.025,-2.98,-2.01
Dayton,A10,14-17,3.15,102.7,99.5,62.3,-0.092,2.52,-2.06
Siena,MAAC,15-13,3.11,105,101.9,67,-0.008,0.51,4.24
Samford,OVC,20-11,3.05,110,107,55.8,0.043,-3.94,12.34
Loyola Marymount,WCC,18-Dec,2.95,100.2,97.3,70.7,-0.044,4.05,5.29
Drake,MVC,19-Dec,2.87,107,104.2,64.4,-0.062,5.96,1.53
Fresno St.,WAC,15-13,2.78,105.6,102.8,69.2,0.039,2.3,1.09
Albany 16,AE,21-11,2.63,106.2,103.6,63.8,0.027,-5.65,0.12
Buffalo,MAC,19-13,2.56,106,103.4,67.3,0.03,-0.68,-1.31
Utah,MWC,14-15,2.47,104.8,102.4,60.2,-0.026,2.65,-2.09
Arizona St.,P10,17-Nov,2.26,104.8,102.6,64.8,-0.027,5.53,-6.99
Wyoming,MWC,14-18,1.85,99.1,97.3,68.3,-0.03,2.64,-3.09
Boise St.,WAC,14-15,1.78,101.8,100,69.8,-0.049,0.89,-3.08
Loyola Chicago,Horz,19-11,1.63,107.5,105.8,65.9,0.078,-0.77,-0.71
Long Beach St.,BW,18-12,1.54,107.6,106.1,74.1,0.027,-2.38,-2.24
Saint Peter's,MAAC,17-15,1,106.2,105.2,66.6,0.041,-0.05,-0.79
Mississippi,SEC,14-16,0.93,102.5,101.6,63.8,0.029,4.72,-9.77
Eastern Washington,BSky,15-15,0.73,106.7,106,65.7,-0.006,0.71,4.19
Oregon St.,P10,13-18,0.58,104.4,103.8,64.5,0.031,6.05,-5.28
Rhode Island,A10,14-14,0.55,104,103.4,62.3,0.043,1.71,-2.94
Missouri,B12,16-Dec,0.28,103.9,103.7,64.6,0.034,5.62,-4.98
San Francisco,WCC,17-Nov,0.28,103.5,103.2,64.1,-0.017,2.34,2.46
Louisiana Lafayette,SB,13-16,0.21,98.4,98.2,66.1,0.02,2.14,7.03
Baylor,B12,13-Apr,0.18,102.6,102.4,65.5,-0.046,11.81,-99
Purdue,B10,19-Sep,0.14,101.9,101.7,65.5,-0.009,8.25,-0.79
Sacramento St.,BSky,15-15,-0.01,106.7,106.7,67.9,-0.031,-0.49,0.86
Central Connecticut,NEC,18-11,-0.07,109.6,109.6,62,-0.027,-7.66,-3.2
Middle Tennessee,SB,16-12,-0.22,105,105.3,64.4,0.065,-1.26,1.91
Santa Clara,WCC,13-16,-0.41,100.7,101.1,64.8,0.014,3.13,5.26
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Portland St.,BSky,16-Dec,-0.59,102.1,102.6,65.6,-0.094,0.03,2.41
North Dakota St.,ind,16-12,-0.65,103.8,104.4,65,-0.066,-4.34,-1.65
Monmouth 16,NEC,19-15,-0.68,95.8,96.4,64.6,0.018,-3.55,4.12
Belmont 15,ASun,20-11,-0.73,107.1,107.8,69.1,0.024,-8.62,5.97
Cal St. Fullerton,BW,16-13,-0.77,107.3,108.1,68.2,-0.036,-4.85,-6.46
Coastal Carolina,BSth,20-10,-0.83,106.5,107.3,61.7,0.069,-6.48,1.56
Troy,SB,14-15,-0.89,105.4,106.3,64.8,-0.105,-3.23,-4.56
Illinois St.,MVC,19-Sep,-0.89,92.8,93.6,61.2,-0.095,4.49,-6.25
Illinois Chicago,Horz,16-15,-0.95,105.4,106.4,63.9,0.088,0.59,3.32
South Florida,BE,22-Jul,-1.01,95.7,96.7,61.6,-0.104,5.82,-4.74
Denver,SB,16-15,-1.03,98.5,99.6,64.1,-0.01,-2.69,-5.37
UC Santa Barbara,BW,15-14,-1.05,102.2,103.3,62,-0.016,-2.41,0.87
Valparaiso,MCon,17-12,-1.17,105.1,106.2,69.2,0.003,-5.77,0.04
Detroit,Horz,16-16,-1.29,104.2,105.5,60,0.048,1.06,4.96
IUPUI,MCon,19-10,-1.73,105.4,107.2,60.8,0.064,-5.5,2.16
Indiana St.,MVC,13-16,-1.77,101.1,102.9,64.7,0.101,5.35,-5.81
College of Charleston,SC,17-11,-1.95,99.6,101.5,67.9,-0.044,-7.76,-7.95
Niagara,MAAC,18-Nov,-1.99,106.4,108.4,65.2,-0.038,0.43,1.43
Sam Houston St.,Slnd,22-9,-2.01,101.5,103.5,67.9,0.159,-3.62,3.52
Wright St.,Horz,13-15,-2.03,101,103,61,0.016,0.23,0.81
Loyola MD,MAAC,15-13,-2.13,105.3,107.4,68.8,0.076,-1.68,-4.41
Stephen F. Austin,Slnd,17-12,-2.23,102.8,105,63.4,-0.09,-7.96,-7.41
