Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
North Carolina 1,ACC,31-7,31.37,121,89.6,72.4,-0.046,10.95,3.1
Florida 1,SEC,35-5,30.81,122.8,92,65.8,0.028,8.73,-6.87
Ohio St. 1,B10,35-4,29.33,121,91.7,64.9,0.057,9.82,-1.71
Georgetown 2,BE,30-7,28.48,122,93.5,59.4,0.006,10.41,-1.02
Kansas 1,B12,33-5,27.81,115.3,87.5,68.7,0.031,6.86,-0.93
UCLA 2,P10,30-6,27.15,115.4,88.3,63.7,0.019,11.08,5.93
Texas A&M 3,B12,27-7,26.97,119.3,92.3,63.7,-0.047,5.38,-5.98
Wisconsin 2,B10,30-6,25.45,115.6,90.1,63.8,0.034,7.78,-1.57
Memphis 2,CUSA,33-4,24.81,115.4,90.6,68.4,0.03,2.93,3.41
Duke 6,ACC,22-11,23.3,113.2,89.9,64.5,-0.074,11.3,3.88
Pittsburgh 3,BE,29-8,22.9,118.1,95.2,62.2,0.033,9.54,0.72
Maryland 4,ACC,25-9,22.42,112.4,90,71.4,-0.027,8.48,-3.07
Kentucky 8,SEC,22-12,21.73,117,95.3,65.8,-0.029,13.23,8.21
Indiana 7,B10,21-11,21.58,115.4,93.8,64.9,-0.058,9.96,1.51
Butler 5,Horz,29-7,21.45,118,96.5,58.1,0.016,4.77,6.61
Southern Illinois 4,MVC,29-7,21.03,109.8,88.8,61,0.017,10.19,7.3
Michigan St. 9,B10,23-12,20.97,112.8,91.8,60.3,-0.036,9.07,-1.63
Oregon 3,P10,29-8,20.76,118.3,97.6,66,0.031,7.19,-9.09
Louisville 6,BE,24-10,20.35,113.5,93.1,64.2,-0.046,7.29,-1.91
Villanova 9,BE,22-11,20.11,113.4,93.3,65.8,-0.036,11.02,2.82
Notre Dame 6,BE,24-8,20.02,118.1,98.1,70.7,-0.018,4.03,-13.12
Georgia Tech 10,ACC,20-12,19.61,116.9,97.3,67.2,-0.067,9.63,-3.11
Arizona 8,P10,20-11,19.43,119.5,100.1,68.3,-0.009,12.2,10.23
Texas 4,B12,25-10,19.24,119.5,100.3,67.6,-0.008,7.56,-1.61
Washington St. 3,P10,26-8,18.87,111.7,92.8,60,0.004,6.79,-4.96
Creighton 10,MVC,22-11,18.53,113.8,95.3,62.7,-0.023,8.84,-3.81
Purdue 9,B10,22-12,18.31,110.7,92.4,66.5,0.002,9.37,1.08
Tennessee 5,SEC,24-11,18.29,115.9,97.6,71.3,0.035,10.57,1.81
Xavier 9,A10,25-9,18.13,117.3,99.2,66.2,-0.047,2.83,1.37
Illinois 12,B10,23-12,17.5,107.3,89.8,62,-0.017,8.06,-0.2
Virginia Tech 5,ACC,22-12,17.38,112.4,95,63.7,-0.004,9.85,0.79
Marquette 8,BE,24-10,17.18,111.8,94.6,67.6,0.009,7.59,-4.27
USC 5,P10,25-12,16.86,111,94.2,67.1,0.016,8.26,-3.8
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
UNLV 7,MWC,30-7,16.83,112.6,95.8,65.2,0.098,5.61,2.29
Arkansas 12,SEC,21-14,16.62,110.6,93.9,66.1,-0.021,10.1,1.28
Vanderbilt 6,SEC,22-12,16.23,115.7,99.4,66.6,0.008,9.34,-2.74
Boston College 7,ACC,21-12,16.18,117.3,101.1,64.3,0.026,10.36,-2.41
Akron,MAC,26-7,16.15,115.2,99.1,63.8,-0.056,-1.65,-4.55
BYU 8,MWC,25-9,16.11,116.7,100.6,67.6,0.001,4.24,-0.3
Nevada 7,WAC,29-5,16.09,117.2,101.2,66.3,0.03,1.98,1.53
Virginia 4,ACC,21-11,15.43,114.1,98.7,67.9,0.006,8.27,-4.35
Gonzaga 10,WCC,23-11,15.31,115.3,100,67.1,-0.032,4.15,4.94
Winthrop 11,BSth,29-5,14.81,112.9,98,61.9,0.055,-2.71,15.06
VCU 11,CAA,28-7,14.55,116.6,102,65.5,0.002,0.2,3.61
LSU,SEC,17-15,14.35,107.8,93.5,63.1,-0.096,8.55,-3.46
Connecticut,BE,17-14,13.78,104,90.2,68.4,-0.11,5.2,-1.68
Oklahoma,B12,16-15,13.68,107.4,93.8,62.8,-0.133,6.72,-6.63
Davidson 13,SC,29-5,13.32,111.8,98.5,71.9,0.067,-1.7,-4.84
Missouri,B12,18-12,12.78,111.4,98.6,72,-0.054,4.71,-3.93
Old Dominion 12,CAA,24-9,12.7,108.6,95.9,65.8,0.013,0.84,0.64
Wichita St.,MVC,17-14,12.42,111.1,98.7,63.4,-0.071,8.38,1.66
Stanford 11,P10,18-13,12.37,109.7,97.3,65.9,0.028,9.5,0.17
Washington,P10,19-13,12.17,113.2,101,69.2,0.018,6.92,-5.49
Northern Iowa,MVC,18-13,11.43,109,97.6,61.6,-0.014,8.01,0.69
Iowa,B10,17-14,11.06,110.6,99.6,66.5,-0.006,7.48,-2.56
Texas Tech 10,B12,21-13,10.98,112.2,101.3,64.9,0.056,7.79,13.51
Santa Clara,WCC,21-10,10.03,106.7,96.7,63.8,0.035,1.46,3.12
California,P10,16-17,9.99,111.7,101.7,64.5,-0.02,9.68,2.24
Hawaii,WAC,18-13,9.87,104.5,94.6,69.2,-0.094,1.69,-1.93
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Kent St.,MAC,21-11,9.85,105.2,95.3,65.4,0.003,1.8,2.48
Nebraska,B12,17-14,8.99,109,100,62.2,-0.012,6.8,-0.78
Evansville,MVC,14-17,8.54,113.2,104.6,64.3,-0.072,6.32,-2.78
Loyola Chicago,Horz,21-11,8.42,110.3,101.9,65,-0.001,1.02,-0.09
Auburn,SEC,17-15,8.39,106.9,98.5,70.2,0.009,7.94,-5.97
Illinois St.,MVC,15-16,8.38,107.1,98.7,65,-0.061,6.37,-3.19
Miami OH 14,MAC,18-15,8.38,105.7,97.4,58.1,-0.024,4.09,6.44
Oral Roberts 14,MCon,23-11,8.36,107.1,98.7,66.5,-0.007,-0.93,4.23
George Mason,CAA,18-15,7.91,106.5,98.6,60.8,-0.071,1.18,0.15
Texas A&M Corpus Chris 15,Slnd,26-7,7.76,114.1,106.4,68.1,0.057,-5.12,2.12
Penn 14,Ivy,22-9,7.69,109.8,102.1,67.9,0.047,-2.74,1.14
Holy Cross 13,Pat,25-9,7.4,103,95.6,62.5,0.025,-3.7,0.98
Houston,CUSA,18-15,7.3,107.1,99.8,68.8,-0.023,3.89,4.48
George Washington 11,A10,23-9,7.28,105,97.7,66.9,0.089,-0.57,-5.16
New Mexico St. 13,WAC,25-9,7.27,108.3,101.1,69.7,0.035,-0.3,-3.75
Saint Joseph's,A10,18-14,7.01,109.1,102.1,62.5,-0.043,2.47,3.16
Bucknell,Pat,22-9,6.83,106.6,99.7,61.3,-0.001,-2.93,2.3
Wright St. 14,Horz,23-10,6.66,104.5,97.8,63,0.137,0.23,-2.57
Utah Valley St.,ind,22-7,6.61,109.9,103.2,62.6,-0.01,-8.15,-2.42
Wake Forest,ACC,15-16,6.5,107.6,101.1,70.7,0.05,10.47,-3.05
Saint Mary's,WCC,17-15,6.49,106.5,100,65.1,-0.102,1.6,4.5
North Dakota St.,ind,20-8,6.2,109.6,103.4,67.2,-0.075,-6.87,0.89
Seton Hall,BE,13-16,6.19,108.5,102.3,70.2,-0.1,5.28,-4.67
Baylor,B12,15-16,5.91,111,105.1,67,-0.058,5.37,-13.41
Colorado St.,MWC,17-13,5.75,108.3,102.6,67.8,0.01,3.89,-4.48
Miami FL,ACC,20-Dec,5.73,113.2,107.5,63.4,-0.077,9.02,-4.34
Drake,MVC,17-15,5.64,113.8,108.2,67.6,0.052,6.22,9.18
UCF,CUSA,22-9,5.54,109.5,104,63.6,-0.003,-3.89,-10.96
Long Beach St. 12,BW,24-8,5.44,112.2,106.8,71,0.11,-3.34,-2.96
Boise St.,WAC,17-14,5.37,106.8,101.4,70.5,-0.057,1.45,-0.98
Tulsa,CUSA,20-11,5.25,101.4,96.2,65.5,-0.02,-1.67,-7.95
Western Kentucky,SB,22-11,5.21,112.3,107.1,68.2,-0.016,-3.84,4.41
UAB,CUSA,15-16,4.92,102.6,97.7,64,-0.042,3.2,4.65
Western Michigan,MAC,16-16,4.75,108.2,103.5,67.6,-0.024,2.96,-2.85
Saint Louis,A10,20-13,4.39,104.8,100.4,61.8,0.096,3.49,5.86
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Belmont 15,ASun,23-10,4.38,106.6,102.2,66.1,0.022,-6.74,2.22
College of Charleston,SC,22-11,4.19,103.8,99.6,65.4,0.032,-2.6,-1.39
Dayton,A10,19-12,4.12,104.9,100.7,64.4,0.086,1.21,-1.02
Ohio,MAC,19-13,4.08,109.4,105.3,66.2,0.028,0.73,0.42
South Carolina,SEC,14-16,3.96,110.3,106.4,61,0.068,9.41,-3.71
Southern Miss,CUSA,20-11,3.65,104,100.3,65.2,0.001,-1,-9.27
Oakland,MCon,19-14,3.45,110.2,106.7,63.9,0.039,0.78,7.92
St. John's,BE,16-15,3.41,103.3,99.9,63.8,0.039,4.48,-8.3
Wyoming,MWC,17-15,3.34,109,105.6,68.9,0.055,4.08,-2.72
Temple,A10,18-Dec,3.06,110.3,107.2,68.8,-0.123,1.98,2.96
Sam Houston St.,Slnd,21-10,2.91,106.2,103.3,69.6,0.008,-4.67,3.01
UTEP,CUSA,14-17,2.68,103.7,101,72.1,-0.137,-1.32,-6.61
Iowa St.,B12,15-16,2.67,101.4,98.7,63.3,0.038,5.82,-5.14
Rhode Island,A10,19-14,2.55,113,110.5,67.6,0.066,2.08,0.72
Northwestern,B10,13-18,2.51,105.5,103,56.9,-0.049,6.48,-6.14
Fordham,A10,18-12,2.32,100.8,98.5,62.9,0.053,-0.67,0.56
Albany 13,AE,23-10,2.25,107.4,105.2,63.7,0.109,-3.47,0.94
New Mexico,MWC,15-17,2.18,110.7,108.5,65.3,-0.055,2.38,-5.36
Indiana St.,MVC,13-18,1.94,104.1,102.1,62.5,0.059,9.16,2.02
Cincinnati,BE,19-Nov,1.87,103.7,101.9,64.8,-0.03,6.99,-1.24
Tulane,CUSA,17-13,1.83,102.8,101,69.8,0.046,-0.23,-4.31
Arizona St.,P10,22-Aug,1.83,101.3,99.5,58.5,-0.091,7.9,-6.05
Green Bay,Horz,18-15,1.74,107.4,105.6,64.2,-0.005,-0.52,-3.45
Utah,MWC,19-Nov,1.63,113.7,112.1,61.2,-0.041,5.65,1.75
Penn St.,B10,19-Nov,1.38,108.3,106.9,62.9,-0.055,5.65,-10
Valparaiso,MCon,16-15,1.32,101.1,99.7,64.4,-0.003,0.23,5.26
Siena,MAAC,20-12,1.16,107.1,105.9,68.6,-0.046,-6.99,-4.73
South Florida,BE,18-Dec,0.81,102.1,101.3,65.2,-0.064,3.87,-9.2
Towson,CAA,15-17,0.74,105.5,104.8,64.6,-0.03,-0.58,-0.37
Illinois Chicago,Horz,14-18,0.71,107,106.3,66.2,-0.027,2.54,4.44
UC Santa Barbara,BW,18-11,0.7,105.2,104.5,63.5,0.017,-4.3,-4.24
Detroit,Horz,19-Nov,0.59,107,106.4,61.1,-0.053,3.05,4.87
Cal Poly,BW,19-11,0.28,108.2,107.9,66.3,0.029,-4.72,-6.11
Charlotte,A10,14-16,0.13,106.2,106.1,66.2,0.003,1.31,1.94
San Francisco,WCC,13-18,-0.15,105.2,105.3,68.3,-0.016,1.98,4
