,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
34,Alabama ,SEC,14.6,110.3,95.7,65.3,-0.015,9.55,2.31,10,17,12,0.5862068965517241
35,Stanford ,P10,14.57,109.8,95.2,65.6,0.066,7.26,3.76,4,24,9,0.7272727272727273
36,Dayton ,A10,14.53,116.4,101.9,64.4,0.084,4.93,5.54,4,24,6,0.8
37,Indiana ,B10,14.48,113.4,98.9,63.7,0.05,10.49,9.29,7,21,13,0.6176470588235294
38,Oregon ,P10,14.25,111.4,97.1,71.2,0.032,5.24,-4.41,8,23,10,0.696969696969697
39,Utah ,MWC,14.04,106.6,92.6,62.1,0.069,5.23,1.55,9,25,8,0.7575757575757576
40,Auburn ,SEC,13.63,107.7,94.1,66.6,0.051,8.22,-4.71,10,22,12,0.6470588235294118
41,California ,P10,13.59,109.9,96.3,65.9,0.061,7.06,0.3,8,22,9,0.7096774193548387
42,Penn ,Ivy,13.35,110.3,96.9,63.3,0.035,-1.53,3.49,11,22,6,0.7857142857142857
43,North Carolina St. ,ACC,13.18,111.2,98.1,65,-0.023,8.48,-6.47,9,18,13,0.5806451612903226
44,Tulsa ,WAC,13.04,107.9,94.9,67.4,-0.061,1.05,4.16,13,23,10,0.696969696969697
45,Milwaukee ,Horz,12.97,109,96,71.2,0.025,2.06,1.05,12,23,8,0.7419354838709677
46,Southern Illinois ,MVC,11.76,110.3,98.6,67.8,0.063,1.97,3.35,11,24,7,0.7741935483870968
47,Western Kentucky ,SB,11.75,108,96.3,67.2,0.035,1.09,2.09,13,24,9,0.7272727272727273
48,Holy Cross ,Pat,10.4,105.5,95.1,65.1,0.065,-5.57,-0.64,14,25,5,0.8333333333333334
49,Manhattan ,MAAC,10.04,105.5,95.4,68.1,0.014,-1.71,2.51,14,23,7,0.7666666666666667
50,Central Michigan ,MAC,10.01,109.5,99.4,71.7,0.137,2.06,2.87,11,25,7,0.78125
51,Weber St. ,BSky,8.88,111.4,102.5,66.5,0.073,-1.73,1.29,12,25,5,0.8333333333333334
52,San Diego ,WCC,8.32,104.7,96.4,70.9,0.003,3.37,6.03,13,17,12,0.5862068965517241
53,Utah St. ,BW,7.41,107.1,99.7,61,0.003,-2.0,-0.07,15,22,9,0.7096774193548387
54,Troy St. ,ASun,6.15,106.9,100.8,70.3,0.105,-5.2,-2.77,14,25,6,0.8064516129032258
55,Colorado St. ,MWC,5.96,110.6,104.6,67.1,0.031,4.39,-3.45,14,17,14,0.5483870967741935
56,Austin Peay ,OVC,2.65,100.7,98,64.4,0.171,-0.97,7.41,13,20,8,0.7142857142857143
57,East Tennessee St. ,SC,1.75,101.3,99.6,75.2,0.036,-1.8,4.8,15,17,11,0.6071428571428571
58,Vermont ,AE,1.57,101.1,99.5,64.4,0.019,-5.13,-2.29,16,19,11,0.6333333333333333
59,Sam Houston St. ,Slnd,0.82,101.5,100.6,67.2,0.088,-7.41,-2.0,15,21,7,0.75
60,IUPUI ,MCon,0.46,102.9,102.5,67,0.071,-2.19,2.78,16,19,14,0.5757575757575758
61,Wagner ,NEC,-1.16,104.7,105.9,67.6,0.049,-7.45,2.38,15,21,11,0.65625
62,South Carolina St. ,MEAC,-8.59,96.4,105,71.7,0.115,-12.27,-0.55,16,20,11,0.6451612903225806
63,Texas Southern ,SWAC,-10.45,98.3,108.7,68.4,0.037,-12.97,-8.09,16,18,13,0.5806451612903226
64,UNC Asheville ,BSth,-12.35,101.2,113.5,68,0.119,-6.45,11.61,16,14,17,0.45161290322580644
