,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Kentucky ,SEC,29.18,116.5,87.4,67.7,0.051,11.2,6.77,1,32,4,0.8888888888888888
1,Kansas ,B12,28.62,115,86.4,72.2,-0.017,11.84,6.08,2,30,8,0.7894736842105263
2,Pittsburgh ,BE,28.61,114.8,86.2,64.7,-0.023,7.07,-8.24,2,28,5,0.8484848484848485
3,Arizona ,P10,26.8,115.6,88.8,72.7,-0.007,8.69,8.19,1,28,4,0.875
4,Illinois ,B10,24.47,113.2,88.7,67.8,-0.029,7.29,-4.18,4,25,7,0.78125
5,Duke ,ACC,23.75,115,91.3,70.7,-0.03,8.85,0.64,3,26,7,0.7878787878787878
6,Texas ,B12,23.49,119.3,95.8,69.4,-0.009,10.36,2.16,1,26,7,0.7878787878787878
7,Syracuse ,BE,23.28,114.4,91.1,71,0.083,10.32,-3.63,3,30,5,0.8571428571428571
8,Oklahoma ,B12,23.01,112.1,89.1,62.7,0.034,9.01,-2.32,1,27,7,0.7941176470588235
9,Louisville ,CUSA,22.75,115.8,93,72.5,-0.029,6.82,5.99,4,25,7,0.78125
10,Florida ,SEC,22.14,116.5,94.4,65,0.008,8.3,-0.89,2,25,8,0.7575757575757576
11,Wisconsin ,B10,22.07,114.4,92.4,61.9,-0.024,6.46,-1.01,5,24,8,0.75
12,Maryland ,ACC,22,110.9,88.9,71.5,-0.078,8.23,-5.28,6,21,10,0.6774193548387096
13,Mississippi St. ,SEC,21.53,107.4,85.8,64.8,-0.06,8.85,-2.62,5,21,10,0.6774193548387096
14,Marquette ,CUSA,21.3,120.5,99.2,65.7,0.07,7.94,-1.46,3,27,6,0.8181818181818182
15,Saint Joseph's ,A10,20.75,109,88.3,64.1,-0.049,4.61,5.8,7,23,7,0.7666666666666667
16,Notre Dame ,BE,20.31,116.5,96.2,69.2,0.009,11.0,3.78,5,24,10,0.7058823529411765
17,Michigan St. ,B10,20.26,110.1,89.9,63.6,-0.05,10.11,3.19,7,22,13,0.6285714285714286
18,Xavier ,A10,19.88,113.8,94,67.7,0.018,4.8,4.84,3,26,6,0.8125
19,Wake Forest ,ACC,19.87,114.5,94.6,67.7,0.073,7.83,-3.8,2,25,6,0.8064516129032258
20,Connecticut ,BE,19.54,111.6,92,71.2,0.005,8.75,-3.47,5,23,10,0.696969696969697
21,LSU ,SEC,18.15,111,92.8,67.5,-0.035,6.27,-8.36,8,21,11,0.65625
22,BYU ,MWC,17.68,109.4,91.7,65.5,-0.031,5.49,5.2,12,23,9,0.71875
23,Oklahoma St. ,B12,17.67,105.9,88.2,66.7,0.003,9.08,-1.14,6,22,10,0.6875
24,Creighton ,MVC,17.54,112.4,94.9,68.4,0.026,-0.19,-0.51,6,29,5,0.8529411764705882
25,Purdue ,B10,17.42,107,89.6,69.3,-0.012,9.53,4.87,9,19,11,0.6333333333333333
26,Missouri ,B12,17.32,111.5,94.2,66.9,0.043,11.14,2.97,6,22,11,0.6666666666666666
27,Memphis ,CUSA,16.72,110.9,94.1,68.3,0.005,4.84,3.33,7,23,7,0.7666666666666667
28,Arizona St. ,P10,16.49,113.9,97.4,66.9,-0.014,8.74,5.44,10,20,12,0.625
29,Butler ,Horz,16.09,115.4,99.3,58.6,0.073,4.1,1.83,12,27,6,0.8181818181818182
30,Gonzaga ,WCC,15.58,113.2,97.7,66.9,-0.021,3.93,5.83,9,24,9,0.7272727272727273
31,Colorado ,B12,15.27,109.1,93.8,69.9,0.001,9.02,0.22,10,20,12,0.625
32,Cincinnati ,CUSA,14.69,105,90.3,66.4,-0.069,7.35,3.74,8,17,12,0.5862068965517241
33,UNC Wilmington ,CAA,14.62,109.5,94.9,64.1,-0.031,-2.47,-0.81,11,24,7,0.7741935483870968
