,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Kentucky ,SEC,32.59,122.2,89.6,65.4,0.032,7.99,-1.06,1,38,2,0.95
1,Ohio St. ,B10,30.07,118.1,88.1,66.9,-0.05,10.1,-3.34,2,31,8,0.794871795
2,Michigan St. ,B10,27.87,114.7,86.9,64.3,-0.027,10.21,-1.07,1,29,8,0.783783784
3,Kansas ,B12,26.91,114,87.1,66.3,0.027,11.15,5.21,2,32,7,0.820512821
4,Syracuse ,BE,26.04,117.7,91.7,64.4,0.06,7.98,-2.11,1,34,3,0.918918919
5,North Carolina ,ACC,25.44,116.1,90.7,70.9,0.016,7.41,1.89,1,32,6,0.842105263
6,Missouri ,B12,25.28,125.1,99.8,65.4,0.017,5.8,-6.18,2,30,5,0.857142857
7,Wisconsin ,B10,24.09,113.7,89.6,57.5,-0.018,8.8,-3.88,4,26,10,0.722222222
8,Indiana ,B10,22.55,120.2,97.6,66.7,0.007,8.41,-4.96,4,27,9,0.75
9,Florida ,SEC,22.47,120.4,98,64.2,-0.043,7.18,-1.67,7,26,11,0.702702703
10,Wichita St. ,MVC,22.36,116.1,93.8,65.7,-0.017,3.97,3.5,5,27,6,0.818181818
11,Memphis ,CUSA,21.9,114.2,92.3,67.5,-0.064,5.1,6.96,8,26,9,0.742857143
12,Baylor ,B12,21.29,116,94.7,65.6,0.059,9.61,-2.7,3,30,8,0.789473684
13,Saint Louis ,A10,21.2,111.9,90.7,61.9,-0.056,4.36,-2.55,9,26,8,0.764705882
14,Georgetown ,BE,21.05,111.2,90.1,62.1,-0.014,8.32,-1.04,3,24,9,0.727272727
15,Vanderbilt ,SEC,20.9,115.6,94.7,64.7,-0.048,8.48,3.03,5,25,11,0.694444444
16,Louisville ,BE,20.67,106.2,85.5,66.1,0.031,10.06,0.11,4,30,10,0.75
17,Marquette ,BE,20.22,111.5,91.3,70,0.042,8.24,-0.95,3,27,8,0.771428571
18,Duke ,ACC,19.7,117.7,98,66.4,0.057,8.18,7.68,2,27,7,0.794117647
19,New Mexico ,MWC,19.45,110.8,91.4,65.5,0.003,2.65,-4.16,5,28,7,0.8
20,Gonzaga ,WCC,18.39,113.1,94.7,64.8,-0.018,2.08,1.05,7,26,7,0.787878788
21,Michigan ,B10,17.52,114.3,96.8,60.1,0.058,10.65,-0.11,4,24,10,0.705882353
22,Kansas St. ,B12,17.52,109.8,92.3,66.5,-0.024,7.98,-3.29,8,22,11,0.666666667
23,Florida St. ,ACC,17.14,107.6,90.4,66.6,0.034,7.54,0.82,3,25,10,0.714285714
24,Belmont ,ASun,16.96,117.1,100.1,67.2,-0.017,-0.32,4.69,14,27,8,0.771428571
25,Iowa St. ,B12,16.69,113.9,97.2,65.8,-0.004,7.22,-4.08,8,23,11,0.676470588
26,Alabama ,SEC,16.69,106.1,89.5,61.9,-0.067,7.07,3.98,9,21,12,0.636363636
