Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
North Carolina 1,ACC,34-4,31.14,123.2,92.1,72.9,-0.011,9.91,1.06
Connecticut 1,BE,31-5,29.25,116,86.8,67.1,0.024,10.37,-1.68
Pittsburgh 1,BE,31-5,28.96,121.2,92.3,65.2,-0.012,10.11,0.79
Memphis 2,CUSA,33-4,28.67,112.8,84.2,65.9,-0.009,4.73,4.19
Louisville 1,BE,31-6,26.06,111.2,85.2,66.9,0.068,9.57,-0.19
Missouri 3,B12,31-7,24.81,116.6,91.8,70.9,0.031,7.96,-3.76
Oklahoma 2,B12,30-6,24.59,118.3,93.7,66.6,0.018,9.49,0.46
Gonzaga 4,WCC,28-6,24.51,117.5,93,67.1,0.003,4.63,10.61
Michigan St. 2,B10,31-7,24.37,114.3,89.9,66.5,0.091,12.33,5.81
Duke 2,ACC,30-7,24.31,117.5,93.2,66.3,0.053,10.23,3.18
West Virginia 6,BE,23-12,24.21,115.1,90.9,63.7,-0.067,10.95,2.11
UCLA 6,P10,26-9,23.93,119.5,95.6,65.3,-0.03,8.42,-3.43
Villanova 3,BE,30-8,23.89,114.4,90.5,68.3,0.021,9.99,-5.37
Kansas 3,B12,27-8,23.83,114.5,90.7,67.2,-0.013,8.83,1.55
Arizona St. 6,P10,25-10,23.03,118.2,95.2,59.1,-0.018,10.14,-2.04
Syracuse 3,BE,28-10,22.21,117,94.8,69.7,0.024,11.46,0.77
Washington 4,P10,26-9,22.09,113.1,91,72.2,-0.005,10.18,0.09
Purdue 5,B10,27-10,21.84,110.5,88.7,65.9,-0.012,8.94,-5.45
Marquette 6,BE,25-10,21.02,117.1,96.1,67.5,-0.014,8.22,-4.95
Xavier 4,A10,27-8,20.24,111,90.8,65.8,-0.008,5.81,7.97
BYU 8,MWC,25-8,20.1,114,93.9,69,-0.046,4.57,0.39
Texas 7,B12,23-12,19.65,112.2,92.5,65.4,-0.048,10.16,2.01
Clemson 7,ACC,23-9,19.62,116.4,96.7,67.9,-0.024,6.19,-4.45
Wake Forest 4,ACC,24-7,18.88,111.6,92.7,72.8,0.051,7.66,-4.35
Illinois 5,B10,24-10,18.72,106.8,88.1,62.8,0.001,7.96,-3.36
Oklahoma St. 8,B12,23-12,18.33,116.4,98.1,69.3,-0.003,10.46,-0.28
USC 10,P10,22-13,18.26,110,91.8,63.7,-0.032,10.81,0.74
Utah 5,MWC,24-10,17.8,110.8,92.9,65,0.013,7.29,6.96
Wisconsin 12,B10,20-13,17.62,113.3,95.7,59.1,-0.052,9.51,1.32
California 7,P10,22-11,17.37,116.8,99.4,66,0.001,9.17,-3.54
Tennessee 9,SEC,21-13,16.48,115.1,98.7,67.7,-0.032,9.4,9.15
Ohio St. 8,B10,22-11,16.34,113.3,96.9,62.5,0.042,9.46,-3.41
Arizona 12,P10,21-14,15.96,117.7,101.8,64.9,0.018,11.33,2.34
Butler 9,Horz,26-6,15.78,110.3,94.5,62.8,-0.014,2.51,6.15
Florida St. 5,ACC,25-10,15.76,105.9,90.1,65.9,0.066,10.01,0.6
Minnesota 10,B10,22-11,15.43,108.1,92.6,64.5,0.031,8.44,-4.18
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Utah St. 11,WAC,30-5,15.12,116.7,101.6,60,0.046,-0.47,-2.77
Texas A&M 9,B12,24-10,15.01,113.1,98.1,63.9,0.053,7.85,-4.3
LSU 8,SEC,27-8,14.86,111.5,96.6,66.1,0.075,3.5,-8.66
Michigan 10,B10,21-14,14.75,112.2,97.5,62.5,0.014,11.39,0.63
Temple 11,A10,22-12,14.38,109.9,95.5,63.5,-0.005,6.68,7.22
Stanford,P10,20-14,14.13,112.5,98.3,67.5,-0.022,7.65,-4.87
VCU 11,CAA,24-10,13.62,110.1,96.4,65.8,-0.073,0.23,3.46
Maryland 10,ACC,21-14,13.55,110,96.4,66.3,0.039,9.61,-3.29
North Dakota St. 14,Sum,26-7,12.29,114.3,102,67.5,-0.009,-1.6,2.21
Cleveland St. 13,Horz,26-11,11.96,105.3,93.3,63.7,0.009,3.76,7.07
Siena 9,MAAC,27-8,11.93,110.3,98.4,70.7,0.031,0.91,7.27
Mississippi St. 13,SEC,23-13,11.55,107.8,96.2,67.2,-0.004,4.96,-3.07
Houston,CUSA,21-12,11.49,109.2,97.7,68.5,-0.038,1.63,-4.81
Boston College 7,ACC,22-12,11.2,113.2,102,65.3,0.038,6.4,-5.57
Seton Hall,BE,17-15,10.3,110.7,100.4,67.7,-0.025,8.26,-5.48
Dayton 11,A10,27-8,10.23,103.3,93,64.5,0.107,2.34,-4.57
Green Bay,Horz,22-11,10.16,112.9,102.7,65,-0.018,0.55,-0.86
Vanderbilt,SEC,19-12,10.01,107.6,97.6,65.3,-0.011,3.25,-6.22
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
North Carolina St.,ACC,16-14,9.84,113.5,103.6,63,-0.06,5.74,-10.96
UTEP,CUSA,23-14,9.84,108.2,98.4,70.5,0.003,4.3,2.52
Northern Iowa 12,MVC,23-11,9.7,110.6,100.9,60.8,0.051,3.1,1.88
Vermont,AE,24-9,9.1,108.7,99.6,69,-0.02,-5.47,-5.33
Cincinnati,BE,18-14,8.72,108.7,100,63.5,0.032,8.11,-2.26
Iowa,B10,15-17,8.44,108.6,100.2,57.6,-0.055,7.89,-3.27
Western Kentucky 12,SB,25-9,8.1,111.1,103,65.6,0.092,-0.6,6.63
Oral Roberts,Sum,16-15,7.85,103,95.2,67.6,-0.111,1.78,13.25
Miami OH,MAC,17-13,7.38,103.5,96.2,60.4,-0.005,2.44,10.25
Mississippi,SEC,16-15,7.19,111.4,104.2,66.3,-0.001,6.06,0.06
Old Dominion,CAA,25-10,7.02,105,98,62.2,0.043,-2.52,-8.55
Texas Tech,B12,14-19,7.01,109.3,102.3,71.4,-0.017,10.65,1.39
Akron 13,MAC,23-13,6.9,102.9,96,64.8,-0.014,-1.6,-1.83
Wright St.,Horz,20-13,6.9,100.7,93.8,61.6,0.014,1.26,1.42
Northeastern,CAA,19-13,6.84,106.4,99.6,59.7,0.023,2.28,6.72
Georgia Tech,ACC,19-Dec,6.73,100.4,93.7,70.5,-0.107,7.67,-4.44
Saint Joseph's,A10,17-15,6.71,105.7,99,63.9,-0.041,3,1.78
Alabama,SEC,18-14,6.63,105.9,99.3,67.5,-0.016,4.06,-7.19
Stephen F. Austin 14,Slnd,24-8,6.52,97,90.4,62.4,0.053,-1.98,4.63
Oakland,Sum,23-13,6.36,114.2,107.8,64.8,0.026,0.27,7.23
Nevada,WAC,21-13,6.07,105.8,99.8,66.3,0.002,1.04,2.94
