,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Villanova ,BE,33.76,127.8,94,68.7,-0.018,11.31,3.98,1,36,4,0.9
1,Virginia ,ACC,29.53,115.2,85.6,59.4,0.048,9.24,-0.08,1,31,3,0.9117647058823529
2,Duke ,ACC,28.86,122.4,93.6,69.7,-0.034,10.6,4.09,2,29,8,0.7837837837837838
3,Cincinnati ,Amer,26.6,113.4,86.8,64.5,-0.019,3.46,-4.21,2,31,5,0.8611111111111112
4,Purdue ,B10,26.27,122.7,96.4,67.2,0.006,9.02,0.69,2,30,7,0.8108108108108109
5,Michigan St. ,B10,25.41,119.2,93.8,67,0.038,6.64,-5.03,3,30,5,0.8571428571428571
6,Michigan ,B10,24.2,114.7,90.5,64.9,0.052,10.32,-4.83,3,33,8,0.8048780487804879
7,North Carolina ,ACC,23.59,120.3,96.7,71.2,-0.011,13.26,7.58,2,26,11,0.7027027027027027
8,Kansas ,B12,23.49,120.9,97.4,68.8,0.076,12.41,3.55,1,31,8,0.7948717948717948
9,Gonzaga ,WCC,23.03,118.1,95.1,69.4,0.009,1.57,3.12,4,32,5,0.8648648648648649
10,Texas Tech ,B12,22.59,113.3,90.8,66.7,-0.007,10.31,-5.24,3,27,10,0.7297297297297297
11,West Virginia ,B12,22.44,119.4,96.9,69.2,-0.014,10.59,-4.72,5,26,11,0.7027027027027027
12,Tennessee ,SEC,22.27,114.6,92.4,66,0.019,11.01,7.1,3,26,9,0.7428571428571429
13,Clemson ,ACC,21.65,114.2,92.6,66.1,-0.009,10.22,-1.91,5,25,10,0.7142857142857143
14,Xavier ,BE,21.51,120.1,98.6,70.5,0.091,9.35,1.84,1,29,6,0.8285714285714286
15,Ohio St. ,B10,21.16,116,94.9,67,0.02,8.75,0.26,5,25,9,0.7352941176470589
16,Kentucky ,SEC,20.44,115.8,95.4,68.8,-0.008,10.91,4.67,5,26,11,0.7027027027027027
17,Houston ,Amer,20.24,114.6,94.4,68.4,-0.015,3.9,-3.08,6,27,8,0.7714285714285715
18,Butler ,BE,19.05,116.2,97.2,67.6,-0.047,11.21,0.11,10,21,14,0.6
19,Wichita St. ,Amer,19.03,121,101.9,68.6,-0.026,5.13,1.55,4,25,8,0.7575757575757576
20,Florida ,SEC,18.96,114.5,95.5,67.1,-0.059,10.74,4.57,6,21,13,0.6176470588235294
21,Auburn ,SEC,18.69,115.4,96.7,72.6,0.034,7.52,-1.86,4,26,8,0.7647058823529411
22,TCU ,B12,18.47,119.7,101.2,68.6,-0.067,9.67,-0.82,6,21,12,0.6363636363636364
23,Nevada ,MWC,18.39,120.2,101.8,69.4,-0.026,5.13,3.61,7,29,8,0.7837837837837838
24,Seton Hall ,BE,18.04,116.9,98.8,69.5,-0.028,10.12,0.0,8,22,12,0.6470588235294118
25,Florida St. ,ACC,17.77,114.3,96.5,71.2,-0.029,9.27,-6.91,9,23,12,0.6571428571428571
26,Arizona ,P12,17.7,118,100.4,67.1,0.036,5.96,2.51,4,27,8,0.7714285714285715
27,Texas A&M ,SEC,16.96,111.3,94.4,69.5,0.014,11.69,5.12,7,22,13,0.6285714285714286
28,Creighton ,BE,16.91,115.5,98.6,70.8,-0.028,9.4,-4.2,8,21,12,0.6363636363636364
29,Loyola Chicago ,MVC,16.39,111.4,95,65.5,0.077,2.48,-5.47,11,32,6,0.8421052631578947
30,Virginia Tech ,ACC,16.03,115.3,99.3,68.7,-0.018,7.91,-9.76,8,21,12,0.6363636363636364
31,Texas ,B12,15.43,109.5,94.1,65.2,-0.03,11.77,2.05,10,19,15,0.5588235294117647
32,Miami FL ,ACC,15.43,112.9,97.4,67,0.017,8.08,-3.82,6,22,10,0.6875
33,Missouri ,SEC,14.83,111.9,97,65.7,-0.025,9.55,1.07,8,20,13,0.6060606060606061
34,Syracuse ,ACC,14.82,107,92.2,62.9,0.021,9.81,-0.2,11,23,14,0.6216216216216216
35,Kansas St. ,B12,14.77,110.1,95.3,65.6,0.071,9.39,-6.5,9,25,12,0.6756756756756757
36,Davidson ,A10,14.7,117,102.3,64.5,-0.063,2.11,1.33,12,21,12,0.6363636363636364
37,Arkansas ,SEC,14.69,116.3,101.7,69.7,0.059,9.9,0.87,7,23,12,0.6571428571428571
38,North Carolina St. ,ACC,14.52,116.3,101.8,71.4,-0.001,7.71,-9.71,9,21,12,0.6363636363636364
39,Oklahoma ,B12,14.16,114.6,100.5,75.5,-0.008,11.68,2.13,10,18,14,0.5625
40,Arizona St. ,P12,14.13,116.7,102.6,71.3,-0.083,5.48,0.94,11,20,12,0.625
41,San Diego St. ,MWC,14.09,110.5,96.4,68.8,-0.032,3.46,-0.8,11,22,11,0.6666666666666666
42,Rhode Island ,A10,13.93,111.1,97.2,68.4,0.063,3.49,3.83,7,26,8,0.7647058823529411
43,UCLA ,P12,13.52,115,101.4,70.3,-0.027,6.42,2.93,11,21,12,0.6363636363636364
44,Alabama ,SEC,13.41,108.7,95.2,68.7,0.017,11.17,2.54,9,20,16,0.5555555555555556
45,New Mexico St. ,WAC,12.92,107.9,95,68.5,0.027,-1.4,3.7,12,28,6,0.8235294117647058
46,Murray St. ,OVC,12.19,112.9,100.7,67.2,0,-3.56,-0.99,12,26,6,0.8125
47,Providence ,BE,12.17,108.9,96.7,67.1,0.074,10.58,-1.38,10,21,14,0.6
48,Buffalo ,MAC,11.53,114.7,103.2,72.7,0.006,-0.06,3.87,13,27,9,0.75
49,St. Bonaventure ,A10,11.21,110.8,99.5,69.4,0.078,2.8,1.17,11,26,8,0.7647058823529411
50,Montana ,BSky,10.4,108.8,98.4,68,0,-1.96,2.09,14,26,8,0.7647058823529411
51,South Dakota St. ,Sum,10.2,113.8,103.6,70.5,0.097,-0.09,3.59,12,28,7,0.8
52,UNC Greensboro ,SC,9.22,104.9,95.7,65.2,-0.024,-4.57,-3.46,13,27,8,0.7714285714285715
53,Bucknell ,Pat,7.31,109.5,102.2,71.4,0.006,-4.35,5.79,14,25,10,0.7142857142857143
54,Georgia St. ,SB,6.92,108.8,101.9,66.8,-0.015,-2.51,-3.22,15,24,11,0.6857142857142857
55,Marshall ,CUSA,6.53,109.4,102.9,74.7,0.06,0.07,-7.0,13,25,11,0.6944444444444444
56,Stephen F. Austin ,Slnd,5.58,104.5,99,71.1,0.031,-7.16,-2.26,14,28,7,0.8
57,College of Charleston ,CAA,5.16,108.7,103.6,64.9,0.035,-4.06,-7.64,13,26,8,0.7647058823529411
58,Penn ,Ivy,3.69,103.1,99.4,68.9,0.076,-4.15,-2.98,16,24,9,0.7272727272727273
59,Wright St. ,Horz,2.89,100.6,97.7,68.3,0.074,-3.79,2.23,14,25,10,0.7142857142857143
60,Iona ,MAAC,2.63,110,107.3,70.7,-0.008,-2.12,2.14,15,20,14,0.5882352941176471
61,Cal St. Fullerton ,BW,0.62,103.7,103.1,69.6,0.097,-1.2,2.76,15,20,12,0.625
62,UMBC ,AE,0.5,103.1,102.6,68.4,0.125,-4.38,-3.55,16,25,11,0.6944444444444444
63,Lipscomb ,ASun,0.43,103.2,102.8,74.9,0.112,-4.31,5.84,15,23,10,0.696969696969697
64,Radford ,BSth,0.07,102.9,102.9,63,0.063,-4.03,3.49,16,23,13,0.6388888888888888
65,Texas Southern ,SWAC,-6.65,104.6,111.2,71.7,-0.01,-6.3,17.2,16,16,20,0.4444444444444444
66,LIU Brooklyn ,NEC,-8.27,102.3,110.6,71.6,0.012,-8.68,-6.06,16,18,17,0.5142857142857142
67,North Carolina Central ,MEAC,-13.41,96.6,110,65,0.019,-12.78,-1.47,16,19,16,0.5428571428571428
