Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Kansas 1,B12,37-3,35.21,120.9,85.7,66.8,0.012,9.57,-1.41
Memphis 1,CUSA,38-2,31.51,118,86.5,68.1,0.012,5.83,5.45
North Carolina 1,ACC,36-3,30.22,122.1,91.9,72.5,0.05,10.18,1.5
UCLA 1,P10,35-4,29.94,118,88.1,64.1,0.047,10.03,-1.63
Wisconsin 3,B10,31-5,26.68,113.5,86.8,61.1,0.043,7.35,-0.19
Duke 2,ACC,28-6,26.4,116.3,89.9,71.5,-0.006,10.06,3.36
Georgetown 2,BE,28-6,25.56,115.2,89.7,60.5,0.029,8.48,-2.72
Louisville 3,BE,27-9,25.41,113.1,87.7,65.3,-0.057,9.34,0.79
Texas 2,B12,31-7,25.09,120.6,95.5,63.9,0.044,10.37,0.04
Washington St. 4,P10,26-9,24.32,115.1,90.8,58.3,-0.004,8.99,-6.51
Davidson 10,SC,29-7,23.61,117,93.4,66.2,-0.036,3.36,14.93
Stanford 3,P10,28-8,22.75,113.6,90.9,63.4,0.04,9.32,-6.32
Tennessee 2,SEC,31-5,22.17,116.2,94,70.7,0.11,9.58,7.64
Marquette 6,BE,25-10,22.16,115.3,93.1,66.6,-0.027,8.62,-6.37
Xavier 3,A10,30-7,22.05,117.3,95.2,63.8,0.054,6.94,3.5
Clemson 5,ACC,24-10,22.03,114,91.9,68,-0.044,9.53,0.31
Drake 5,MVC,28-5,21.46,120,98.5,62.9,0.011,4.89,0.11
West Virginia 7,BE,26-11,21.29,114.6,93.3,63.8,-0.019,9,-1.98
Michigan St. 5,B10,27-9,21.15,115.8,94.7,63.3,0.032,8.71,0.59
Butler 7,Horz,30-4,19.97,116.2,96.2,59.5,0.002,2.79,5.43
Texas A&M 9,B12,25-11,19.93,112.3,92.3,61.8,0.004,8.28,-5.13
Pittsburgh 4,BE,27-10,19.91,116.5,96.6,63.9,0.027,9.52,-1.69
Arizona 10,P10,19-15,19.14,116.4,97.3,63.5,-0.079,12.72,8.75
Notre Dame 5,BE,25-8,19.07,114.6,95.6,69.5,0.042,6.88,-7.02
Gonzaga 7,WCC,25-8,19.05,114.5,95.5,65.9,-0.029,2.57,7.71
Kansas St. 11,B12,21-12,18.9,114.2,95.3,69.7,-0.049,9.09,-2.73
Connecticut 4,BE,24-9,18.9,115.2,96.3,67.1,-0.001,7.67,-1.27
