,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Florida ,SEC,28.28,117.9,89.7,66.9,-0.011,8.35,-8.46,3,33,6,0.8461538461538461
1,Duke ,ACC,27.54,119.4,91.8,69.8,0.047,10.51,6.81,1,32,4,0.8888888888888888
2,Texas ,B12,25.79,117.5,91.7,63.9,0.039,7.79,-0.02,2,30,7,0.8108108108108109
3,Connecticut ,BE,25.44,117.8,92.3,68.7,0.077,8.98,-3.8,1,30,4,0.8823529411764706
4,Villanova ,BE,24.59,116.3,91.7,65.6,0.08,10.79,3.17,1,28,5,0.8484848484848485
5,Memphis ,CUSA,23.54,113.2,89.6,70.8,-0.007,3.89,7.82,1,33,4,0.8918918918918919
6,UCLA ,P10,23.4,112.7,89.3,61.6,0.02,8.3,1.6,2,32,7,0.8205128205128205
7,Kansas ,B12,23.22,110.4,87.2,67.7,-0.043,6.03,-1.11,4,25,8,0.7575757575757576
8,Illinois ,B10,23.2,114.5,91.3,62.1,-0.019,6.77,-4.52,4,26,7,0.7878787878787878
9,North Carolina ,ACC,22.16,115.9,93.7,70.2,-0.01,9.1,-0.83,3,23,8,0.7419354838709677
10,LSU ,SEC,22,109.8,87.8,67.5,0.008,10.68,1.75,4,27,9,0.75
11,Pittsburgh ,BE,21.72,112.4,90.6,64.6,-0.031,7.81,-6.92,5,25,8,0.7575757575757576
12,Georgetown ,BE,21.29,116.5,95.2,57.8,-0.026,9.58,-1.83,7,23,10,0.696969696969697
13,Ohio St. ,B10,20.68,113,92.3,65.2,0.028,6.74,-3.33,2,26,6,0.8125
14,Washington ,P10,20.09,114.8,94.7,71.6,0.007,5.21,-7.56,5,26,7,0.7878787878787878
15,West Virginia ,BE,19.49,116.1,96.6,62.5,-0.046,10.37,-0.49,6,22,11,0.6666666666666666
16,Tennessee ,SEC,19.44,116.6,97.2,71.1,0.012,9.44,-0.74,2,22,8,0.7333333333333333
17,Boston College ,ACC,18.65,117.8,99.2,61.5,0.024,7.43,-5.69,4,28,8,0.7777777777777778
18,Arkansas ,SEC,18.47,112.2,93.8,66,-0.062,6.35,-4.78,8,22,10,0.6875
19,Iowa ,B10,18.22,103.8,85.6,64.7,0.046,7.86,-0.77,3,25,9,0.7352941176470589
20,George Mason ,CAA,18.16,109.7,91.5,62.6,0.017,4.11,2.16,11,27,8,0.7714285714285715
21,Arizona ,P10,17.23,112.2,95,67.7,-0.037,10.53,9.27,8,20,13,0.6060606060606061
22,Kentucky ,SEC,17.13,114.4,97.3,64.1,-0.001,10.02,3.02,8,22,13,0.6285714285714286
23,Bradley ,MVC,16.5,107.5,91,69.3,-0.019,6.94,-2.22,13,22,11,0.6666666666666666
24,Wichita St. ,MVC,16.06,111.8,95.7,62.6,0.032,6.03,0.35,7,26,9,0.7428571428571429
25,Michigan St. ,B10,16.02,116.3,100.3,64.2,0.004,8.89,-1.03,6,22,12,0.6470588235294118
26,North Carolina St. ,ACC,15.92,112.5,96.6,64.4,0.013,6.74,-7.99,10,22,10,0.6875
27,Texas A&M ,B12,15.9,106.7,90.8,63,-0.008,4.22,-12.2,12,22,9,0.7096774193548387
28,Northern Iowa ,MVC,15.84,109,93.1,59.6,-0.025,6.18,0.24,10,23,10,0.696969696969697
