,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
26,Purdue ,B10,18.31,110.7,92.4,66.5,0.002,9.37,1.08,9,22,12,0.6470588235294118
27,Tennessee ,SEC,18.29,115.9,97.6,71.3,0.035,10.57,1.81,5,24,11,0.6857142857142857
28,Xavier ,A10,18.13,117.3,99.2,66.2,-0.047,2.83,1.37,9,25,9,0.7352941176470589
29,Illinois ,B10,17.5,107.3,89.8,62,-0.017,8.06,-0.2,12,23,12,0.6571428571428571
30,Virginia Tech ,ACC,17.38,112.4,95,63.7,-0.004,9.85,0.79,5,22,12,0.6470588235294118
31,Marquette ,BE,17.18,111.8,94.6,67.6,0.009,7.59,-4.27,8,24,10,0.7058823529411765
32,USC ,P10,16.86,111,94.2,67.1,0.016,8.26,-3.8,5,25,12,0.6756756756756757
33,UNLV ,MWC,16.83,112.6,95.8,65.2,0.098,5.61,2.29,7,30,7,0.8108108108108109
34,Arkansas ,SEC,16.62,110.6,93.9,66.1,-0.021,10.1,1.28,12,21,14,0.6
35,Vanderbilt ,SEC,16.23,115.7,99.4,66.6,0.008,9.34,-2.74,6,22,12,0.6470588235294118
36,Boston College ,ACC,16.18,117.3,101.1,64.3,0.026,10.36,-2.41,7,21,12,0.6363636363636364
37,BYU ,MWC,16.11,116.7,100.6,67.6,0.001,4.24,-0.3,8,25,9,0.7352941176470589
38,Nevada ,WAC,16.09,117.2,101.2,66.3,0.03,1.98,1.53,7,29,5,0.8529411764705882
39,Virginia ,ACC,15.43,114.1,98.7,67.9,0.006,8.27,-4.35,4,21,11,0.65625
40,Gonzaga ,WCC,15.31,115.3,100,67.1,-0.032,4.15,4.94,10,23,11,0.6764705882352942
41,Winthrop ,BSth,14.81,112.9,98,61.9,0.055,-2.71,15.06,11,29,5,0.8529411764705882
42,VCU ,CAA,14.55,116.6,102,65.5,0.002,0.2,3.61,11,28,7,0.8
43,Davidson ,SC,13.32,111.8,98.5,71.9,0.067,-1.7,-4.84,13,29,5,0.8529411764705882
44,Old Dominion ,CAA,12.7,108.6,95.9,65.8,0.013,0.84,0.64,12,24,9,0.7272727272727273
45,Stanford ,P10,12.37,109.7,97.3,65.9,0.028,9.5,0.17,11,18,13,0.5806451612903226
46,Texas Tech ,B12,10.98,112.2,101.3,64.9,0.056,7.79,13.51,10,21,13,0.6176470588235294
47,Miami OH ,MAC,8.38,105.7,97.4,58.1,-0.024,4.09,6.44,14,18,15,0.5454545454545454
48,Oral Roberts ,MCon,8.36,107.1,98.7,66.5,-0.007,-0.93,4.23,14,23,11,0.6764705882352942
49,Texas A&M Corpus Chris ,Slnd,7.76,114.1,106.4,68.1,0.057,-5.12,2.12,15,26,7,0.7878787878787878
50,Penn ,Ivy,7.69,109.8,102.1,67.9,0.047,-2.74,1.14,14,22,9,0.7096774193548387
51,Holy Cross ,Pat,7.4,103,95.6,62.5,0.025,-3.7,0.98,13,25,9,0.7352941176470589
52,George Washington ,A10,7.28,105,97.7,66.9,0.089,-0.57,-5.16,11,23,9,0.71875
53,New Mexico St. ,WAC,7.27,108.3,101.1,69.7,0.035,-0.3,-3.75,13,25,9,0.7352941176470589
54,Wright St. ,Horz,6.66,104.5,97.8,63,0.137,0.23,-2.57,14,23,10,0.696969696969697
55,Long Beach St. ,BW,5.44,112.2,106.8,71,0.11,-3.34,-2.96,12,24,8,0.75
56,Belmont ,ASun,4.38,106.6,102.2,66.1,0.022,-6.74,2.22,15,23,10,0.696969696969697
57,Albany ,AE,2.25,107.4,105.2,63.7,0.109,-3.47,0.94,13,23,10,0.696969696969697
58,North Texas ,SB,-0.98,103,104,69.1,0.034,-6.4,10.7,15,23,11,0.6764705882352942
59,Central Connecticut ,NEC,-2.24,104.1,106.3,63.3,0.06,-8.44,-5.1,16,22,12,0.6470588235294118
60,Eastern Kentucky ,OVC,-2.58,102.7,105.3,61.3,0.078,-6.17,6.66,16,21,12,0.6363636363636364
61,Weber St. ,BSky,-2.71,102.1,104.8,65.2,0.098,-3.46,1.83,15,20,12,0.625
62,Niagara ,MAAC,-2.76,107.2,110,68.3,0.118,-6.17,-5.19,16,23,12,0.6571428571428571
63,Jackson St. ,SWAC,-9.48,100.2,109.7,69.7,0.14,-10.16,7.09,16,21,14,0.6
64,Florida A&M ,MEAC,-9.57,100.6,110.2,67.6,0.104,-10.39,10.61,16,21,14,0.6
