,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,North Carolina ,ACC,31.37,121,89.6,72.4,-0.046,10.95,3.1,1,31,7,0.8157894736842105
1,Florida ,SEC,30.81,122.8,92,65.8,0.028,8.73,-6.87,1,35,5,0.875
2,Ohio St. ,B10,29.33,121,91.7,64.9,0.057,9.82,-1.71,1,35,4,0.8974358974358975
3,Georgetown ,BE,28.48,122,93.5,59.4,0.006,10.41,-1.02,2,30,7,0.8108108108108109
4,Kansas ,B12,27.81,115.3,87.5,68.7,0.031,6.86,-0.93,1,33,5,0.868421052631579
5,UCLA ,P10,27.15,115.4,88.3,63.7,0.019,11.08,5.93,2,30,6,0.8333333333333334
6,Texas A&M ,B12,26.97,119.3,92.3,63.7,-0.047,5.38,-5.98,3,27,7,0.7941176470588235
7,Wisconsin ,B10,25.45,115.6,90.1,63.8,0.034,7.78,-1.57,2,30,6,0.8333333333333334
8,Memphis ,CUSA,24.81,115.4,90.6,68.4,0.03,2.93,3.41,2,33,4,0.8918918918918919
9,Duke ,ACC,23.3,113.2,89.9,64.5,-0.074,11.3,3.88,6,22,11,0.6666666666666666
10,Pittsburgh ,BE,22.9,118.1,95.2,62.2,0.033,9.54,0.72,3,29,8,0.7837837837837838
11,Maryland ,ACC,22.42,112.4,90,71.4,-0.027,8.48,-3.07,4,25,9,0.7352941176470589
12,Kentucky ,SEC,21.73,117,95.3,65.8,-0.029,13.23,8.21,8,22,12,0.6470588235294118
13,Indiana ,B10,21.58,115.4,93.8,64.9,-0.058,9.96,1.51,7,21,11,0.65625
14,Butler ,Horz,21.45,118,96.5,58.1,0.016,4.77,6.61,5,29,7,0.8055555555555556
15,Southern Illinois ,MVC,21.03,109.8,88.8,61,0.017,10.19,7.3,4,29,7,0.8055555555555556
16,Michigan St. ,B10,20.97,112.8,91.8,60.3,-0.036,9.07,-1.63,9,23,12,0.6571428571428571
17,Oregon ,P10,20.76,118.3,97.6,66,0.031,7.19,-9.09,3,29,8,0.7837837837837838
18,Louisville ,BE,20.35,113.5,93.1,64.2,-0.046,7.29,-1.91,6,24,10,0.7058823529411765
19,Villanova ,BE,20.11,113.4,93.3,65.8,-0.036,11.02,2.82,9,22,11,0.6666666666666666
20,Notre Dame ,BE,20.02,118.1,98.1,70.7,-0.018,4.03,-13.12,6,24,8,0.75
21,Georgia Tech ,ACC,19.61,116.9,97.3,67.2,-0.067,9.63,-3.11,10,20,12,0.625
22,Arizona ,P10,19.43,119.5,100.1,68.3,-0.009,12.2,10.23,8,20,11,0.6451612903225806
23,Texas ,B12,19.24,119.5,100.3,67.6,-0.008,7.56,-1.61,4,25,10,0.7142857142857143
24,Washington St. ,P10,18.87,111.7,92.8,60,0.004,6.79,-4.96,3,26,8,0.7647058823529411
25,Creighton ,MVC,18.53,113.8,95.3,62.7,-0.023,8.84,-3.81,10,22,11,0.6666666666666666
