Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Duke 1,ACC,31-4,34.19,121,86.8,74.5,-0.027,9.87,6.66
Cincinnati 1,CUSA,31-4,30.19,118.1,87.9,67.4,0.002,6.58,3.48
Maryland 1,ACC,32-4,29.25,119.2,89.9,73.7,0.025,9.88,1.62
Kansas 1,B12,33-4,28.99,118.7,89.7,77.3,0.022,10.67,8.32
Oklahoma 2,B12,31-5,26.04,114.9,88.9,66.5,0.043,8.77,-0.44
Indiana 5,B10,25-12,24.8,114,89.2,65.6,-0.049,14.12,13.54
Florida 5,SEC,22-9,24.72,115.1,90.4,69.6,-0.073,9.11,-0.56
Illinois 4,B10,26-9,23.21,115.7,92.5,68.5,0.016,10.6,6.79
Oregon 2,P10,26-9,22.97,119.2,96.3,71.1,-0.041,8.15,-3.3
Kentucky 4,SEC,22-10,22.21,113.4,91.2,68,-0.029,12.97,6.75
Marquette 5,CUSA,26-7,21.47,113.4,91.9,64.6,0.006,5.41,-2.87
USC 4,P10,22-10,20.67,112.8,92.1,70.1,-0.051,9.31,1.9
Arizona 3,P10,24-10,20.54,119.3,98.8,71.1,0.079,14.22,17.56
Kent St. 10,MAC,29-6,20.39,116.7,96.4,64.7,0.008,3.11,2.99
Stanford 8,P10,20-10,20.32,116.6,96.3,69.5,-0.02,10.33,2.1
Pittsburgh 3,BE,29-6,19.94,112.1,92.2,63.8,0,3.12,-12.07
Ohio St. 4,B10,24-8,19.76,116.4,96.6,66.8,0.005,7.51,-1.26
Connecticut 2,BE,27-7,19.36,112.2,92.8,68.7,0.063,8.19,1.73
Notre Dame 8,BE,21-11,19.27,116.1,96.8,68.6,-0.087,7.34,-1.55
South Carolina,SEC,21-15,19.18,107,87.9,65.3,-0.074,10.28,-0.78
North Carolina St. 7,ACC,23-11,19.15,113.2,94,67.5,0.012,8.28,-5.56
Alabama 2,SEC,27-8,18.73,114,95.3,68,0.076,8.59,-1.56
Xavier 7,A10,26-6,18.6,111.2,92.6,67,0.051,5.1,5.37
Gonzaga 6,WCC,28-4,18.51,115.6,97.1,68.5,0.049,1.13,4.04
Georgia 3,SEC,22-9,18.44,116.7,98.3,69.2,-0.021,9.88,3.3
Mississippi St. 3,SEC,27-8,18.25,111.4,93.1,67.9,0.107,8.93,-0.96
Texas 6,B12,22-12,17.69,116,98.3,68.5,-0.021,10.18,5.3
Butler,Horz,26-6,17.63,111.9,94.3,62.1,-0.051,-1.43,-4.63
Missouri 12,B12,24-12,17.49,116.2,98.7,70.1,-0.01,7.92,-0.39
Wake Forest 7,ACC,21-13,17.35,118.6,101.3,69.5,0.006,11.24,5.85
Texas Tech 6,B12,23-9,17.24,114.6,97.4,69.8,0.061,6.69,-0.13
Michigan St. 10,B10,19-12,16.86,113,96.2,63.3,-0.026,9.76,1.5
Memphis,CUSA,27-9,16.69,112.5,95.8,70.8,-0.008,3.63,-1.69
Mississippi 9,SEC,19-11,16.68,113.3,96.7,64.7,-0.04,7.32,-6.24
UCLA 8,P10,21-12,16.34,113.7,97.3,68.1,0.048,12,8.58
Georgetown,BE,18-11,16.13,110.6,94.5,71.1,-0.094,5.31,-10.2
California 6,P10,23-9,16.03,109.8,93.7,66.6,0.088,7.89,-5.85
Oklahoma St. 7,B12,23-9,15.8,107.9,92.1,66,0.047,7.11,0.53
Miami FL 5,BE,24-8,15.77,110.5,94.7,69.1,0.017,5.75,-5.04
Charlotte 9,CUSA,18-12,15.73,114.2,98.5,66.8,-0.008,9.24,6.49
Tulsa 12,WAC,26-7,15.59,116,100.4,69.5,0.001,2.03,-1.44
Dayton,A10,21-11,15.53,112.9,97.4,66.6,-0.042,2.83,1.31
Minnesota,B10,18-13,14.54,113.5,99,68.9,-0.045,7.29,1.34
Western Kentucky 9,SB,26-4,14.51,110.5,96,67.5,0.06,0.23,0.29
Utah 12,MWC,19-9,14.08,111.4,97.3,62.1,0.01,5.38,1.57
Iowa,B10,19-16,13.66,110.4,96.8,69,-0.06,8.62,1.48
Valparaiso 13,MCon,24-8,13.63,111.5,97.8,68.7,-0.032,-1.66,2.06
Temple,A10,19-15,13.57,114,100.4,62.2,-0.038,8.04,14.74
Southern Illinois 11,MVC,28-8,13.45,109.2,95.7,70.6,0.034,2.12,3.16
Wisconsin 8,B10,18-13,13.22,110.7,97.5,63.3,0.049,10.57,8.49
Hawaii 10,WAC,26-6,13.15,110.3,97.2,65.6,0.007,-0.72,-9.7
Villanova,BE,19-13,13.14,106.7,93.5,67.3,-0.055,6.67,-4.5
Virginia,ACC,17-12,12.92,112,99.1,69.4,-0.017,8,-3.62
Tennessee,SEC,15-16,12.67,110.9,98.2,66.7,-0.044,12.03,5.36
Ball St.,MAC,23-12,12.66,113.3,100.6,69.1,0.012,3.72,8.96
Syracuse,BE,23-13,12.61,106.1,93.5,69.4,-0.005,6.13,-1.37
Arkansas,SEC,14-15,12.56,108.8,96.2,71.9,-0.062,11.24,4.82
Penn 11,Ivy,25-7,12.23,110.2,98,65.6,-0.019,-2.38,0.98
Creighton 12,MVC,23-9,11.82,111.3,99.5,66.9,0.029,1.39,0.93
Bowling Green,MAC,23-9,11.76,111.3,99.6,66.6,0.021,2.13,0.85
Louisville,CUSA,19-13,11.74,108.1,96.4,72.6,0.008,6.99,1.75
Pepperdine 10,WCC,21-9,11.72,111.1,99.3,72.4,0.061,3.97,11.94
BYU,MWC,17-12,11.55,109.2,97.7,65.4,-0.045,5.74,3.23
Louisiana Tech,WAC,20-10,11.43,110,98.6,66.3,0.002,3.23,3.66
UNC Wilmington 13,CAA,23-10,11.32,107.4,96.1,63.9,-0.003,0.83,4.57
LSU,SEC,18-15,11.1,105.4,94.3,64.9,-0.048,6.88,-9.98
Wyoming 11,MWC,22-9,11.01,107.8,96.7,69,0.032,3.51,-5.47
Saint Joseph's,A10,19-12,10.81,114.4,103.6,67.7,-0.009,4.73,5.02
Arizona St.,P10,14-15,10.54,108.6,98.1,71.7,-0.09,7.95,-8.12
Georgia Tech,ACC,15-16,10.5,111.1,100.6,70.5,-0.022,8.64,0.93
Boston College 11,BE,20-12,9.97,109.4,99.4,69.1,0.04,6.41,-2.78
Tennessee Tech,OVC,24-7,9.44,109.9,100.4,67.2,0.003,-2.73,3.01
South Florida,CUSA,19-13,9.43,107.9,98.4,71.8,0.018,5.41,-0.09
San Diego St. 13,MWC,21-12,9.29,106.9,97.6,70,0.055,5.64,0.67
Utah St.,BW,22-8,9.17,106.3,97.2,63.3,-0.025,-2.19,-1.62
St. John's 9,BE,20-12,9.06,102.7,93.6,69.1,0.089,6.4,-0.79
UC Santa Barbara 14,BW,19-11,8.87,108.2,99.3,63.4,-0.058,0.45,3.37
St. Bonaventure,A10,17-13,8.59,116.1,107.5,71.5,-0.03,4.47,5.86
College of Charleston,SC,20-8,8.41,105,96.6,62.1,-0.041,-3.2,-6.61
Richmond,A10,22-14,8.31,104.1,95.8,60.8,0.069,4.71,5.1
UNLV,MWC,21-11,8.26,109.7,101.5,72.4,0.068,4.23,-1.04
Fresno St.,WAC,19-15,7.82,104.4,96.5,72.4,-0.025,4.84,5.93
Purdue,B10,13-18,7.6,109.8,102.2,68,-0.059,8.98,5.06
Seton Hall,BE,18-Nov,7.18,105,97.9,68.6,-0.1,7.89,2.03
Vanderbilt,SEC,17-15,7.14,107.6,100.5,69.1,0.06,8.44,-3.4
Saint Louis,CUSA,15-16,6.91,98.1,91.2,65.3,-0.023,5.9,2.38
Colorado,B12,14-14,6.78,111.3,104.6,71.9,-0.027,6.35,-8.44
Auburn,SEC,16-Dec,6.61,98.6,92,70.1,-0.049,8.17,-6.32
East Tennessee St.,SC,15-10,6.6,106.2,99.6,73.7,-0.022,-0.28,2.71
Northwestern,B10,16-13,6.55,99.9,93.4,61.6,0.036,5.74,-5.39
UC Irvine,BW,20-11,6.47,108,101.5,64.9,0.015,-0.11,1.86
New Mexico,MWC,16-14,6.36,110.3,103.9,66.5,-0.023,3.76,-2.87
Milwaukee,Horz,13-13,6.28,104.8,98.5,71.5,-0.088,1.98,5.89
Providence,BE,15-16,6.19,102.9,96.7,71.1,-0.05,4.43,-4.67
UAB,CUSA,13-17,6.18,102.5,96.4,67.7,-0.143,2.74,-2.9
New Mexico St.,SB,18-11,5.87,109.3,103.4,68.3,-0.029,-0.48,0.97
Arkansas Little Rock,SB,16-11,5.75,106.8,101.1,69.1,-0.063,-1.3,-4.07
Pacific,BW,18-10,5.74,109.6,103.8,65.2,0.002,-1.13,0.42
Washington,P10,18-Oct,5.44,105.3,99.8,71.3,0.01,12.08,7.6
McNeese St. 14,Slnd,20-9,5.39,103.2,97.8,66.2,0.023,-4.6,12.81
San Diego,WCC,14-13,5.21,107.7,102.5,68.9,-0.071,0.91,2.61
Detroit,Horz,18-13,5.01,104,99,63.3,0.051,2.37,3.03
Nebraska,B12,13-15,5,105.8,100.8,66.5,-0.019,5.16,-6.48
Houston,CUSA,17-15,4.99,108.7,103.7,66,0.064,6.12,1.53
Rutgers,BE,18-13,4.87,98,93.1,69.6,0.038,2.78,-9.89
Baylor,B12,16-Dec,4.69,108.2,103.5,68.3,-0.09,4.23,-6.93
Louisiana Lafayette,SB,19-11,4.63,99.7,95,70.6,0.054,0.18,-1.04
SMU,WAC,15-14,4.44,107.6,103.2,67.7,-0.025,2.92,2.29
Oral Roberts,MCon,17-13,4.33,105.4,101,69.4,-0.076,-3.4,-2.49
TCU,CUSA,14-15,4.23,110,105.8,76.5,-0.029,2.85,-2.37
UNC Greensboro,SC,20-11,4.21,103.1,98.8,68.6,0.054,-1.66,-3.79
Manhattan,MAAC,20-9,4.18,104.6,100.4,68.9,-0.018,-6.27,-7.83
Iowa St.,B12,19-Dec,4.16,108.1,103.9,65.2,-0.115,4.72,-7.22
Southwest Missouri St.,MVC,17-15,4.15,107.2,103,65.1,-0.064,-0.34,-1.82
Ohio,MAC,17-11,4.09,108.2,104.2,67.8,0.033,0.07,-2
Hampton 15,MEAC,25-7,3.99,109.9,105.9,69.1,0.013,-8.67,0.87
Marist,MAAC,19-9,3.98,106.7,102.8,68.4,-0.059,-5.53,-4.28
Illinois Chicago 15,Horz,18-14,3.85,108.9,105,67.5,0.04,1.84,0.67
Davidson 13,SC,18-10,3.7,101.5,97.8,65.1,0.142,1.79,9.43
Kansas St.,B12,13-16,3.67,104,100.3,65.9,-0.005,5.86,-5.38
Florida St.,ACC,17-Dec,3.54,105.8,102.3,68.3,-0.054,7.79,-9.05
VCU,CAA,21-11,3.53,102.9,99.3,70.9,0.01,-2.17,-2.1
Nevada,WAC,16-13,3.41,103.9,100.5,71.6,0.034,2.04,-1.94
Oregon St.,P10,17-Oct,3.36,103.4,100,61.3,-0.05,8,-5.43
Colorado St.,MWC,18-Nov,3.34,103.8,100.5,66.5,-0.11,4.28,-0.49
Loyola Chicago,Horz,17-13,3.2,103.5,100.3,69.5,0.01,-0.59,-3.87
Massachusetts,A10,13-16,3.17,102,98.8,64.3,0.002,5.05,6.49
Michigan,B10,18-Nov,3.15,105.4,102.3,65.6,-0.038,8.27,-0.43
Tulane,CUSA,13-15,3.07,104.8,101.7,69.2,0.041,6.18,2.95
Western Michigan,MAC,17-13,3,107.6,104.6,66.9,0.03,-0.17,1.1
Montana St.,BSky,18-10,2.97,107.4,104.4,63.5,0.054,-2.3,1.71
Clemson,ACC,13-17,2.94,107.3,104.4,69.4,-0.038,4.8,-9.3
George Mason,CAA,19-10,2.67,104.7,102.1,67.8,0.078,-1.69,-0.92
Wright St.,Horz,17-11,2.67,110.9,108.3,65.2,0.033,-2.09,-7.7
Georgia St.,ASun,19-11,2.6,107.8,105.2,69.6,0.009,-3.4,5.05
Georgia Southern,SC,14-12,2.55,107,104.5,74.4,-0.051,-2.19,-5.58
North Carolina,ACC,20-Aug,2.53,105.8,103.2,70,-0.065,11.37,1.78
Chattanooga,SC,14-14,2.36,103.7,101.3,69.2,-0.012,1.23,4.69
Miami OH,MAC,13-18,2.15,105.4,103.3,60.5,-0.004,4.99,8.77
Illinois St.,MVC,17-14,2.14,103.1,100.9,66.1,0.072,2.03,5
Arkansas St.,SB,13-16,2.13,105.2,103.1,64.2,-0.135,-1.64,-3.55
Virginia Tech,BE,18-Oct,2.1,104.3,102.2,67.3,-0.098,4,-5.08
Oakland,MCon,16-13,1.91,107.6,105.7,70.3,0.033,-0.1,3.38
Weber St.,BSky,16-11,1.76,106.1,104.4,68.1,-0.011,-2.95,2.81
Princeton,Ivy,15-12,1.47,103.7,102.2,57.7,0.023,-0.74,4.72
Murray St. 14,OVC,17-13,1.35,106.8,105.5,69.2,0.017,-1.74,3.98
La Salle,A10,15-17,1.32,103.9,102.6,66,0.034,3.26,1.96
Yale,Ivy,21-10,1.09,102.9,101.8,73.1,0.04,-6.19,-10.05
UCF,ASun,16-12,0.98,104.4,103.4,69.7,-0.08,-5.92,-2.68
Central Connecticut 14,NEC,27-5,0.93,100.6,99.7,64,0.137,-11.95,-4.98
The Citadel,SC,13-12,0.66,105.3,104.6,67,-0.027,-2.03,-6.4
Wichita St.,MVC,15-15,0.61,107.8,107.2,66.9,-0.007,-0.19,-1.21
Toledo,MAC,16-14,0.4,99.1,98.7,66.2,0.068,1.51,5.12
Rider,MAAC,17-11,0.35,100.2,99.9,68.5,-0.033,-6,-5.01
Delaware,CAA,14-16,0.32,102.7,102.4,66.4,-0.027,-0.02,2.77
San Francisco,WCC,15-Dec,0.21,102.9,102.7,67.8,-0.027,0.62,0.56
Troy St.,ASun,18-10,0.15,104.2,104.1,69.1,0.044,-4.96,1.4
Eastern Washington,BSky,15-13,-0.02,100.2,100.2,68.9,0.053,-0.92,6.97
Cal Poly,BW,14-12,-0.06,102.5,102.6,68.3,0.006,-1.98,-4.26
UTSA,Slnd,19-10,-0.18,103,103.2,72.2,0.001,-6.45,-0.45
North Texas,SB,13-14,-0.21,108.1,108.3,72,0.012,0.69,2.42
Holy Cross 16,Pat,18-15,-0.24,98.1,98.4,62.2,-0.048,-6.4,-3.38
UMKC,MCon,17-11,-0.33,101.2,101.5,60.7,0.04,-4.31,-7.23
Old Dominion,CAA,13-16,-0.43,102.5,102.9,64.8,-0.072,-2.11,-3.79
Southern Miss,CUSA,17-Sep,-0.45,97.7,98.1,64.3,-0.052,4.29,-2.52
Marshall,MAC,15-15,-0.55,110,110.5,69.6,0.037,1.7,1.6
Texas Pan American,ind,16-10,-0.62,101.1,101.7,71.7,0.051,-3.7,-1.04
Morehead St.,OVC,15-11,-0.91,105.5,106.4,68.1,0.072,-3.35,4.35
IUPUI,MCon,13-15,-0.96,102.3,103.3,69.4,-0.014,-0.16,1.61
DePaul,CUSA,19-Sep,-0.96,100.4,101.4,71.3,-0.043,6.9,-0.92
Furman,SC,13-14,-1.01,100.2,101.2,65.8,0.021,-0.35,-1.9
New Orleans,SB,14-14,-1.15,98.4,99.5,68,0.042,-0.93,-0.64
James Madison,CAA,14-15,-1.21,106.4,107.6,65.8,-0.036,-2.91,-7.07
Siena 16,MAAC,17-19,-1.21,100.8,102,66.5,-0.07,-4.14,-0.42
Drake,MVC,14-15,-1.41,107.1,108.5,64.5,0.03,-0.17,-1.52
Drexel,CAA,14-14,-1.45,104.4,105.9,70.4,0.016,-1.4,-1.04
Long Beach St.,BW,17-Dec,-1.48,102.9,104.4,70.2,-0.021,0.75,5.14
Northern Iowa,MVC,14-15,-1.49,108.2,109.7,66.9,0.055,1.23,3.1
Samford,ASun,15-14,-1.49,102.5,104,56.8,0.011,-2.89,6.03
Niagara,MAAC,18-14,-1.64,106.6,108.2,69.5,0.024,-4.33,-1.71
Air Force,MWC,19-Sep,-1.64,103.8,105.5,54.2,-0.015,4.3,-0.75
Cal St. Northridge,BW,16-Nov,-1.66,98.7,100.4,69.8,-0.011,1.5,7.01
East Carolina,CUSA,18-Oct,-1.78,102.3,104.1,65,0.037,5.93,-0.66
Buffalo,MAC,18-Dec,-1.84,99.6,101.4,67.7,-0.034,0.14,-3.46
Jacksonville,ASun,16-12,-1.98,98.7,100.7,66.7,-0.021,-5.92,-4.75
Northern Illinois,MAC,16-Dec,-2,105.6,107.6,72.1,-0.007,-0.24,-1.93
Louisiana Monroe,Slnd,19-12,-2,99.9,101.9,70.1,0.138,-2.89,10.95
Boise St.,WAC,17-Dec,-2.21,98.2,100.4,65.2,0.016,2.3,-3.11
UTEP,WAC,22-Sep,-2.36,101.3,103.7,67.7,-0.087,2.72,1.06
Vermont,AE,21-8,-2.41,105.8,108.2,68.1,0.026,-12.2,-7
Florida Atlantic 15,ASun,18-12,-2.5,99.6,102.1,70.2,0.06,-4.94,-4.52
West Virginia,BE,20-Jul,-2.62,103.4,106.1,72,-0.029,7.12,-0.46
Cleveland St.,Horz,16-Dec,-2.66,97.6,100.3,68.7,-0.035,-1.2,-5.91
Boston University 16,AE,22-10,-2.74,101.3,104,64.5,0.102,-9.18,0.25
Gardner Webb,ind,13-8,-2.84,101.4,104.3,73.6,0.077,-4.2,2.08
Radford,BSth,14-16,-2.88,98,100.9,69.8,-0.104,-6.96,4.34
Austin Peay,OVC,18-Nov,-2.98,99.4,102.4,67.3,-0.037,0.02,10.17
Penn St.,B10,21-Jul,-3.16,99.3,102.4,67.7,-0.032,8.23,-2.03
Wagner,NEC,19-10,-3.17,103.1,106.2,73.3,0.017,-10.18,0.12
George Washington,A10,16-Dec,-3.19,102.7,105.9,70.7,0.089,3.96,1.81
Sam Houston St.,Slnd,14-14,-3.21,100.2,103.4,72.7,-0.042,-5.09,4.35
Middle Tennessee,SB,13-15,-3.38,96.8,100.2,66.1,0.04,-0.91,-2.79
Rice,WAC,19-Oct,-3.43,98,101.4,67.7,-0.051,0.85,-4.17
Central Michigan,MAC,19-Aug,-3.52,101.6,105.1,67.9,-0.062,2.61,7.45
Brown,Ivy,16-10,-3.69,105.9,109.6,72.7,0.058,-6.99,-8.54
American,Pat,18-12,-4.01,101,105.1,62.9,0.057,-7.7,-3.16
Green Bay,Horz,21-Sep,-4.25,105.3,109.6,62.3,-0.118,-0.25,-6.02
Fairfield,MAAC,17-Dec,-4.3,99.1,103.4,71.9,-0.055,-3.99,-2.28
Centenary,ind,13-Oct,-4.4,101.4,105.8,65.6,-0.031,-3.27,-0.16
Montana 15,BSky,14-15,-4.51,102.4,106.9,68.5,0.053,-1.95,0.44
Santa Clara,WCC,15-Dec,-4.55,101.1,105.6,66.3,0.069,-0.04,-0.22
Bradley,MVC,20-Sep,-4.59,95.3,99.9,63.3,-0.046,0.99,0.92
Texas A&M,B12,22-Aug,-4.73,97.4,102.2,68.2,0.011,7.73,-0.61
Fordham,A10,20-Aug,-4.78,99.3,104.1,74.7,0.022,4.74,4.37
Southern Utah,MCon,16-Sep,-4.82,100.4,105.2,63.5,-0.037,-0.29,3.18
Washington St.,P10,21-Jun,-4.94,104.3,109.3,69.8,-0.088,9.36,-7.28
Belmont,ASun,17-Nov,-5,108.8,113.8,65.2,-0.025,-2.66,8.7
Iona,MAAC,13-17,-5.07,98.5,103.6,70.9,-0.018,-3.9,-1.38
