Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
Buffalo,MAC,20-11,7.92,107.3,99.4,67.3,0,2,2.92
Tulsa,CUSA,17-14,7.75,106.3,98.5,63.8,-0.074,2.32,1.71
Mercer,ASun,27-11,7.71,105.1,97.4,64.2,0.02,-0.87,0.8
Oklahoma St.,B12,15-18,7.62,107.1,99.5,65.5,-0.016,9.87,3.38
Washington St.,P12,19-18,7.33,109.7,102.4,62.8,-0.056,4.25,-5.52
Princeton,Ivy,20-12,7.26,107.8,100.5,62.5,-0.018,0.94,3.09
Wagner,NEC,25-6,7.14,104.8,97.6,67.1,0.014,-5.7,1.11
Montana 13,BSky,25-7,6.76,103.7,96.9,64.2,0.064,-5.3,-0.72
Oklahoma,B12,15-16,6.64,105.4,98.8,66.6,-0.017,6.61,-6.37
UC Santa Barbara,BW,20-11,6.37,111.1,104.7,63.6,-0.009,-1.45,6.04
Lamar 16,Slnd,23-12,6.33,107.6,101.3,66,-0.028,-3.98,5.21
Richmond,A10,16-16,6.13,109.3,103.2,62.8,-0.047,3.84,0.41
George Mason,CAA,24-9,6.08,104.2,98.1,67.1,0.048,-2.2,-3.96
Old Dominion,CAA,22-14,6.08,102,95.9,64.5,-0.006,-0.01,4.47
Georgia,SEC,15-17,5.97,104.7,98.7,61.5,0.033,7.99,0.99
Fairfield,MAAC,22-15,5.66,100.6,95,64,-0.066,-1.42,3.69
UNC Asheville 16,BSth,24-10,5.5,110.4,104.9,68.2,-0.001,-4.12,7.91
Detroit 15,Horz,22-14,5.48,108.1,102.6,67.1,-0.008,0.35,1.14
Butler,Horz,22-15,5.31,99.7,94.4,64.1,0.02,1.42,6.43
Kent St.,MAC,21-12,5.29,105.5,100.2,67.1,0.005,0.01,-2.78
Vermont 16,AE,24-12,5.17,105.3,100.1,61.9,-0.024,-5.44,-1.55
Evansville,MVC,16-16,5.17,110.7,105.6,66.4,-0.023,3.19,-3.35
Rutgers,BE,14-18,5.14,102,96.9,65.3,-0.048,5.92,-5.35
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Texas A&M,B12,14-18,5.07,101.4,96.4,61.4,-0.05,6.92,-10.59
Robert Morris,NEC,26-11,4.96,105.9,100.9,63,0.04,-2.99,3.95
Duquesne,A10,16-15,4.29,107.2,102.9,67.1,0.026,5.15,0.59
Utah St.,WAC,21-16,4.24,107.9,103.7,61.9,-0.067,-2.04,-2.1
Providence,BE,15-17,4.09,110.1,106,65.2,-0.012,5.33,-10.96
Arkansas,SEC,18-14,4.07,106.4,102.4,69.5,0.031,2.35,-7.09
Manhattan,MAAC,21-13,3.91,103.3,99.4,67,-0.022,-4.4,-5.06
Loyola MD 15,MAAC,24-9,3.91,103.9,100,63.6,0.114,-2.7,-0.69
UAB,CUSA,15-16,3.89,101.2,97.3,61.1,0.02,4.69,3.25
Weber St.,BSky,25-7,3.77,110.2,106.5,65.5,0.11,-5.3,-0.32
Bowling Green,MAC,16-16,3.75,103.8,100,63.9,-0.065,1.16,1.66
Penn St.,B10,20-Dec,3.38,102.9,99.5,63.1,-0.024,8.23,-3.35
Maryland,ACC,17-15,3.37,106.7,103.4,66.2,0.092,5.05,-3.31
East Carolina,CUSA,15-16,3.23,104.6,101.4,65.1,-0.093,2.38,-4.57
USC Upstate,ASun,21-13,3.22,103.1,99.9,67,0.032,-0.63,1.07
Indiana St.,MVC,18-15,3.09,102,98.9,64,0.06,3.16,-1.86
Penn,Ivy,20-13,2.88,104,101.1,62,0.058,-0.38,1.73
Loyola Marymount,WCC,21-13,2.73,102.1,99.4,66.1,0.057,0.26,-0.84
Drake,MVC,18-16,2.63,101.1,98.5,65.8,0.036,3.1,-0.51
UTEP,CUSA,15-17,2.55,102,99.4,61.4,-0.031,2.19,0.16
Milwaukee,Horz,20-14,2.3,100.6,98.3,65.2,0.033,0.23,2.98
San Francisco,WCC,20-14,2.28,109,106.7,67.9,-0.001,-1.44,-5.75
East Tennessee St.,ASun,17-14,2.21,101.8,99.6,64.1,-0.017,-0.73,0.1
Auburn,SEC,15-16,2.1,99.6,97.5,64,0.027,3.58,-6.74
Rice,CUSA,19-16,1.85,100.9,99,67.9,-0.007,0.91,-2.72
Oakland,Sum,20-16,1.72,114.4,112.7,69.7,0.021,-0.16,5.28
DePaul,BE,19-Dec,1.69,108.5,106.9,71.4,-0.042,4.72,-9.74
Charlotte,A10,13-17,1.65,100,98.4,67.6,0.003,4.25,-0.15
Nebraska,B10,18-Dec,1.62,103.4,101.7,61.5,0.034,8.58,-4.92
Quinnipiac,NEC,18-14,1.44,104,102.5,65.6,-0.071,-4.68,-2.22
Boise St.,MWC,13-17,1.38,105.3,103.9,64.3,-0.081,2.77,-4.39
Stephen F. Austin,Slnd,20-12,1.29,97.3,96,58.6,-0.059,-6.16,-3.79
Idaho,WAC,19-14,1.29,106.6,105.3,62.5,0.012,-0.77,-1.9
St. John's,BE,13-19,1.2,103.9,102.7,66.2,0.033,7.19,-2.66
Yale,Ivy,19-10,1.09,101.2,100.1,66.3,0.099,-1.39,-1.53
Cal St. Fullerton,BW,21-10,0.9,109.1,108.2,68.3,0.006,-6.6,-8.72
College of Charleston,SC,19-12,0.84,102.4,101.6,66.4,0.03,-3.23,4.05
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
TCU,MWC,18-15,0.76,106.3,105.6,67.9,0.085,3,-2.58
LIU Brooklyn 16,NEC,25-9,0.75,108.7,107.9,73.4,0.117,-5.25,-2.27
North Dakota St.,Sum,17-14,0.69,106,105.4,66,-0.055,-3.33,-5.53
South Carolina,SEC,21-Oct,0.63,103.5,102.9,61.7,-0.069,5.9,-5.23
Youngstown St.,Horz,16-15,0.59,106.3,105.8,64.4,-0.023,-0.23,0.95
Cal Poly,BW,18-15,0.49,104.4,103.9,59.1,-0.07,-4.14,-2.58
North Texas,SB,18-14,0.41,100.7,100.3,67.8,-0.041,-2.66,-1.36
Tennessee St.,OVC,20-13,0.12,101.1,101,65.3,0.087,-1.7,2.81
Delaware,CAA,18-14,-0.02,103.4,103.4,67.2,0.039,-1.62,-2.28
Western Michigan,MAC,14-20,-0.05,105.7,105.8,65.1,-0.071,0.93,8.16
George Washington,A10,21-Oct,-0.68,101.8,102.5,62.6,-0.038,5.43,2.69
Charleston Southern,BSth,19-12,-0.71,104.5,105.2,69.5,0.008,-5.15,4.05
UTSA,Slnd,18-14,-0.81,104,104.9,66.4,-0.051,-4.09,0.72
Georgia Tech,ACC,20-Nov,-0.86,98.5,99.3,62.2,-0.073,3.65,-0.81
Green Bay,Horz,15-15,-0.88,101.3,102.2,66.1,0.068,2.44,8.87
Florida Gulf Coast,ASun,15-17,-0.88,105.2,106.1,66.5,-0.028,-0.5,-2.22
American,Pat,20-12,-0.91,101.3,102.2,61.7,0.056,-5.45,-4.69
Western Illinois,Sum,18-15,-1.3,97.1,98.4,57.8,0.024,-1.72,-4.87
Fresno St.,WAC,13-20,-1.41,101.4,102.8,61.7,-0.09,0.63,0.24
Arkansas Little Rock,SB,15-16,-1.56,98.3,99.9,63.7,0.024,-0.56,3.17
Boston University,AE,16-16,-1.6,100,101.6,63.8,-0.014,-3.1,5.09
Norfolk St. 15,MEAC,26-10,-1.82,100.9,102.7,66.6,0.189,-6.31,1.39
