Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
Northern Illinois,MAC,26-May,-19.58,90.3,109.9,62.1,-0.022,-2.39,-4.21
Alcorn St.,SWAC,22-Sep,-20.18,88.4,108.6,67.4,-0.046,-11.22,7.42
Jackson St.,SWAC,24-Jul,-20.45,88.5,108.9,60.7,-0.027,-7.13,15.79
Nebraska Omaha,ind,18-Nov,-20.56,97.1,117.6,70.4,-0.054,-1.49,-0.42
Chicago St.,GWC,26-Apr,-20.89,88.7,109.6,69.2,-0.048,-3.11,3.58
Fairleigh Dickinson,NEC,26-Mar,-21.19,87.8,109,66.5,0.034,-3.99,-0.61
Tennessee Martin,OVC,27-Apr,-21.2,94.1,115.3,65.1,-0.012,-1.78,1.32
Alabama A&M,SWAC,21-Jul,-21.42,90,111.4,66.8,-0.063,-11.19,9.08
Bryant,NEC,28-Feb,-22.37,94,116.4,64.6,-0.037,-3.04,0.4
Towson,CAA,31-Jan,-22.63,87.3,109.9,61.5,-0.036,2.73,4.62
Northern Arizona,BSky,24-May,-22.81,89.8,112.6,64.6,-0.002,-4.42,-1.63
Longwood,ind,21-Oct,-22.94,99.7,122.6,69.1,0.01,-6.78,-6.87
UMBC,AE,26-Apr,-23.39,91.4,114.8,67.9,-0.029,-6.12,-2.37
South Carolina St.,MEAC,26-May,-24.49,92.4,116.9,68.5,-0.029,-6.2,0.3
Binghamton,AE,Feb-29,-25.99,86.5,112.5,64.6,-0.021,-7.02,-5.28
Grambling St.,SWAC,24-Apr,-30.22,85.3,115.5,64.3,0.024,-9.08,5.28
