Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Old Dominion,CUSA,25-7,12.14,108.8,96.6,64.5,0.041,-1.27,-3.43
Georgia,SEC,18-15,11.64,107.5,95.9,64.4,0.01,10.09,0.51
Buffalo 13,MAC,27-9,11.53,114.7,103.2,72.7,0.006,-0.06,3.87
St. Bonaventure 11,A10,26-8,11.21,110.8,99.5,69.4,0.078,2.8,1.17
Wisconsin,B10,15-18,10.68,109.7,99.1,62.7,-0.068,9.89,0.06
Indiana,B10,16-15,10.44,109.4,99,66.6,-0.025,7.83,-2.76
Montana 14,BSky,26-8,10.4,108.8,98.4,68,0,-1.96,2.09
St. John's,BE,16-17,10.31,106.5,96.2,69.4,-0.016,11.11,3.05
South Dakota St. 12,Sum,28-7,10.2,113.8,103.6,70.5,0.097,-0.09,3.59
Fresno St.,MWC,21-11,10.07,109.7,99.6,66.6,-0.057,0.84,-6.31
South Carolina,SEC,17-16,9.91,105.6,95.7,68.7,0.003,9.63,0.89
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
South Dakota,Sum,26-9,9.85,109,99.2,70.9,-0.048,-2.97,-1.65
UNC Greensboro 13,SC,27-8,9.22,104.9,95.7,65.2,-0.024,-4.57,-3.46
Belmont,OVC,24-9,9.15,112.7,103.5,66.9,-0.004,-3.22,1.45
SMU,Amer,17-16,8.61,109.5,100.9,64.3,-0.102,2.41,-3.88
Northwestern,B10,15-17,8.57,109.2,100.6,63.9,-0.068,8.85,-1.9
Iowa,B10,14-19,8.14,116.6,108.4,70.3,-0.09,8.23,-4.11
Wake Forest,ACC,20-Nov,7.94,110.9,103,69.5,-0.12,9.05,-1.4
Vanderbilt,SEC,20-Dec,7.93,115.3,107.3,65.8,-0.08,11.07,4.28
Utah Valley,WAC,23-11,7.78,110.8,103,68.1,-0.006,-1.94,1.28
East Tennessee St.,SC,25-9,7.49,105.3,97.8,67.6,0,-4.19,-1.54
Georgetown,BE,15-15,7.44,109.7,102.3,70.5,-0.046,6.28,-17.81
Furman,SC,23-10,7.41,108.9,101.5,68.6,-0.005,-4.53,-0.73
Northeastern,CAA,23-10,7.34,107.8,100.5,67,0.03,-1.27,4.09
Bucknell 14,Pat,25-10,7.31,109.5,102.2,71.4,0.006,-4.35,5.79
DePaul,BE,20-Nov,7.03,104.5,97.5,69.8,-0.103,9.79,-4.14
Oregon St.,P12,16-16,6.99,108.2,101.3,65.5,-0.083,3.02,-7.34
Georgia St. 15,SB,24-11,6.92,108.8,101.9,66.8,-0.015,-2.51,-3.22
Illinois,B10,14-18,6.67,109.6,103,69.9,-0.093,7.32,-3.19
Iowa St.,B12,13-18,6.58,109.9,103.4,68.9,-0.009,10.71,-3.06
Northern Colorado,BSky,26-12,6.55,107.3,100.8,72.2,-0.023,-1.73,1.38
Marshall 13,CUSA,25-11,6.53,109.4,102.9,74.7,0.06,0.07,-7
New Mexico,MWC,19-15,6.52,113.3,106.8,71.3,-0.022,2.7,1.41
UNLV,MWC,20-13,6.44,111.4,104.9,72.3,-0.012,0.86,-5.02
Mississippi,SEC,20-Dec,6.42,111.1,104.7,70,-0.053,9.62,0.9
UAB,CUSA,20-13,6.32,109.6,103.3,67.7,-0.047,-0.93,-6.96
Tulsa,Amer,19-12,6.02,108.3,102.3,67.3,0.029,0.68,-2.04
UCF,Amer,19-13,5.62,98.9,93.2,64.5,0.062,2.52,-2.5
Stephen F. Austin 14,Slnd,28-7,5.58,104.5,99,71.1,0.031,-7.16,-2.26
Toledo,MAC,23-11,5.31,113.9,108.6,68.4,0.049,-1.94,-1.81
Colorado,P12,17-15,5.27,104.9,99.6,67.8,0.068,6.26,-0.09
College of Charleston 13,CAA,26-8,5.16,108.7,103.6,64.9,0.035,-4.06,-7.64
Saint Joseph's,A10,16-16,5.15,105.6,100.5,70.5,-0.052,0.77,2.17
Minnesota,B10,15-17,5.08,108.7,103.7,69.8,-0.02,6.85,-5.09
Wyoming,MWC,20-13,4.99,105.6,100.6,73.5,0.068,3.44,2.31
Georgia Tech,ACC,13-19,4.9,103.6,98.7,66.1,-0.022,8.11,-5.51
Missouri St.,MVC,18-15,4.81,108.3,103.5,65.5,-0.046,1.05,-3.02
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Grand Canyon,WAC,22-12,4.53,102.1,97.5,69,-0.066,-6.92,-11.37
Northern Iowa,MVC,16-16,4.51,103.2,98.7,62.7,-0.032,4.58,6.04
UC Santa Barbara,BW,23-9,4.27,111.4,107.1,66.7,0.034,-3.86,-0.86
Bradley,MVC,20-13,3.98,104.4,100.4,65.8,0.042,1.07,-4.52
Penn 16,Ivy,24-9,3.69,103.1,99.4,68.9,0.076,-4.15,-2.98
Idaho,BSky,22-9,3.54,109.2,105.6,65.6,0.039,-3.98,-3.07
UT Arlington,SB,21-13,3.37,105.5,102.1,72.8,0.009,-1.37,-1.2
Rutgers,B10,15-19,3.07,99.2,96.2,66,-0.043,5.58,-14.27
Canisius,MAAC,21-12,3.05,107.2,104.1,68.9,-0.034,-4.82,-2.89
San Diego,WCC,20-14,3.01,103.6,100.6,66.9,-0.014,-0.77,-2.63
Wright St. 14,Horz,25-10,2.89,100.6,97.7,68.3,0.074,-3.79,2.23
Evansville,MVC,17-15,2.85,99.3,96.5,65.7,0.015,1.38,-3.48
Southern Illinois,MVC,20-13,2.82,106.1,103.3,66.6,0.073,1.27,-4.09
Eastern Washington,BSky,20-15,2.67,107.3,104.6,66.5,-0.004,0.11,6.2
Iona 15,MAAC,20-14,2.63,110,107.3,70.7,-0.008,-2.12,2.14
Indiana St.,MVC,13-18,2.63,104.7,102.1,69.9,-0.097,3.13,2.05
Utah St.,MWC,17-17,2.57,107.2,104.7,66.8,-0.014,2.74,-0.95
Illinois St.,MVC,18-15,2.39,105.7,103.3,68.9,0.116,4.95,6.6
Jacksonville St.,OVC,23-13,2.32,102.3,100,66.2,-0.005,-4.47,-9.38
Eastern Michigan,MAC,22-13,2.31,102.3,100,65.1,-0.006,-2.49,-2.23
VCU,A10,18-15,2.28,106.1,103.8,70.9,0.015,0.51,1.16
North Texas,CUSA,20-18,2.2,105.6,103.4,67.8,-0.048,-0.69,-0.5
UC Irvine,BW,18-17,2.11,100.1,98,67,-0.025,1.08,8.99
Saint Louis,A10,17-16,2.1,102.1,100,64.1,0.003,1.23,1
Louisiana Tech,CUSA,17-16,2.01,106.9,104.9,67.3,-0.067,-0.37,-3.36
Valparaiso,MVC,15-17,1.78,103,101.2,69.7,-0.053,1.62,-2.72
Albany,AE,22-10,1.71,107.1,105.4,66.2,0.007,-6.49,-5.2
Georgia Southern,SB,21-12,1.65,105.9,104.3,68.9,0.015,-2.52,-1.55
Towson,CAA,18-14,1.29,106,104.7,67.9,-0.07,-2.8,-2.22
Mercer,SC,19-15,1.27,111.7,110.5,64.3,-0.047,-2.86,-0.19
Drake,MVC,17-17,1.09,105.9,104.8,68.4,0.016,2.22,-0.38
La Salle,A10,13-19,1.06,104.9,103.8,68.9,-0.072,1.15,2.22
Hofstra,CAA,19-12,0.99,111.1,110.1,68.9,0.062,-1.8,1.99
San Francisco,WCC,22-17,0.97,102.1,101.1,67.1,0.066,0.06,-0.33
Weber St.,BSky,20-11,0.88,106.7,105.8,67.5,0.037,-2.94,-0.23
Winthrop,BSth,19-12,0.85,106.1,105.2,71.6,-0.037,-5.51,2.13
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Memphis,Amer,21-13,0.78,107.5,106.7,66.6,0.135,0.42,-6.39
Cal St. Fullerton 15,BW,20-12,0.62,103.7,103.1,69.6,0.097,-1.2,2.76
Wofford,SC,21-13,0.59,109.1,108.5,66.1,0.043,-2.59,2.05
Portland St.,BSky,20-14,0.56,107.9,107.3,74.6,0.022,-0.82,3.3
Fort Wayne,Sum,18-15,0.5,107.7,107.2,72.6,-0.072,-2.49,-2.21
UMBC 16,AE,25-11,0.5,103.1,102.6,68.4,0.125,-4.38,-3.55
Lipscomb 15,ASun,23-10,0.43,103.2,102.8,74.9,0.112,-4.31,5.84
Central Michigan,MAC,21-15,0.13,110.1,109.9,67.6,-0.022,-3.15,-9.32
William & Mary,CAA,19-12,0.09,115.3,115.2,70,0.098,-0.75,3.56
Radford 16,BSth,23-13,0.07,102.9,102.9,63,0.063,-4.03,3.49
Tulane,Amer,14-17,0.04,106.9,106.9,69,-0.018,0.76,-6.27
Dayton,A10,14-17,0.02,108.4,108.3,66.3,-0.004,1.36,1.38
Ball St.,MAC,19-13,-0.08,103.3,103.3,69.9,0.06,-2.07,-1.46
UTSA,CUSA,20-15,-0.09,104.7,104.7,71.8,0.038,-1.04,1.32
Oakland,Horz,19-14,-0.23,107.4,107.7,70.3,0.011,-4.41,1.24
North Dakota St.,Sum,15-17,-0.37,105,105.4,66.5,-0.078,-0.09,1.58
Troy,SB,16-17,-0.37,106.2,106.5,68.3,-0.065,-1.18,0.04
Pacific,WCC,14-18,-0.43,106.6,107,66.3,-0.016,1.28,1.84
Connecticut,Amer,14-18,-0.43,105,105.4,67,0.075,5.89,4.87
Richmond,A10,20-Dec,-0.78,107.4,108.1,67.9,-0.022,2.75,5.44
Illinois Chicago,Horz,20-16,-0.84,100.9,101.8,72.5,-0.01,-4.11,-1.48
Monmouth,MAAC,20-Nov,-1.21,103.5,104.7,70,-0.112,-0.86,5.06
Liberty,BSth,22-15,-1.22,103.9,105.2,63.1,-0.052,-6.7,-5.44
Nicholls St.,Slnd,21-11,-1.56,103.3,104.9,73.5,0.037,-5.69,4.11
Washington St.,P12,19-Dec,-1.66,108.4,110,68.2,0.004,4.41,-1.75
Western Michigan,MAC,17-15,-2.02,106.2,108.2,67.8,0.01,-1.97,-2.51
Austin Peay,OVC,19-15,-2.09,105,107,69.2,0.052,-2.74,4.27
Princeton,Ivy,13-16,-2.44,105.3,107.8,64.5,-0.055,-2.02,1.98
Long Beach St.,BW,15-18,-2.62,106.1,108.7,71.8,0.027,1.11,8.21
George Washington,A10,15-18,-2.66,103.6,106.2,65.8,0.036,0.31,0.16
Ohio,MAC,14-17,-2.74,100.4,103.1,71.3,-0.047,-1.48,-1.72
Miami OH,MAC,16-18,-2.82,100.2,103,66.7,0.022,-0.68,1.72
Seattle,WAC,20-14,-2.95,103.7,106.7,67.4,0.038,-4.43,-5.24
Milwaukee,Horz,16-17,-3.11,100.3,103.4,65.7,-0.023,-4.43,-2.02
Yale,Ivy,16-15,-3.18,103.8,107,68.8,0.042,-1.86,1.49
Tennessee St.,OVC,15-15,-3.27,97.5,100.8,65.6,0.016,-2.98,4.02
Hawaii,BW,17-13,-3.38,99.1,102.5,67.9,0.034,-4,-3.64
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Duquesne,A10,16-16,-3.63,104.6,108.2,66.2,-0.059,-6.22,-16.97
Colgate,Pat,19-14,-3.72,105,108.7,66.6,0.03,-6.25,-2.44
Lamar,Slnd,19-14,-3.72,101.6,105.3,67.8,-0.059,-6.97,-1.75
Sam Houston St.,Slnd,21-15,-3.77,102.1,105.9,67.2,0.04,-4.27,4.15
Niagara,MAAC,19-14,-3.99,109.5,113.5,73.7,0.09,-4.08,-3.49
Southern Miss,CUSA,16-18,-4.04,105.8,109.9,65.4,0.037,2.4,4.36
Massachusetts,A10,13-20,-4.09,106.4,110.5,66.4,-0.013,-0.54,-3.17
Appalachian St.,SB,15-18,-4.11,103.4,107.5,70.1,-0.026,-2.58,-0.19
Coastal Carolina,SB,14-18,-4.19,101.8,105.9,67.8,-0.052,-2.25,0.76
Denver,Sum,15-15,-4.23,102.6,106.8,66.4,0.026,-2.09,-3.34
Kent St.,MAC,17-17,-4.34,102.1,106.4,68.7,0.066,-1.69,-1.86
Fairfield,MAAC,17-16,-4.37,102.1,106.4,70.5,0.051,-4.52,-0.9
Central Arkansas,Slnd,18-17,-4.41,105.4,109.8,72.7,0.001,-5.45,-2.23
St. Francis PA,NEC,18-13,-4.86,106.4,111.2,68.2,0.039,-7.41,2.45
Hartford,AE,19-14,-4.89,102.9,107.8,66.5,0.065,-6.02,-6.72
Manhattan,MAAC,14-17,-4.95,99.3,104.2,65.8,-0.007,-4.26,-3.79
Saint Peter's,MAAC,14-18,-5,95.5,100.5,62.6,-0.037,-4.4,-5.37
Campbell,BSth,18-16,-5.01,105.8,110.8,68,-0.057,-7.3,-8.04
Tennessee Tech,OVC,19-14,-5.06,98.5,103.5,70.9,0.118,-2.81,-0.53
George Mason,A10,16-17,-5.17,102.1,107.3,69.1,0.117,-0.68,-3.59
South Alabama,SB,14-18,-5.32,96.9,102.2,70.4,-0.033,-2.98,-6.15
FIU,CUSA,14-18,-5.33,98.4,103.7,69,-0.039,-3.16,-6.95
Stony Brook,AE,13-19,-5.33,96.8,102.1,68.4,0.009,-2.17,1.11
Colorado St.,MWC,21-Nov,-5.66,102.6,108.3,69.6,0.037,3.92,1.14
Navy,Pat,20-12,-5.67,98.7,104.3,65.4,0.095,-8.2,-6.56
Idaho St.,BSky,14-16,-5.7,103.2,108.9,68.1,-0.005,-3.69,-2.39
Pittsburgh,ACC,24-Aug,-5.76,98.9,104.7,65.2,0.007,9.14,-3.57
Texas St.,SB,15-18,-5.79,99.8,105.6,62.7,0.003,-2.99,-6.83
James Madison,CAA,22-Oct,-5.97,101.4,107.4,67.9,-0.025,-2.06,-0.83
Louisiana Monroe,SB,16-16,-6,100.5,106.5,66.1,0.042,-2.83,-3.19
Columbia,Ivy,19-Aug,-6.01,107.3,113.3,70,-0.146,-3.5,-1.21
Bowling Green,MAC,16-16,-6.04,102,108.1,70,0.066,-2.61,-4.63
Florida Atlantic,CUSA,19-Dec,-6.1,95.9,102,69.2,-0.025,-0.28,-0.38
Loyola Marymount,WCC,20-Nov,-6.17,107.2,113.4,66.9,0.012,0.5,-2.55
Lehigh,Pat,16-14,-6.23,105.7,111.9,70.8,0.042,-6.82,-2.17
Oral Roberts,Sum,21-Nov,-6.24,106,112.3,65.3,-0.033,2.92,8.44
Air Force,MWC,19-Dec,-6.25,100.5,106.8,66,0.022,1.72,-5.13
Mount St. Mary's,NEC,18-14,-6.36,103.7,110.1,64.7,0.029,-8.63,-3.44
North Dakota,BSky,20-Dec,-6.41,103.1,109.5,71.4,0.015,1.09,6.47
UTEP,CUSA,20-Nov,-6.49,98,104.5,67.6,-0.039,-1.14,-2.56
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
High Point,BSth,14-16,-6.51,100.1,106.6,65.9,-0.082,-6.42,-1.82
Cal St. Bakersfield,WAC,18-Dec,-6.65,97.3,103.9,65.3,-0.024,0.64,4.67
Texas Southern 16,SWAC,16-20,-6.65,104.6,111.2,71.7,-0.01,-6.3,17.2
California,P12,24-Aug,-7.27,98.2,105.4,68.7,0.008,5.14,-3.08
UNC Wilmington,CAA,21-Nov,-7.43,104.3,111.7,72,-0.023,-0.32,2.87
Charleston Southern,BSth,15-16,-7.43,99.4,106.8,66.5,-0.019,-6.06,-1.08
Delaware,CAA,14-19,-7.57,102,109.6,65.9,0.015,-2.54,-3.38
Elon,CAA,14-18,-7.62,103.6,111.3,67.3,0.061,-0.95,2.4
Northern Illinois,MAC,13-19,-7.66,103.3,111,67,0.002,-1.45,-3.54
Drexel,CAA,13-20,-7.73,103,110.7,69,0.064,-2.16,-2.43
Southern Utah,BSky,13-19,-7.74,102.2,110,71.7,0.062,-0.45,4.9
Robert Morris,NEC,16-17,-7.79,94.7,102.5,69.3,0.036,-5.74,0.95
NJIT,ASun,14-16,-7.95,98.6,106.6,66.9,-0.024,-7.24,-2.51
Akron,MAC,14-18,-8.08,101.8,109.9,67.8,0.068,-2.06,-5.3
Southeast Missouri St.,OVC,14-17,-8.11,108.5,116.6,69.2,0.021,-4.53,-2.47
Eastern Illinois,OVC,19-Dec,-8.14,99,107.1,65.5,0.009,-2.42,2.01
Boston University,Pat,15-16,-8.21,100.2,108.4,67.5,0.057,-5.49,-2.35
LIU Brooklyn 16,NEC,18-17,-8.27,102.3,110.6,71.6,0.012,-8.68,-6.06
UT Rio Grande Valley,WAC,15-18,-8.47,99.3,107.8,73.7,0.064,-2.78,-2.47
Gardner Webb,BSth,14-18,-8.52,97.6,106.1,67.7,0.021,-2.87,6.54
Abilene Christian,Slnd,16-16,-8.66,98.2,106.8,68.6,0.014,-6.52,-3.16
Green Bay,Horz,13-20,-8.67,99.9,108.6,72.2,-0.028,-4.11,0.25
Army,Pat,13-17,-8.69,99.8,108.5,70.4,-0.045,-7.17,-4.75
Cornell,Ivy,16-Dec,-8.9,104.7,113.6,69.2,0.057,-3.19,-1.84
New Orleans,Slnd,16-17,-8.95,98.5,107.4,66.1,0.047,-4.84,11.06
Brown,Ivy,16-Nov,-9.16,100.8,110,71.7,0.004,-5.54,-7.07
UC Riverside,BW,22-Sep,-9.17,94.5,103.7,68.3,-0.067,-1.31,1.76
Prairie View A&M,SWAC,16-18,-9.2,101.4,110.6,70.8,0.01,-7.94,10.43
Montana St.,BSky,13-19,-9.27,102.1,111.3,69.7,0.026,-2.85,-1.88
Pepperdine,WCC,26-Jun,-9.51,105,114.5,67.5,-0.056,1.09,-0.68
Portland,WCC,22-Oct,-9.66,99,108.7,67.1,-0.001,1.2,0.61
Morehead St.,OVC,21-Aug,-9.96,99,109,68.5,-0.069,-0.74,7.6
Fairleigh Dickinson,NEC,13-18,-10.16,102.2,112.4,70.5,0.025,-5.59,5.93
Lafayette,Pat,21-Oct,-10.17,101.8,112,68.3,-0.097,-6.55,-2.8
UMKC,WAC,22-Oct,-10.32,98.2,108.5,69.3,-0.009,-0.19,1.93
Santa Clara,WCC,20-Nov,-10.34,99.2,109.5,64.6,0.018,-1.33,-6.82
New Hampshire,AE,21-Oct,-10.35,98.2,108.5,65.4,-0.069,-4.86,-4.07
South Florida,Amer,22-Oct,-10.45,98.8,109.3,64.6,-0.013,-1.73,-11.64
Quinnipiac,MAAC,21-Dec,-10.46,101.7,112.2,66.5,0.079,-4.19,-3.84
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Arkansas St.,SB,21-Nov,-10.56,104.5,115.1,69.5,0.017,-2.27,-2.75
North Florida,ASun,14-19,-10.65,107.7,118.4,73.6,0.074,-0.86,9.82
Nebraska Omaha,Sum,22-Sep,-10.67,104.1,114.7,69.8,0.012,1.8,4.31
IUPUI,Horz,19-Nov,-10.72,98.3,109,66.1,0.03,-3.2,2.32
Sacramento St.,BSky,25-Jul,-10.77,99.8,110.6,65.6,-0.067,0.05,3.32
Eastern Kentucky,OVC,20-Nov,-10.96,101.7,112.6,68.6,0.017,-2.5,1.19
UMass Lowell,AE,18-Dec,-11,103.6,114.6,71.6,0.002,-6.84,-9.71
Bethune Cookman,MEAC,18-14,-11.05,99.5,110.6,76,0.025,-13.38,-5.09
Rice,CUSA,24-Jul,-11.09,99,110.1,67.5,-0.041,0.21,1.04
Holy Cross,Pat,19-Dec,-11.36,97.5,108.9,62.9,0.026,-6.02,-3.43
McNeese St.,Slnd,17-Dec,-11.47,100.6,112.1,70.4,-0.025,-5.05,7.74
Fordham,A10,22-Sep,-11.63,94.5,106.1,66,0.009,-0.38,-5.39
Western Illinois,Sum,16-Dec,-11.65,96.1,107.7,68.1,0.006,-2.21,-6.56
Tennessee Martin,OVC,21-Oct,-11.66,95.5,107.2,66.1,-0.019,-4.41,-2.8
Grambling St.,SWAC,17-14,-11.71,94.3,106,72.2,0.102,-9.87,3.07
Little Rock,SB,25-Jul,-11.91,93.8,105.7,65,-0.058,-1.35,-0.37
Binghamton,AE,20-Nov,-11.93,97.4,109.4,66.1,-0.061,-6.88,-8.65
Samford,SC,22-Oct,-12,107.7,119.7,71.2,-0.036,-2.09,3.84
Dartmouth,Ivy,20-Jul,-12.09,98.5,110.6,66.8,-0.043,-3.61,-2.86
Cleveland St.,Horz,23-Dec,-12.14,97.9,110,67.1,0.032,-3.64,-1.36
San Jose St.,MWC,26-Apr,-12.27,95.4,107.7,67.1,-0.03,3.05,-0.88
Western Carolina,SC,13-19,-12.3,95.7,108,69.4,0.102,-0.66,5.22
Siena,MAAC,24-Aug,-12.38,96.5,108.9,65.7,-0.015,-3.01,0.49
Chattanooga,SC,23-Oct,-12.53,99.2,111.8,65.5,-0.024,-3.39,-2.1
Sacred Heart,NEC,21-Oct,-12.57,96,108.6,68.4,-0.076,-8.04,-3.94
North Carolina A&T,MEAC,20-15,-12.68,98.1,110.8,69.3,0.098,-11.8,-1.27
East Carolina,Amer,20-Oct,-12.78,96.7,109.5,68.7,0.026,-2.46,-16.35
Charlotte,CUSA,23-Jun,-12.81,99.3,112.1,71.2,-0.024,0.17,-3.21
Kennesaw St.,ASun,20-Oct,-12.82,98.9,111.8,68.5,-0.023,-4.51,2.54
Central Connecticut,NEC,14-18,-12.85,98,110.8,64.5,0.066,-7.33,-3.69
Texas A&M Corpus Chris,Slnd,18-Nov,-12.88,94.5,107.4,68.2,-0.015,-6.14,4.54
Norfolk St.,MEAC,14-19,-13.14,95.4,108.6,69,0.002,-11,0.76
St. Francis NY,NEC,13-18,-13.17,98.7,111.8,69.2,0.022,-7.33,-2.35
Stetson,ASun,20-Dec,-13.27,98.5,111.8,69.8,-0.041,-6.49,-4.23
The Citadel,SC,21-Nov,-13.33,101.6,114.9,77.2,0.062,-2.58,0.98
North Carolina Central 16,MEAC,19-16,-13.41,96.6,110,65,0.019,-12.78,-1.47
Savannah St.,MEAC,15-17,-13.55,100.9,114.5,82.3,0.108,-6.81,15.2
SIU Edwardsville,OVC,21-Sep,-13.61,99.4,113,69.2,0.069,-2.94,-1.32
Detroit,Horz,24-Aug,-14.2,102.6,116.8,72.4,-0.011,-2.07,4.64
Jacksonville,ASun,15-18,-14.27,94.2,108.4,68.6,0.06,-6.82,-3.11
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Marist,MAAC,25-Jun,-14.47,98.5,112.9,69.6,-0.048,-4.24,-3.4
Youngstown St.,Horz,24-Aug,-14.56,101.4,115.9,71.1,-0.01,-1.7,5.26
Loyola MD,Pat,22-Sep,-14.58,96.2,110.8,68.4,0.02,-5.37,-1.61
Morgan St.,MEAC,13-19,-14.82,96.3,111.1,68.9,-0.06,-11.95,0.36
Cal Poly,BW,22-Sep,-14.98,98.2,113.2,66.2,0.051,-1.41,0.51
Southern,SWAC,15-18,-15.51,94.3,109.8,68,0.051,-11.24,6.62
Northern Arizona,BSky,27-May,-16.02,93.5,109.5,68.6,-0.03,0.26,3.45
American,Pat,24-Jun,-16.14,95.6,111.8,66.5,-0.061,-6.16,-3.16
Arkansas Pine Bluff,SWAC,14-21,-16.45,93.6,110,67.5,0.044,-9.64,3.38
Cal St. Northridge,BW,24-Jun,-16.46,96.7,113.2,65.8,-0.047,-3.23,-3.5
VMI,SC,21-Sep,-17.43,89.9,107.4,68.8,0.024,-3.79,-2.5
Maine,AE,26-Jun,-17.46,90.9,108.4,71.3,-0.002,-2.82,-1.56
