Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Villanova 1,BE,36-4,33.76,127.8,94,68.7,-0.018,11.31,3.98
Virginia 1,ACC,31-3,29.53,115.2,85.6,59.4,0.048,9.24,-0.08
Duke 2,ACC,29-8,28.86,122.4,93.6,69.7,-0.034,10.6,4.09
Cincinnati 2,Amer,31-5,26.6,113.4,86.8,64.5,-0.019,3.46,-4.21
Purdue 2,B10,30-7,26.27,122.7,96.4,67.2,0.006,9.02,0.69
Michigan St. 3,B10,30-5,25.41,119.2,93.8,67,0.038,6.64,-5.03
Michigan 3,B10,33-8,24.2,114.7,90.5,64.9,0.052,10.32,-4.83
North Carolina 2,ACC,26-11,23.59,120.3,96.7,71.2,-0.011,13.26,7.58
Kansas 1,B12,31-8,23.49,120.9,97.4,68.8,0.076,12.41,3.55
Gonzaga 4,WCC,32-5,23.03,118.1,95.1,69.4,0.009,1.57,3.12
Texas Tech 3,B12,27-10,22.59,113.3,90.8,66.7,-0.007,10.31,-5.24
West Virginia 5,B12,26-11,22.44,119.4,96.9,69.2,-0.014,10.59,-4.72
Tennessee 3,SEC,26-9,22.27,114.6,92.4,66,0.019,11.01,7.1
Clemson 5,ACC,25-10,21.65,114.2,92.6,66.1,-0.009,10.22,-1.91
Xavier 1,BE,29-6,21.51,120.1,98.6,70.5,0.091,9.35,1.84
Ohio St. 5,B10,25-9,21.16,116,94.9,67,0.02,8.75,0.26
Kentucky 5,SEC,26-11,20.44,115.8,95.4,68.8,-0.008,10.91,4.67
Houston 6,Amer,27-8,20.24,114.6,94.4,68.4,-0.015,3.9,-3.08
Butler 10,BE,21-14,19.05,116.2,97.2,67.6,-0.047,11.21,0.11
Wichita St. 4,Amer,25-8,19.03,121,101.9,68.6,-0.026,5.13,1.55
Florida 6,SEC,21-13,18.96,114.5,95.5,67.1,-0.059,10.74,4.57
Auburn 4,SEC,26-8,18.69,115.4,96.7,72.6,0.034,7.52,-1.86
TCU 6,B12,21-12,18.47,119.7,101.2,68.6,-0.067,9.67,-0.82
Nevada 7,MWC,29-8,18.39,120.2,101.8,69.4,-0.026,5.13,3.61
Seton Hall 8,BE,22-12,18.04,116.9,98.8,69.5,-0.028,10.12,0
Florida St. 9,ACC,23-12,17.77,114.3,96.5,71.2,-0.029,9.27,-6.91
Arizona 4,P12,27-8,17.7,118,100.4,67.1,0.036,5.96,2.51
Texas A&M 7,SEC,22-13,16.96,111.3,94.4,69.5,0.014,11.69,5.12
Creighton 8,BE,21-12,16.91,115.5,98.6,70.8,-0.028,9.4,-4.2
Loyola Chicago 11,MVC,32-6,16.39,111.4,95,65.5,0.077,2.48,-5.47
Virginia Tech 8,ACC,21-12,16.03,115.3,99.3,68.7,-0.018,7.91,-9.76
Texas 10,B12,19-15,15.43,109.5,94.1,65.2,-0.03,11.77,2.05
Miami FL 6,ACC,22-10,15.43,112.9,97.4,67,0.017,8.08,-3.82
Maryland,B10,19-13,15.03,114.1,99.1,66.3,-0.046,8.18,-4.21
Missouri 8,SEC,20-13,14.83,111.9,97,65.7,-0.025,9.55,1.07
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Syracuse 11,ACC,23-14,14.82,107,92.2,62.9,0.021,9.81,-0.2
Kansas St. 9,B12,25-12,14.77,110.1,95.3,65.6,0.071,9.39,-6.5
Davidson 12,A10,21-12,14.7,117,102.3,64.5,-0.063,2.11,1.33
Arkansas 7,SEC,23-12,14.69,116.3,101.7,69.7,0.059,9.9,0.87
North Carolina St. 9,ACC,21-12,14.52,116.3,101.8,71.4,-0.001,7.71,-9.71
Oklahoma 10,B12,18-14,14.16,114.6,100.5,75.5,-0.008,11.68,2.13
Arizona St. 11,P12,20-12,14.13,116.7,102.6,71.3,-0.083,5.48,0.94
San Diego St. 11,MWC,22-11,14.09,110.5,96.4,68.8,-0.032,3.46,-0.8
Rhode Island 7,A10,26-8,13.93,111.1,97.2,68.4,0.063,3.49,3.83
UCLA 11,P12,21-12,13.52,115,101.4,70.3,-0.027,6.42,2.93
Alabama 9,SEC,20-16,13.41,108.7,95.2,68.7,0.017,11.17,2.54
New Mexico St. 12,WAC,28-6,12.92,107.9,95,68.5,0.027,-1.4,3.7
Murray St. 12,OVC,26-6,12.19,112.9,100.7,67.2,0,-3.56,-0.99
Providence 10,BE,21-14,12.17,108.9,96.7,67.1,0.074,10.58,-1.38
