,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Duke ,ACC,34.19,121.0,86.8,74.5,-0.027000000000000003,9.87,6.66,1,31,4,0.8857142857142857
1,Cincinnati ,CUSA,30.19,118.1,87.9,67.4,0.002,6.58,3.48,1,31,4,0.8857142857142857
2,Maryland ,ACC,29.25,119.2,89.9,73.7,0.025,9.88,1.62,1,32,4,0.8888888888888888
3,Kansas ,B12,28.99,118.7,89.7,77.3,0.022000000000000002,10.67,8.32,1,33,4,0.8918918918918919
4,Oklahoma ,B12,26.04,114.9,88.9,66.5,0.043,8.77,-0.44,2,31,5,0.8611111111111112
5,Indiana ,B10,24.8,114.0,89.2,65.6,-0.049,14.12,13.54,5,25,12,0.6756756756756757
6,Florida ,SEC,24.72,115.1,90.4,69.6,-0.073,9.11,-0.56,5,22,9,0.7096774193548387
7,Illinois ,B10,23.21,115.7,92.5,68.5,0.016,10.6,6.79,4,26,9,0.7428571428571429
8,Oregon ,P10,22.97,119.2,96.3,71.1,-0.040999999999999995,8.15,-3.3,2,26,9,0.7428571428571429
9,Kentucky ,SEC,22.21,113.4,91.2,68.0,-0.028999999999999998,12.97,6.75,4,22,10,0.6875
10,Marquette ,CUSA,21.47,113.4,91.9,64.6,0.006,5.41,-2.87,5,26,7,0.7878787878787878
11,USC ,P10,20.67,112.8,92.1,70.1,-0.051,9.31,1.9,4,22,10,0.6875
12,Arizona ,P10,20.54,119.3,98.8,71.1,0.079,14.22,17.56,3,24,10,0.7058823529411765
13,Kent St. ,MAC,20.39,116.7,96.4,64.7,0.008,3.11,2.99,10,29,6,0.8285714285714286
14,Stanford ,P10,20.32,116.6,96.3,69.5,-0.02,10.33,2.1,8,20,10,0.6666666666666666
15,Pittsburgh ,BE,19.94,112.1,92.2,63.8,0.0,3.12,-12.07,3,29,6,0.8285714285714286
16,Ohio St. ,B10,19.76,116.4,96.6,66.8,0.005,7.51,-1.26,4,24,8,0.75
17,Connecticut ,BE,19.36,112.2,92.8,68.7,0.063,8.19,1.73,2,27,7,0.7941176470588235
18,Notre Dame ,BE,19.27,116.1,96.8,68.6,-0.087,7.34,-1.55,8,21,11,0.65625
19,North Carolina St. ,ACC,19.15,113.2,94.0,67.5,0.012,8.28,-5.56,7,23,11,0.6764705882352942
20,Alabama ,SEC,18.73,114.0,95.3,68.0,0.076,8.59,-1.56,2,27,8,0.7714285714285715
21,Xavier ,A10,18.6,111.2,92.6,67.0,0.051,5.1,5.37,7,26,6,0.8125
22,Gonzaga ,WCC,18.51,115.6,97.1,68.5,0.049,1.13,4.04,6,28,4,0.875
23,Georgia ,SEC,18.44,116.7,98.3,69.2,-0.021,9.88,3.3,3,22,9,0.7096774193548387
24,Mississippi St. ,SEC,18.25,111.4,93.1,67.9,0.107,8.93,-0.96,3,27,8,0.7714285714285715
25,Texas ,B12,17.69,116.0,98.3,68.5,-0.021,10.18,5.3,6,22,12,0.6470588235294118
26,Missouri ,B12,17.49,116.2,98.7,70.1,-0.01,7.92,-0.39,12,24,12,0.6666666666666666
27,Wake Forest ,ACC,17.35,118.6,101.3,69.5,0.006,11.24,5.85,7,21,13,0.6176470588235294
28,Texas Tech ,B12,17.24,114.6,97.4,69.8,0.061,6.69,-0.13,6,23,9,0.71875
29,Michigan St. ,B10,16.86,113.0,96.2,63.3,-0.026000000000000002,9.76,1.5,10,19,12,0.6129032258064516
30,Mississippi ,SEC,16.68,113.3,96.7,64.7,-0.04,7.32,-6.24,9,19,11,0.6333333333333333
31,UCLA ,P10,16.34,113.7,97.3,68.1,0.048,12.0,8.58,8,21,12,0.6363636363636364
32,California ,P10,16.03,109.8,93.7,66.6,0.08800000000000001,7.89,-5.85,6,23,9,0.71875
33,Oklahoma St. ,B12,15.8,107.9,92.1,66.0,0.047,7.11,0.53,7,23,9,0.71875
34,Miami FL ,BE,15.77,110.5,94.7,69.1,0.017,5.75,-5.04,5,24,8,0.75
35,Charlotte ,CUSA,15.73,114.2,98.5,66.8,-0.008,9.24,6.49,9,18,12,0.6
36,Tulsa ,WAC,15.59,116.0,100.4,69.5,0.001,2.03,-1.44,12,26,7,0.7878787878787878
37,Western Kentucky ,SB,14.51,110.5,96.0,67.5,0.06,0.23,0.29,9,26,4,0.8666666666666667
38,Utah ,MWC,14.08,111.4,97.3,62.1,0.01,5.38,1.57,12,19,9,0.6785714285714286
39,Valparaiso ,MCon,13.63,111.5,97.8,68.7,-0.032,-1.66,2.06,13,24,8,0.75
40,Southern Illinois ,MVC,13.45,109.2,95.7,70.6,0.034,2.12,3.16,11,28,8,0.7777777777777778
41,Wisconsin ,B10,13.22,110.7,97.5,63.3,0.049,10.57,8.49,8,18,13,0.5806451612903226
42,Hawaii ,WAC,13.15,110.3,97.2,65.6,0.006999999999999999,-0.72,-9.7,10,26,6,0.8125
43,Penn ,Ivy,12.23,110.2,98.0,65.6,-0.019,-2.38,0.98,11,25,7,0.78125
44,Creighton ,MVC,11.82,111.3,99.5,66.9,0.028999999999999998,1.39,0.93,12,23,9,0.71875
45,Pepperdine ,WCC,11.72,111.1,99.3,72.4,0.061,3.97,11.94,10,21,9,0.7
46,UNC Wilmington ,CAA,11.32,107.4,96.1,63.9,-0.003,0.83,4.57,13,23,10,0.696969696969697
47,Wyoming ,MWC,11.01,107.8,96.7,69.0,0.032,3.51,-5.47,11,22,9,0.7096774193548387
48,Boston College ,BE,9.97,109.4,99.4,69.1,0.04,6.41,-2.78,11,20,12,0.625
49,San Diego St. ,MWC,9.29,106.9,97.6,70.0,0.055,5.64,0.67,13,21,12,0.6363636363636364
50,St. John's ,BE,9.06,102.7,93.6,69.1,0.08900000000000001,6.4,-0.79,9,20,12,0.625
51,UC Santa Barbara ,BW,8.87,108.2,99.3,63.4,-0.057999999999999996,0.45,3.37,14,19,11,0.6333333333333333
52,McNeese St. ,Slnd,5.39,103.2,97.8,66.2,0.023,-4.6,12.81,14,20,9,0.6896551724137931
53,Hampton ,MEAC,3.99,109.9,105.9,69.1,0.013000000000000001,-8.67,0.87,15,25,7,0.78125
54,Illinois Chicago ,Horz,3.85,108.9,105.0,67.5,0.04,1.84,0.67,15,18,14,0.5625
55,Davidson ,SC,3.7,101.5,97.8,65.1,0.142,1.79,9.43,13,18,10,0.6428571428571429
56,Murray St. ,OVC,1.35,106.8,105.5,69.2,0.017,-1.74,3.98,14,17,13,0.5666666666666667
57,Central Connecticut ,NEC,0.93,100.6,99.7,64.0,0.13699999999999998,-11.95,-4.98,14,27,5,0.84375
58,Holy Cross ,Pat,-0.24,98.1,98.4,62.2,-0.048,-6.4,-3.38,16,18,15,0.5454545454545454
59,Siena ,MAAC,-1.21,100.8,102.0,66.5,-0.07,-4.14,-0.42,16,17,19,0.4722222222222222
60,Florida Atlantic ,ASun,-2.5,99.6,102.1,70.2,0.06,-4.94,-4.52,15,18,12,0.6
61,Boston University ,AE,-2.74,101.3,104.0,64.5,0.102,-9.18,0.25,16,22,10,0.6875
62,Montana ,BSky,-4.51,102.4,106.9,68.5,0.053,-1.95,0.44,15,14,15,0.4827586206896552
63,Winthrop ,BSth,-5.31,97.3,102.6,65.9,0.038,-10.73,-0.98,16,17,12,0.5862068965517241
64,Alcorn St. ,SWAC,-8.71,100.1,108.8,73.0,0.09699999999999999,-14.53,2.6,16,20,10,0.6666666666666666
