,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,North Carolina ,ACC,32.77,122.5,89.7,73.1,0.011,11.64,4.26,1,33,4,0.8918918918918919
1,Illinois ,B10,32.68,122.3,89.6,64.1,-0.007,8.16,0.31,1,37,2,0.9487179487179487
2,Duke ,ACC,27.41,115.7,88.3,68.3,-0.002,10.89,1.51,1,27,6,0.8181818181818182
3,Louisville ,CUSA,25.78,118.8,93,66.3,0.045,6.42,-2.03,4,33,5,0.868421052631579
4,Michigan St. ,B10,25.67,119.7,94,66.4,-0.013,7.89,-3.18,5,26,7,0.7878787878787878
5,Oklahoma St. ,B12,25.02,121.2,96.2,66.2,-0.015,9.59,5.03,2,26,7,0.7878787878787878
6,Villanova ,BE,25.02,114.7,89.7,67,-0.054,9.16,-0.89,5,24,8,0.75
7,Wake Forest ,ACC,24.86,124.3,99.5,68.9,0.046,10.94,4.87,2,27,6,0.8181818181818182
8,Kentucky ,SEC,24.1,113,88.9,66.6,0.032,8.85,-2.71,2,28,6,0.8235294117647058
9,Florida ,SEC,23.93,116.4,92.5,65.2,-0.027,7.13,-4.3,4,24,8,0.75
10,Kansas ,B12,23.08,115.6,92.5,66.5,0.008,10.45,10.37,3,23,7,0.7666666666666667
11,Oklahoma ,B12,22.55,114.4,91.8,65.4,-0.006,7.68,0.09,3,25,8,0.7575757575757576
12,Arizona ,P10,22.22,116.7,94.5,68.6,0.027,8.12,3.33,3,30,7,0.8108108108108109
13,Washington ,P10,22.18,120.6,98.4,71.9,0.06,8.61,6.73,1,29,6,0.8285714285714286
14,Connecticut ,BE,21.94,112.1,90.2,70.6,-0.031,8.52,-1.04,2,23,8,0.7419354838709677
15,Syracuse ,BE,20.98,115.6,94.7,65.8,0.002,6.29,-4.57,4,27,7,0.7941176470588235
16,Wisconsin ,B10,20.81,112,91.2,62.8,0.042,10.24,1.27,6,25,9,0.7352941176470589
17,Alabama ,SEC,20.51,118.8,98.3,62.8,0.033,6.84,-1.28,5,24,8,0.75
18,Cincinnati ,CUSA,20.43,112.5,92,68,-0.006,5.48,0.62,7,25,8,0.7575757575757576
19,Utah ,MWC,20.33,113.1,92.7,59.1,0.032,3.6,-4.04,6,29,6,0.8285714285714286
20,Utah St. ,BW,19.62,116,96.4,61.1,-0.094,-2.48,-4.48,14,24,8,0.75
21,Georgia Tech ,ACC,19.23,109.2,90,68.6,-0.038,10.91,-4.87,5,20,12,0.625
22,North Carolina St. ,ACC,18.93,115,96.1,63.1,-0.062,10.05,-3.82,10,21,14,0.6
23,Pittsburgh ,BE,18.41,114.8,96.3,64,-0.057,5.63,-10.09,9,20,9,0.6896551724137931
24,Boston College ,BE,18.3,114.3,96,64.8,0.078,6.6,-4.21,4,25,5,0.8333333333333334
25,Gonzaga ,WCC,17.88,119.3,101.4,67.1,0.012,3.46,2.18,3,26,5,0.8387096774193549
26,Iowa ,B10,17.17,111.9,94.7,68.1,-0.034,9.51,3.4,10,21,12,0.6363636363636364
27,Texas ,B12,17.01,114.1,97.1,66.5,-0.051,6.62,-2.46,8,20,11,0.6451612903225806
28,Southern Illinois ,MVC,16.75,109.1,92.4,63.4,0.015,6.1,4.17,7,27,8,0.7714285714285715
29,New Mexico ,MWC,15.54,112.8,97.3,65.4,-0.002,-0.46,-10.69,12,26,7,0.7878787878787878
30,Texas Tech ,B12,15.47,110.3,94.8,69,0.037,8.93,-3.94,6,22,11,0.6666666666666666
31,Mississippi St. ,SEC,15.25,109.3,94,68.1,0.038,6.49,-1.84,9,23,11,0.6764705882352942
32,West Virginia ,BE,15,114.1,99.1,63.6,0.082,9.14,-7.33,7,24,11,0.6857142857142857
33,Milwaukee ,Horz,14.69,110.1,95.4,68.8,0.079,2.31,7.63,12,26,6,0.8125
34,George Washington ,A10,14.41,109.9,95.5,70.8,-0.013,0.49,0.84,12,22,8,0.7333333333333333
35,Creighton ,MVC,14.33,114.3,100,63.1,-0.033,4.44,-1.69,10,23,11,0.6764705882352942
36,Pacific ,BW,14.08,114.5,100.5,63.6,0.091,0.66,1.74,8,27,4,0.8709677419354839
37,Minnesota ,B10,14.06,104,89.9,67.3,0.016,6.18,-3.99,8,21,11,0.65625
38,LSU ,SEC,13.8,113.9,100.1,66.7,0.07,7.49,0.64,6,20,10,0.6666666666666666
39,Vermont ,AE,13.53,111.3,97.8,64.7,0.032,-1.71,5.11,13,25,7,0.78125
40,Northern Iowa ,MVC,13.36,112.2,98.9,64.5,-0.035,5.44,1.09,11,21,11,0.65625
41,Iowa St. ,B12,13.02,103.1,90.1,66.8,0.003,7.22,-3.06,9,19,12,0.6129032258064516
42,UAB ,CUSA,12.51,109.2,96.7,71,-0.001,4.75,1.33,11,22,11,0.6666666666666666
43,Charlotte ,CUSA,12.15,111.6,99.5,70.6,0.042,3.68,-1.74,7,21,8,0.7241379310344828
44,Nevada ,WAC,12.11,104,91.8,65.7,0.045,1.1,0.35,9,25,7,0.78125
45,UTEP ,WAC,11.62,112.7,101.1,65.9,0.015,-0.68,-5.3,11,27,8,0.7714285714285715
46,UCLA ,P10,10.74,107.8,97.1,69.2,0.036,6.73,-0.43,11,18,11,0.6206896551724138
47,Stanford ,P10,10.63,106.6,95.9,67.1,0.049,8.47,4.14,8,18,13,0.5806451612903226
48,Old Dominion ,CAA,10.04,104.7,94.6,66.4,0.049,-3.2,-3.98,12,28,6,0.8235294117647058
49,Louisiana Lafayette ,SB,9.91,107.1,97.2,67.6,0.037,2.67,9.12,13,20,11,0.6451612903225806
50,Penn ,Ivy,9.6,102.1,92.5,68.2,0.034,-1.72,3.31,13,20,9,0.6896551724137931
51,Saint Mary's ,WCC,9.41,106.8,97.4,64.9,0.08,3.04,-0.59,10,25,9,0.7352941176470589
52,Ohio ,MAC,8.29,109.8,101.5,65.7,0.042,2.72,-4.24,13,21,11,0.65625
53,Bucknell ,Pat,6.69,102.2,95.6,63.1,0.063,-2.34,2.28,14,23,10,0.696969696969697
54,Niagara ,MAAC,5.43,115.2,109.8,70.1,-0.027,-3.52,0.83,14,20,10,0.6666666666666666
55,Winthrop ,BSth,4.97,101.5,96.5,63.1,0.065,-7.69,2.26,14,27,6,0.8181818181818182
56,Southeastern Louisiana ,Slnd,3.2,97.1,93.9,60,0.007,-4.75,-1.78,15,24,9,0.7272727272727273
57,Eastern Kentucky ,OVC,1.98,102.8,100.8,66.1,0.099,-3.87,1.72,15,22,9,0.7096774193548387
58,Chattanooga ,SC,0.03,98.9,98.8,67.6,0.059,-3.78,5.69,15,20,11,0.6451612903225806
59,Oakland ,MCon,-1.2,108.1,109.3,65.2,-0.022,1.99,14.37,16,13,19,0.40625
60,Fairleigh Dickinson ,NEC,-2.52,102.7,105.2,68.6,-0.003,-7.88,0.75,16,20,13,0.6060606060606061
61,UCF ,ASun,-2.56,105,107.6,60.1,0.067,-8.61,-4.62,15,24,9,0.7272727272727273
62,Montana ,BSky,-2.73,99.9,102.6,68.2,0.049,-4.35,4.56,16,18,13,0.5806451612903226
63,Delaware St. ,MEAC,-4.95,102.3,107.2,59.3,0.077,-7.47,9.89,16,19,14,0.5757575757575758
64,Alabama A&M ,SWAC,-12.49,90.5,102.9,72.8,-0.023,-14.52,1.14,16,15,14,0.5172413793103449
