Season,TeamName,eFG_Pct,RankeFGPct,TO_Pct,RankTOPct,OR_Pct,RankORPct,FT_Rate,RankFTRate
2018,Grand Canyon,44.26318651,3,21.46893259,25,28.2803586,158,39.15171289,293
2018,Green Bay,50.92153765,178,17.78456426,218,30.94405594,274,31.38493944,127
2018,Hampton,48.85912698,68,16.89187419,266,29.70219436,225,35.66468254,231
2018,Hartford,51.13259669,190,18.08514319,196,28.5198556,165,33.42541436,180
2018,Harvard,49.03846154,75,18.40297022,173,23.08429119,15,35.15625,223
2018,Hawaii,49.9004645,125,19.85571173,84,24.52830189,27,38.68613139,287
2018,High Point,50.1059322,137,20.40915903,55,28.92655367,191,40.04237288,302
2018,Hofstra,54.23489554,305,16.33629083,295,27.47035573,113,32.46753247,159
2018,Holy Cross,50.99818512,183,20.0434526,76,31.97674419,308,33.93829401,197
2018,Houston,45.54848967,6,19.10125861,123,25.76590731,54,41.60042395,322
2018,Houston Baptist,56.11826698,336,18.78976005,148,31.22362869,287,38.64168618,286
2018,Howard,53.44462109,285,18.86918108,142,35.27336861,346,38.31478537,279
2018,IUPUI,54.60614152,314,21.1529945,32,29.2882147,206,37.78371162,269
2018,Idaho,50.15114873,140,16.1116123,304,24.10358566,22,30.22974607,99
2018,Idaho St.,52.53623188,259,16.74119211,273,28.05005214,147,31.03864734,118
2018,Illinois,53.26555761,282,23.22638952,4,31.27705628,288,47.93592113,350
2018,Illinois Chicago,46.70560748,15,17.24575702,248,30.36109064,248,34.1588785,204
2018,Illinois St.,48.96716102,70,18.11879715,194,31.47377186,295,38.34745763,281
2018,Incarnate Word,52.52865813,258,17.67150252,223,35.34777651,347,33.78287256,193
2018,Indiana,50.82762557,173,19.68466767,92,29.40074906,210,32.19178082,148
2018,Indiana St.,51.41154329,205,19.76475643,89,23.54740061,19,42.09535759,327
2018,Iona,52.45004757,250,18.74633861,151,30.81914031,270,28.63939106,60
2018,Iowa,53.12954876,275,15.46593786,326,28.04979253,146,28.09315866,48
2018,Iowa St.,50.95557851,179,16.41662356,290,30.64236111,262,26.49793388,29
2018,Jackson St.,51.79163902,224,21.44270461,26,31.68103448,297,46.64897147,347
2018,Jacksonville,51.88365651,226,17.82864169,215,29.70106075,224,28.42105263,52
2018,Jacksonville St.,48.40370752,52,19.29655847,116,26.17124394,63,32.38928939,155
2018,James Madison,52.81124498,269,18.50525718,166,28.16365366,151,41.99655766,326
2018,Kansas,49.13187267,79,18.24596545,183,31.16883117,283,24.59694088,11
2018,Kansas St.,49.14098029,80,21.59774703,23,31.88879804,301,36.78625568,250
2018,Kennesaw St.,54.16417016,302,18.78344709,150,33.54908306,331,32.83403235,167
2018,Kent St.,51.1311054,189,18.00739589,203,30.51438535,253,33.36760925,178
2018,Kentucky,46.76628011,17,16.84657925,270,30.97902098,277,32.33719893,151
2018,LIU Brooklyn,50.02343018,129,16.54723193,282,29.76281561,227,31.81818182,139
2018,LSU,52.73152966,265,19.57521777,98,31.61120841,296,32.67429761,163
2018,La Salle,51.64155005,219,17.49842977,233,25.33692722,43,33.7459634,192
2018,Lafayette,51.96721311,232,14.69220081,339,27.19703978,103,25.95628415,22
2018,Lamar,51.709943,220,21.85978578,16,27.7892562,134,38.31538949,280
2018,Lehigh,52.31714126,243,16.00085465,309,26.86145146,90,30.65326633,110
2018,Liberty,51.41210375,206,18.10889162,195,20.54794521,2,34.46685879,211
2018,Lipscomb,51.99667221,233,19.91978538,81,24.26199262,23,38.4359401,283
2018,Little Rock,50.79365079,171,19.89976051,82,31.21387283,285,40.5982906,307
2018,Long Beach St.,53.69884575,290,18.69614337,156,30.3538175,247,28.54144806,58
2018,Longwood,52.32224771,244,17.62697987,224,30.61420345,257,34.17431193,205
2018,Louisiana Lafayette,49.11385607,77,19.64742586,94,27.85467128,136,36.09022556,237
2018,Louisiana Monroe,51.40243902,204,18.56799444,164,28.68686869,176,30.73170732,112
2018,Louisiana Tech,50.64752252,164,18.24460195,184,29.02325581,198,32.09459459,146
2018,Louisville,46.98822464,19,18.94179426,137,31.37535817,291,29.25724638,69
2018,Loyola Chicago,47.39151633,31,19.43456532,108,25.87959343,58,25.20721599,15
2018,Loyola MD,54.42424242,309,18.67409207,159,26.38164755,69,40.36363636,306
2018,Loyola Marymount,57.43670886,346,19.78985525,88,31.30733945,289,42.72151899,331
2018,Maine,51.37254902,201,18.15504547,189,30.77625571,269,36.69467787,249
2018,Manhattan,50.0892326,136,21.58907847,24,32.09169054,309,40.98750744,313
2018,Marist,52.6062753,262,14.79186447,336,29.76501305,228,29.80769231,87
2018,Marquette,53.83084577,292,18.08154778,197,29.57746479,217,38.90547264,289
2018,Marshall,49.84952709,118,18.39432127,174,32.38636364,312,28.84780739,63
2018,Maryland,47.53387534,33,16.31343022,296,28.1938326,155,24.01084011,7
2018,Maryland Eastern Shore,54.67422096,316,16.01113818,307,34.73994112,342,31.898017,141
2018,Massachusetts,51.50492994,208,16.50355652,285,29.68609865,223,33.21224702,173
2018,McNeese St.,49.75278121,115,15.17186008,329,33.29959514,328,31.52039555,130
2018,Memphis,50.82219938,172,18.91294355,138,33.67346939,333,32.37410072,154
2018,Mercer,53.06590258,274,16.46616275,286,24.85714286,32,33.58166189,187
2018,Miami FL,48.9679522,71,18.82826067,145,28.18428184,154,28.08256382,47
2018,Miami OH,51.39111825,203,18.12445459,192,25.81521739,56,28.46441948,55
2018,Michigan,47.71256932,38,19.50078739,103,24.88653555,34,29.89833641,90
2018,Michigan St.,42.69449715,1,14.60121224,341,26.5625,76,30.69259962,111
2018,Middle Tennessee,49.22248804,88,19.0669348,126,22.3495702,6,40.78947368,310
2018,Milwaukee,50.05701254,133,18.01257325,202,23.82297552,20,27.36602052,42
2018,Minnesota,50.5,155,16.00650814,308,29.46058091,213,27.1,37
2018,Mississippi,51.52612519,211,17.27476448,246,30.65198984,264,36.88566994,254
2018,Mississippi St.,48.25275251,45,19.51209639,101,30.69230769,266,29.72714217,84
2018,Mississippi Valley St.,54.85729967,319,19.63136176,96,31.14901257,282,39.24259056,294
2018,Missouri,46.72650475,16,16.03206413,306,27.85654712,137,30.3062302,102
2018,Missouri St.,47.54768392,34,14.79849423,335,25.82897033,57,30.40871935,104
2018,Monmouth,51.35734072,199,18.30462236,180,26.85265911,88,41.55124654,320
2018,Montana,48.38430467,51,21.19743423,30,26.13430127,62,41.43104443,318
2018,Montana St.,54.86348123,320,18.42861503,170,27.78325123,133,36.34812287,241
2018,Morehead St.,55.2124834,325,19.92841504,80,29.97762864,237,40.90305445,312
2018,Morgan St.,51.91176471,228,20.51008393,51,30.651341,263,41.70588235,323
2018,Mount St. Mary's,51.71919771,222,20.22012248,69,35.38767396,348,27.33524355,41
2018,Murray St.,47.15116279,27,18.04433434,200,27.60849492,123,30.46511628,106
2018,NJIT,53.0350438,273,20.26220194,67,28.55603448,169,33.66708385,191
2018,Navy,53.20150659,280,21.26390019,29,22.23393045,5,33.96107972,198
2018,Nebraska,47.01234568,22,18.3340991,177,33.99209486,337,26.51851852,30
2018,Nebraska Omaha,55.76508621,332,15.72932454,315,30.66132265,265,28.17887931,50
2018,Nevada,49.44395018,99,17.95701114,205,29.26652142,204,30.11565836,97
2018,New Hampshire,50.74097938,168,13.73601264,349,21.39201638,3,41.43041237,317
2018,New Mexico,54.77088949,318,21.96251012,15,30.98188751,278,40,300
2018,New Mexico St.,46.01490826,9,18.99647553,130,22.52650177,8,33.02752294,171
2018,New Orleans,53.19949812,279,22.30383484,9,30.89005236,273,38.2685069,278
2018,Niagara,52.56818182,260,15.54326107,321,30.95422808,275,29.36363636,72
2018,Nicholls St.,50.15216068,141,21.11413507,34,30.62015504,259,45.2221546,342
2018,Norfolk St.,50.0293772,130,20.2008502,70,29.82616651,230,43.12573443,334
2018,North Carolina,50.08707009,135,16.26550717,301,25.47501759,48,25.99042229,23
2018,North Carolina A&T,51.52671756,212,18.05125573,199,28.89830508,189,31.45038168,128
2018,North Carolina Central,48.51270957,57,16.71747355,274,29.9137931,231,34.34288805,207
2018,North Carolina St.,51.61372951,216,20.40217847,57,31.95785777,307,33.65778689,189
2018,North Dakota,56.34700665,337,19.73401495,90,29.57746479,217,34.03547672,201
2018,North Dakota St.,49.58579882,106,14.47190729,345,25.22080471,42,33.49112426,184
2018,North Florida,53.86235955,294,13.61638373,350,35.11647972,345,23.50187266,4
2018,North Texas,48.61246349,60,17.331434,244,25.65084227,51,38.75365141,288
2018,Northeastern,49.38922821,94,17.93721973,206,25.63380282,50,32.98167685,169
2018,Northern Arizona,55.28621495,328,18.9858546,131,29.53629032,216,37.03271028,260
2018,Northern Colorado,48.83222116,67,17.36385162,240,24.43403591,25,36.79694948,252
2018,Northern Illinois,54.37788018,306,17.35954142,242,28.87804878,188,33.46774194,182
2018,Northern Iowa,49.81378026,116,16.95036802,261,22.05284553,4,25.57417753,17
2018,Northern Kentucky,47.05542725,23,19.23910526,119,26.78244973,85,31.7551963,136
2018,Northwestern,50.95619988,180,18.96468074,134,27.71573604,129,37.01418877,259
2018,Northwestern St.,54.06896552,299,19.14614375,122,34.47867299,339,40.13793103,303
2018,Notre Dame,49.26470588,89,16.36904762,293,28.78431373,179,22.58064516,2
2018,Oakland,50.7740687,170,16.8707823,268,28.48979592,164,27.81809386,45
2018,Ohio,49.86673774,121,18.06770952,198,26.52519894,75,30.06396588,95
2018,Ohio St.,48.71399177,63,17.91588535,209,25.16447368,41,29.52674897,77
2018,Oklahoma,51.010565,184,16.76623724,272,29.96108949,235,25.6775379,21
2018,Oklahoma St.,50.04775549,131,20.28638457,65,31.08003108,279,35.57784145,230
2018,Old Dominion,47.6945245,36,21.61507465,19,26.19047619,65,30.25936599,101
2018,Oral Roberts,54.22116528,304,15.277553,327,30.85774059,271,31.15338882,121
2018,Oregon,50.34431874,147,18.96900319,132,26.77100494,84,36.30103296,240
2018,Oregon St.,49.57651045,105,18.62429032,161,28.73980054,178,38.2269904,277
2018,Pacific,53.03476724,272,18.30093541,181,27.25450902,105,35.17972893,225
2018,Penn,47,21,16.91423851,263,22.64631043,12,31.78947368,138
2018,Penn St.,48.28139322,46,19.51420878,100,28.16691505,152,32.08065995,145
2018,Pepperdine,56.98863636,345,15.50939101,323,26.39029323,70,33.52272727,185
2018,Pittsburgh,50.07919747,134,15.53040584,322,33.91304348,336,31.25659979,124
2018,Portland,52.41982507,248,15.84558128,312,31.39190523,292,33.46938776,183
2018,Portland St.,54.99163413,323,22.00965039,14,30.53949904,254,43.27941997,336
2018,Prairie View A&M,52.71232877,264,22.50977781,7,32.79857398,321,47.89041096,349
2018,Presbyterian,55.25487728,326,17.82771436,216,30.06681514,241,29.20075519,66
2018,Princeton,52.1835443,239,16.60022649,280,24.86308872,33,32.46835443,160
2018,Providence,50.29211295,144,18.9629989,135,29.021827,197,31.84031159,140
2018,Purdue,46.9959035,20,17.70980874,222,28.02359882,145,24.1693218,8
2018,Quinnipiac,53.62244898,288,16.34596052,294,28.52112676,166,30.05102041,94
2018,Radford,50.05583473,132,20.24475684,68,27.96688132,141,31.71412619,134
2018,Rhode Island,50.33482143,146,22.62056741,6,27.99263352,143,40.625,308
2018,Rice,52.49716232,256,16.40662897,292,28.53053435,167,28.54710556,59
2018,Richmond,55.40166205,331,19.05300673,127,28.40119166,161,31.35734072,125
2018,Rider,52.75735294,267,20.5208252,50,28.58369099,172,36.81722689,253
2018,Robert Morris,50.48439182,153,22.34958548,8,31.20629371,284,36.1679225,238
2018,Rutgers,48.04347826,42,20.47819972,52,29.0627687,200,30.81521739,115
2018,SIU Edwardsville,54.11658654,301,17.47407302,234,29.43548387,212,45.91346154,344
2018,SMU,49.54622802,102,21.67868752,18,31.74311927,299,30.57288712,108
2018,Sacramento St.,52.73529412,266,17.54126632,230,29.5887663,219,33.41176471,179
2018,Sacred Heart,50.82809823,174,14.60387003,340,22.55083179,9,32.95259852,168
2018,Saint Joseph's,49.67171717,110,16.28228431,299,24.44076222,26,24.5959596,10
2018,Saint Louis,49.32233353,92,18.32281335,179,26.98863636,94,35.12080141,220
2018,Saint Mary's,49.17458729,82,14.91190629,333,22.43861135,7,24.76238119,12
2018,Saint Peter's,48.43279084,54,21.32494114,28,28.86597938,186,42.2543701,329
2018,Sam Houston St.,51.77447052,223,20.05787675,75,27.38970588,110,37.60732685,267
2018,Samford,57.74456522,348,18.72694158,154,34.80441324,343,28.5326087,57
2018,San Diego,46.30459127,11,17.84825627,213,26.43171806,72,41.88129899,325
2018,San Diego St.,48.59002169,59,18.96260769,136,25.11013216,39,29.55531453,78
2018,San Francisco,48.96931927,72,16.88882822,267,25.47021944,47,36.91275168,255
2018,San Jose St.,53.22862129,281,14.91585057,332,24.92581602,36,30.831879,116
2018,Santa Clara,56.57894737,339,18.90411868,139,27.08333333,98,32.43421053,157
2018,Savannah St.,56.61764706,341,20.8541101,42,35.80786026,349,30.83491461,117
2018,Seattle,47.20531267,28,15.46935965,325,27.97927461,142,41.00719424,314
2018,Seton Hall,50.26737968,143,17.72404363,221,28.39805825,160,29.8006806,86
2018,Siena,50.90114691,176,15.63719901,319,28.96860987,193,42.10813763,328
2018,South Alabama,47.33861835,30,18.40702176,172,29.49956102,214,37.99546999,272
2018,South Carolina,49.27028605,91,21.04101773,36,27.52808989,119,43.08231173,333
2018,South Carolina St.,56.54664484,338,18.96670051,133,33.20197044,326,33.66066558,190
2018,South Dakota,48.404543,53,19.86385448,83,27.07231041,96,29.69172526,82
2018,South Dakota St.,50,127,14.21939601,348,23.28308208,17,25.57905337,18
2018,South Florida,51.12885463,188,16.45581661,287,30.64220183,261,32.59911894,161
2018,Southeast Missouri St.,55.18058022,324,17.18140744,251,29.33884298,208,34.45825933,210
2018,Southeastern Louisiana,49.55481358,103,20.26674261,66,33.61111111,332,28.99276572,64
2018,Southern,48.75621891,64,17.3973395,238,30.14899211,243,37.58982863,266
2018,Southern Illinois,50.53733032,158,19.93955965,79,29.02033272,196,34.10633484,203
2018,Southern Miss,56.03184323,334,19.81587132,87,29.06350915,201,32.82302511,166
2018,Southern Utah,54.61538462,315,16.56474432,281,25.88235294,59,41.53846154,319
2018,St. Bonaventure,49.03495044,74,20.40464331,56,29.12223134,203,38.44548774,284
2018,St. Francis NY,53.1661442,276,20.90832643,39,31.86582809,300,45.07836991,341
2018,St. Francis PA,53.55160932,287,18.58338022,162,31.08504399,280,23.36293008,3
2018,St. John's,50.29443255,145,22.18517499,10,31.92407248,303,34.42184154,209
2018,Stanford,49.65940054,109,15.92129768,311,26.95195195,91,29.24613987,68
2018,Stephen F. Austin,49.62097284,108,25.94676249,1,28.70905588,177,50.22109918,351
2018,Stetson,54.56760049,313,18.49366872,167,27.49213012,115,36.96711328,257
