Season,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
2003,Marshall,49.1049,152,19.6455,267,34.1855,186,37.2222,175
2003,Maryland,43.3476,4,23.8741,48,33.4271,152,34.7103,119
2003,"Maryland Eastern Shore",52.4255,278,23.3964,69,38.7921,317,47.1934,311
2003,Massachusetts,46.885,57,20.2592,234,38.5766,311,38.4072,204
2003,"McNeese St.",48.1271,106,21.9785,131,34.4917,201,44.4816,296
2003,Memphis,45.7135,26,21.0164,193,31.8541,74,35.8458,138
2003,Mercer,47.912,98,18.8216,291,33.4098,147,25.167,4
2003,"Miami FL",49.606,173,24.8138,17,32.9275,123,39.199,219
2003,"Miami OH",48.56,127,21.457,168,31.8095,71,41.84,266
2003,Michigan,48.2906,114,20.175,241,31.5,61,36.2637,150
2003,"Michigan St.",45.8428,33,21.3928,174,27.4968,2,41.1765,251
2003,"Middle Tennessee St.",48.0469,101,19.8336,258,31.25,53,40.9505,247
2003,Milwaukee,49.2595,158,24.3456,31,33.0679,128,42.5355,276
2003,Minnesota,46.785,53,20.754,209,34.1552,183,38.5288,208
2003,Mississippi,50.1038,197,22.1361,126,31.8638,76,41.8685,267
2003,"Mississippi St.",45.8134,31,23.7685,52,29.986,29,28.4689,20
2003,"Mississippi Valley St.",52.1184,270,23.2346,78,37.1774,285,37.727,188
2003,Missouri,45.8165,32,19.131,286,33.1218,132,30.9476,56
2003,Monmouth,48.5802,130,22.2208,120,32.6065,106,28.8272,23
2003,Montana,49.5501,167,19.2775,282,34.348,196,43.6375,289
2003,"Montana St.",51.3011,247,21.3752,175,33.3123,142,27.8067,12
2003,"Morehead St.",53.6866,301,22.5305,107,35.2571,236,30.2173,43
2003,"Morgan St.",53.5211,297,21.9658,133,37.8151,300,41.2125,253
2003,"Morris Brown",51.0475,229,19.6469,266,38.6675,314,35.405,132
2003,"Mount St. Mary's",51.2554,245,24.4673,27,37.779,299,47.4892,313
2003,"Murray St.",50.1003,196,19.1065,288,29.3548,19,36.3211,152
2003,Navy,51.4427,250,23.1664,81,31.8929,78,40.6226,240
2003,Nebraska,45.9663,37,19.2984,281,33.0365,126,33.4881,95
2003,Nevada,48.9253,142,20.2284,236,30.8173,46,41.629,262
2003,"New Hampshire",53.9216,307,20.2087,239,33.595,158,36.0294,146
2003,"New Mexico",54.6253,319,19.1239,287,31.8589,75,35.314,129
2003,"New Mexico St.",47.6514,86,22.4283,112,34.9428,221,30.2843,44
2003,"New Orleans",50.0956,195,20.0744,245,32.792,117,29.8916,35
2003,Niagara,50.7323,221,19.7042,262,35.7597,259,34.2706,109
2003,"Nicholls St.",52.6792,284,20.6457,211,39.0681,319,41.7813,265
2003,"Norfolk St.",47.1135,64,24.8138,18,35.3938,240,38.1013,195
2003,"North Carolina",49.0965,151,23.1882,80,37.1485,284,29.3866,28
2003,"North Carolina A&T",55.7805,322,20.8514,204,39.9662,324,37.0999,171
2003,"North Carolina St.",49.427,161,21.6596,150,33.1017,129,39.7467,227
2003,"North Texas",49.4839,162,18.6705,295,37.5506,294,48.3871,316
2003,Northeastern,50.9579,224,24.9443,14,35.4871,247,46.2324,305
2003,"Northern Arizona",49.8007,186,21.0717,192,31.3546,56,36.6113,158
2003,"Northern Illinois",50.3319,206,21.3078,177,32.4675,101,42.5468,277
2003,"Northern Iowa",50.4614,211,17.8926,312,32.2401,91,29.5979,32
2003,Northwestern,50.5607,216,21.5505,162,38.6096,313,37.3351,178
2003,"Northwestern St.",48.3937,119,25.3848,7,36.1256,270,48.8038,320
2003,"Notre Dame",45.9783,38,17.6222,319,33.1126,130,25.5761,6
2003,Oakland,52.9568,292,21.5462,163,30.5556,38,34.0199,101
2003,Ohio,51.9045,262,18.0615,310,33.6962,163,34.7356,121
2003,"Ohio St.",48.1657,108,20.4864,218,30.2103,33,35.9763,143
2003,Oklahoma,45.3786,16,21.5133,164,29.5738,23,34.2428,108
2003,"Oklahoma St.",44.1176,8,24.5536,24,36.0571,267,36.9249,164
2003,"Old Dominion",48.2155,112,23.4224,68,28.9445,13,36.669,159
2003,"Oral Roberts",46.5291,44,18.6847,293,33.3497,144,37.4609,182
2003,Oregon,46.981,59,22.2017,121,35.4994,249,38.5229,207
2003,"Oregon St.",48.8293,136,19.6285,268,32.4962,102,26.3709,9
2003,Pacific,47.178,68,21.0719,190,33.454,154,39.3094,222
2003,Penn,46.875,56,22.1845,122,28.31,9,34.1667,106
2003,"Penn St.",52.8108,288,20.3196,228,33.2564,141,41.336,256
2003,Pepperdine,54.6567,320,22.0989,127,34.4058,198,31.4627,60
2003,Pittsburgh,44,6,23.612,61,28.5338,11,34.4,112
2003,Portland,52.7579,287,24.8333,15,35.9461,262,51.2178,322
2003,"Portland St.",49.0196,145,22.9255,91,27.7667,4,42.1176,270
2003,"Prairie View A&M",47.7119,89,19.7799,259,33.6395,160,33.3898,93
2003,Princeton,51.5536,255,21.8446,139,30.7588,45,39.9019,232
2003,Providence,46.79,55,22.4444,109,36.2719,274,34.7116,120
2003,Purdue,46.0255,41,23.2364,77,31.9315,79,37.0752,169
2003,Quinnipiac,49.6599,179,22.6315,99,34.7848,214,40.8163,245
2003,Radford,50.4404,210,21.2149,183,35.2192,234,40.2819,237
2003,"Rhode Island",48.8558,137,23.0594,85,34.9475,222,37.357,179
2003,Rice,48.5488,126,22.8059,94,34.1299,181,39.248,220
2003,Richmond,46.6296,49,23.3726,70,34.2333,189,35.8639,140
2003,Rider,48.3912,118,21.586,159,35.6234,253,35.9717,142
2003,"Robert Morris",53.9386,308,19.077,290,35.9665,263,30.5073,46
2003,Rutgers,48.5638,128,24.8188,16,35.931,261,44.8898,297
2003,"Sacramento St.",51.1704,235,23.4607,67,35.4839,246,43.8232,290
2003,"Sacred Heart",54.0506,310,24.036,42,38.0952,305,40.5063,238
2003,"Saint Joseph's",42.2209,1,23.0064,88,35.427,243,37.4008,181
2003,"Saint Louis",46.7413,51,19.8921,256,32.7234,114,36.9322,165
2003,"Saint Mary's",46.5677,45,22.1595,124,30.973,47,45.8086,302
2003,"Saint Peter's",52.7393,286,22.9762,90,37.2319,286,43.8892,291
2003,"Sam Houston St.",44.2189,9,21.1244,187,33.7188,164,36.8389,163
2003,Samford,49.2019,154,16.9371,323,30.7303,44,34.2817,110
2003,"San Diego",48.9714,144,20.7597,208,30.1025,32,30.6857,51
2003,"San Diego St.",51.1848,236,20.5139,217,30.0332,31,41.4353,258
2003,"San Francisco",51.4459,251,20.2661,233,33.8145,166,39.072,215
2003,"San Jose St.",56.3118,325,25.0562,12,35.4515,244,45.6274,301
2003,"Santa Clara",49.7941,185,18.2736,302,29.0235,16,38.2979,198
