Season,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
2003,"Air Force",58.4692,1,20.5325,123,17.1119,327,43.3877,41
2003,Akron,53.4814,23,17.8017,12,30.5312,266,46.2865,17
2003,Alabama,47.5802,239,19.7695,74,37.5723,52,36.4186,160
2003,"Alabama A&M",45.2659,298,24.2083,280,33.35,174,35.8625,175
2003,"Alabama St.",47.9625,223,25.0257,301,35.3774,101,29.8189,296
2003,Albany,48.7259,190,18.2742,21,23.5324,325,23.555,325
2003,"Alcorn St.",46.8798,258,24.8799,299,35.2503,103,35.6369,181
2003,American,51.4633,84,20.3808,109,29.9595,279,30.8842,287
2003,"Appalachian St.",49.9404,144,20.2134,96,33.0769,188,40.6082,81
2003,Arizona,51.4922,82,19.0144,37,39.2726,18,36.8072,150
2003,"Arizona St.",51.2662,90,19.5408,61,38.6157,26,45.3573,26
2003,Arkansas,44.7301,306,24.7211,292,38.6183,25,35.2185,195
2003,"Arkansas Little Rock",51.2081,91,22.9422,240,31.759,229,42.1477,55
2003,"Arkansas Pine Bluff",39.8355,327,26.6014,320,26.3401,319,32.4342,269
2003,"Arkansas St.",50.5626,119,19.8893,77,32.4719,214,39.1702,105
2003,Army,47.395,247,27.5125,323,26.4429,317,26.6387,323
2003,Auburn,51.8437,69,23.3848,254,36.8692,67,35.333,188
2003,"Austin Peay",50.8219,110,22.4295,219,31.4564,239,45.8904,21
2003,"Ball St.",47.3264,249,18.1665,18,34.9398,111,36.6042,156
2003,Baylor,48.5222,199,19.5551,63,32.4786,213,30.234,294
2003,Belmont,54.0444,18,24.1539,278,32.8013,198,34.5727,206
2003,"Bethune Cookman",46.4222,270,23.0627,245,34.4633,135,33.0352,246
2003,Binghamton,48.737,189,22.0666,201,32.6009,206,27.9793,313
2003,"Birmingham Southern",52.0093,60,23.9018,271,33.8262,158,44.6677,31
2003,"Boise St.",45.6771,288,20.7069,129,30.9381,253,37.1901,143
2003,"Boston College",52.0011,61,18.7569,32,38.4721,32,42.1309,57
