Season,TeamName,eFG_Pct,RankeFGPct,TO_Pct,RankTOPct,OR_Pct,RankORPct,FT_Rate,RankFTRate
2018,Abilene Christian,50.40372671,193,20.30444128,288,27.29145211,221,31.49068323,233
2018,Air Force,47.63368162,310,18.84462101,214,27.40384615,220,31.9606638,220
2018,Akron,51.49717514,147,19.85134574,275,27.44916821,217,31.41242938,235
2018,Alabama,51.87341772,129,20.31854166,289,29.3398533,154,41.92405063,13
2018,Alabama A&M,45.04716981,339,24.2341376,350,29.96422182,133,31.42688679,234
2018,Alabama St.,46.54515778,328,19.91149182,276,31.9286872,72,35.20130577,120
2018,Albany,50.48185941,186,17.5154734,120,34.58213256,19,36.96145125,77
2018,Alcorn St.,48.36747759,283,20.85876241,317,27.07692308,226,33.73879641,165
2018,American,50.61919505,183,20.39518762,292,23.84236453,309,30.40247678,266
2018,Appalachian St.,49.86420424,207,18.72060943,198,29.33220626,156,36.82781097,78
2018,Arizona,56.29056415,16,17.51785888,121,33.27049953,44,36.99450824,75
2018,Arizona St.,53.75,66,14.72742984,10,27.92553191,203,41.30208333,19
2018,Arkansas,53.77536574,64,15.11912261,15,28.84141331,172,37.42331288,69
2018,Arkansas Pine Bluff,49.57058508,221,20.60947227,302,23.36683417,316,36.55394525,83
2018,Arkansas St.,49.32697701,234,18.64428724,187,30.27027027,123,33.20246775,180
2018,Army,52.28297632,112,18.75247929,202,27.05223881,231,24.46448703,344
2018,Auburn,50.80875357,174,16.42982012,42,32.0977918,63,39.77164605,36
2018,Austin Peay,49.94655265,204,19.84022572,272,34.767642,15,35.91662213,98
2018,BYU,54.14698163,49,16.78397401,66,22.49070632,329,37.58530184,66
2018,Ball St.,51.38136511,154,18.36578141,170,28.04659498,199,33.20693391,179
2018,Baylor,51.7811048,136,19.75568799,269,35.53113553,9,32.2147651,212
2018,Belmont,58.82352941,3,18.13737959,155,25.1953125,286,27.90070157,318
2018,Bethune Cookman,49.47117927,229,20.34209767,290,32.93918919,49,41.24801692,20
2018,Binghamton,49.66381418,219,18.34204324,168,25.85365854,264,29.95110024,277
2018,Boise St.,53.75,66,18.88248582,216,29.35606061,153,30.97826087,250
2018,Boston College,52.11401425,120,17.76766064,134,29.42583732,143,30.6888361,257
2018,Boston University,52.76608539,93,20.08465634,286,28.32832833,190,32.83223091,194
2018,Bowling Green,47.29508197,318,17.5916806,125,29.70890411,138,36.55737705,82
2018,Bradley,48.9237929,259,20.01656217,280,31.30193906,88,37.75450844,61
2018,Brown,48.45460399,282,18.44314341,173,29.39362795,149,40.3734707,32
2018,Bryant,47.87347156,300,18.16719711,158,26.15255658,254,27.75119617,320
2018,Bucknell,53.90243902,57,17.00471813,76,27.03826955,234,42.53658537,11
2018,Buffalo,54.80599647,29,16.47267753,44,31.93597561,71,29.85008818,280
2018,Butler,53.99071926,54,15.73369415,28,27.59795571,214,26.07888631,335
2018,Cal Poly,46.57615112,327,17.38376803,106,24.67043315,295,26.6824085,332
2018,Cal St. Bakersfield,46.5296496,329,20.65461355,305,30.68062827,112,34.77088949,133
2018,Cal St. Fullerton,51.64870006,141,20.70280577,307,26.00422833,258,45.59289791,2
2018,Cal St. Northridge,47.73741236,308,18.27524102,167,23.26783868,317,28.29827916,310
2018,California,44.50851181,343,20.84176562,314,34.83050847,13,38.11092806,56
2018,Campbell,54.5589106,36,17.20612087,93,20.77393075,340,34.04381291,156
2018,Canisius,54.22245108,46,18.66100789,189,29.94652406,134,29.91761071,278
2018,Central Arkansas,51.69531996,138,18.34978302,169,27.18676123,224,36.05539637,96
2018,Central Connecticut,50.97701149,167,21.8435393,337,31.13482056,94,32.64367816,199
2018,Central Michigan,50.99388379,166,17.05302425,80,31.0960068,95,33.74108053,164
2018,Charleston Southern,48.96421846,257,19.48355417,256,30.23255814,126,31.26177024,240
2018,Charlotte,48.34077856,285,20.60005076,301,26.23115578,251,38.86407147,45
2018,Chattanooga,50.11883541,201,20.57850559,300,26.68539326,242,34.58110517,136
2018,Chicago St.,44.60390356,342,20.91174284,322,25.51293488,273,31.63030999,231
2018,Cincinnati,51.19047619,159,17.02619617,79,38.50482315,2,36,97
2018,Clemson,52.91730086,88,17.40336717,109,27.2410792,223,33.48554033,169
2018,Cleveland St.,50.63291139,182,18.86572479,215,22.06008584,333,29.43037975,286
2018,Coastal Carolina,48.98148148,256,22.0426797,342,34.15597236,26,38.7654321,46
2018,Colgate,51.44887917,150,16.37666325,41,25.70135747,266,28.97758338,298
2018,College of Charleston,52.734375,94,15.14353361,16,25.45629203,276,36.55133929,84
2018,Colorado,50.59815117,185,20.04010242,281,29.37443336,152,33.27895595,177
2018,Colorado St.,47.48259239,314,18.76224991,204,30.63829787,113,33.79753615,159
2018,Columbia,52.39576851,109,17.78960168,135,27.04402516,233,24.45550716,346
2018,Connecticut,47.46179039,315,18.46738993,176,29.42206655,144,32.36899563,207
2018,Coppin St.,43.28399123,348,20.48894063,296,22.28571429,331,27.24780702,328
2018,Cornell,52.50965251,106,18.46378726,175,24.43243243,300,35.13513514,124
2018,Creighton,57.4102175,9,15.55897758,22,22.51407129,327,26.45422357,333
2018,Dartmouth,51.35811294,155,20.00593396,279,23.96694215,306,32.80914939,195
2018,Davidson,57.39060832,10,14.467875,7,22.6284585,324,24.59978655,343
2018,Dayton,55.53560742,21,20.19483752,287,25.45068929,277,31.77737882,226
2018,DePaul,47.85788924,302,19.39339272,250,32.93207223,50,29.36259143,288
2018,Delaware,50.256996,197,15.77795416,29,26.03878116,256,34.38035408,146
2018,Delaware St.,47.2826087,319,22.71654002,345,29.23523717,159,28.50241546,305
2018,Denver,52.40076825,108,21.76261769,336,30.69414317,111,32.8425096,193
2018,Detroit,49.09090909,248,18.21593003,162,27.04845815,232,31.12299465,243
2018,Drake,50.3914405,194,17.19130146,88,23.55478861,313,32.25469729,209
2018,Drexel,49.53488372,225,17.3188789,100,30.74295474,106,31.78294574,225
2018,Duke,55.9222028,19,17.50189049,119,38.78029711,1,34.57167832,137
2018,Duquesne,49.70651014,217,17.5918058,126,33.02047782,47,35.37886873,114
2018,East Carolina,48.28786999,287,20.614119,303,27.80952381,207,28.67092281,303
2018,East Tennessee St.,53.80794702,63,19.7301741,268,30.70259865,110,33.11258278,184
2018,Eastern Illinois,47.67369727,309,20.40420998,293,29.86512524,135,32.19602978,213
2018,Eastern Kentucky,49.84718826,210,19.10065674,225,27.10843373,225,33.37408313,172
2018,Eastern Michigan,51.41163185,152,18.71899367,197,30.38936372,118,29.13608131,292
2018,Eastern Washington,53.97035469,55,16.8093758,68,21.64179104,336,27.95129698,317
