,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate
0,2014,Louisville,69.1489,67.4981,118.693,119.102,88.0889,88.5345,30.5677,4,1,4.31,-4.65,53.5394,43.9233,9.6161,15.3169,24.9928,9.6759,37.1492,32.7053,4.4439,41.2186,38.3762,2.8424
1,2014,Arizona,64.521,63.1175,112.26700000000001,115.193,88.8129,84.7964,30.3964,1,0,9.3,1.62,51.7193,42.2587,9.4606,15.6909,19.0967,3.4058,36.4135,27.2727,9.1408,40.9798,34.1989,6.7809
2,2014,Florida,63.1058,61.5519,111.583,116.21600000000001,91.4732,88.4056,27.8106,1,1,9.02,2.39,52.1644,45.3616,6.8028,17.531,21.4041,3.8731,35.4331,28.4074,7.0257,42.3152,31.221999999999998,11.0932
3,2014,Virginia,60.5011,59.6528,108.671,113.85,91.0974,87.4218,26.4285,1,1,8.67,1.57,50.8493,44.1867,6.6626,16.461,18.374000000000002,1.913,33.8528,25.8454,8.0074,42.0382,32.48,9.5582
4,2014,Kansas,68.7862,66.8907,115.053,119.97399999999999,101.54799999999999,94.5731,25.4011,2,0,12.13,9.47,54.1538,47.1443,7.0095,19.1172,16.3448,-2.7724,37.3321,28.87,8.4621,48.2456,45.43600000000001,2.8096
5,2014,Duke,65.404,64.8311,119.916,124.75,102.429,99.4399,25.3098,3,0,8.76,2.4,53.8119,49.3011,4.5108,14.5535,18.5186,3.9651,35.216,31.3158,3.9002,38.7624,40.7527,-1.9903
6,2014,Villanova,67.5107,65.8913,114.18299999999999,117.154,96.7318,91.8909,25.2627,2,0,7.47,2.61,53.592,46.2884,7.3036,17.3445,19.9932,2.6487,32.6443,28.6521,3.9922,44.4678,38.6002,5.8676
7,2014,Wichita St,64.4923,63.5718,115.962,117.117,92.4094,91.93700000000001,25.1804,1,1,1.04,2.89,52.3885,44.6746,7.7139,16.2078,18.2448,2.037,34.9656,26.183000000000003,8.7826,46.8684,35.6643,11.2041
8,2014,Creighton,65.5,63.9037,121.42200000000001,125.70100000000001,103.321,100.913,24.7882,3,0,7.5,1.31,58.9304,48.4375,10.4929,14.9645,14.7895,-0.175,27.6938,27.8491,-0.1553,33.9045,32.9637,0.9408
9,2014,Wisconsin,63.8201,62.7652,115.242,120.678,101.085,96.8522,23.8262,2,0,11.44,3.33,53.2689,47.1663,6.1026,12.7175,15.3273,2.6098,28.1068,27.3651,0.7417,42.6449,27.1194,15.5255
10,2014,Michigan St,66.067,64.3969,113.38600000000001,118.20299999999999,97.9993,94.4143,23.7886,4,1,10.44,0.57,54.5391,45.8212,8.7179,17.3859,17.7415,0.3556,32.9308,27.4524,5.4784,33.7193,40.2818,-6.5625
11,2014,Michigan,63.0594,61.5484,117.14200000000001,122.369,103.024,99.5935,22.7757,2,0,11.65,0.62,55.7265,49.4103,6.3162,14.8287,17.1067,2.278,29.4013,30.4603,-1.0590000000000002,34.8638,26.6831,8.1807
12,2014,UCLA,70.4051,68.6469,115.426,118.14,99.9588,95.8826,22.2575,4,1,7.63,-3.26,54.0756,49.8573,4.2183,14.53,20.2807,5.7507,29.7735,28.6257,1.1478,38.2058,35.6633,2.5425
13,2014,Tennessee,62.935,62.0374,111.68799999999999,115.185,97.0495,93.4414,21.7438,11,0,8.12,1.46,49.7485,46.541000000000004,3.2075,16.7931,16.925,0.1319,39.6748,27.4939,12.1809,41.7505,31.5436,10.2069
14,2014,Ohio St,65.0252,64.0434,106.678,109.354,91.1081,87.6797,21.6743,6,0,7.8,-3.36,50.2933,45.2483,5.045,17.1401,21.9376,4.7975,29.5979,29.6234,-0.0255,42.2933,29.7918,12.5015
15,2014,Oklahoma St,69.4362,66.9981,113.295,115.772,97.3924,94.2393,21.5328,9,0,9.06,-1.15,52.4214,46.3209,6.1005,14.7219,20.0152,5.2933,28.0169,31.9531,-3.9362,49.6651,41.0322,8.6329
16,2014,Pittsburgh,62.9019,62.7245,112.86,116.412,97.5045,94.8924,21.5198,9,0,7.62,-3.66,50.7459,46.6613,4.0846,16.2956,19.2227,2.9271,37.2735,29.0669,8.2066,44.2901,36.4316,7.8585
17,2014,Syracuse,60.4471,59.7435,111.71700000000001,114.70700000000001,97.7423,93.2029,21.5042,3,0,7.23,-1.01,48.1847,48.0228,0.1619,14.7779,21.9736,7.1957,38.0546,31.4545,6.6001,38.174,36.6687,1.5053
18,2014,Kentucky,66.8184,64.6236,112.311,116.20200000000001,98.75,95.0512,21.1505,8,0,10.73,4.19,49.9548,45.9709,3.9839,18.1034,16.0752,-2.0282,41.9166,29.7077,12.2089,51.7397,36.812,14.9277
19,2014,Iowa,70.2372,69.1598,115.603,120.152,98.9669,99.1218,21.0299,11,0,8.35,-6.19,51.1599,47.3698,3.7901,15.7847,18.8219,3.0372,37.6054,29.0297,8.5757,45.2849,35.3791,9.9058
20,2014,Iowa St,71.953,70.4795,113.458,116.764,100.97399999999999,95.8121,20.9515,3,1,10.77,1.44,54.1536,47.6893,6.4643,14.4784,15.9262,1.4478,28.824,28.4806,0.3434,36.3555,30.7218,5.6337
21,2014,Gonzaga,66.503,64.5603,113.905,113.594,97.0929,92.9558,20.6386,8,1,5.05,2.2,55.1924,44.6338,10.5586,17.3673,17.4099,0.0426,30.5732,29.5194,1.0538,41.223,38.6063,2.6167
22,2014,VCU,70.5748,69.3132,105.321,108.679,90.8369,88.4655,20.2135,5,0,5.45,1.33,47.9053,47.7796,0.1257,17.159000000000002,25.5782,8.4192,34.9432,30.9623,3.9809,35.1548,39.7539,-4.5991
23,2014,San Diego St,63.6681,62.8054,106.932,109.055,90.8125,89.2312,19.8236,4,0,5.18,2.71,46.6916,44.3603,2.3313,15.2428,20.5546,5.3118,36.0629,29.3712,6.6917,45.0907,32.4355,12.6552
24,2014,Connecticut,65.9523,63.4064,108.213,111.355,95.4338,92.2385,19.1162,7,0,9.43,0.91,51.5495,44.556000000000004,6.9935,17.3328,19.6463,2.3135,30.4006,32.7781,-2.3775,38.3441,35.743,2.6011
25,2014,Cincinnati,63.6905,61.2764,107.367,109.197,91.9412,90.1186,19.0788,5,0,4.72,-4.57,47.7021,44.7564,2.9457,17.4356,22.4305,4.9949,39.0932,32.2438,6.8494,38.7216,35.9885,2.7331
26,2014,Oregon,69.9984,67.8101,114.697,118.258,103.295,99.4749,18.783,7,0,7.39,-1.18,53.4648,49.1348,4.33,16.0659,18.8744,2.8085,32.3049,31.8644,0.4405,43.8037,47.8238,-4.0201
27,2014,Oklahoma,71.9576,69.9669,113.353,117.88600000000001,104.559,99.4806,18.4058,5,0,9.13,0.5,51.7216,49.6712,2.0504,15.7496,17.7548,2.0052,32.4633,30.3954,2.0679,39.4491,38.4927,0.9564
28,2014,North Carolina,69.9584,69.426,107.984,111.545,97.9093,93.1571,18.3881,6,0,8.83,1.31,49.8542,46.9728,2.8814,16.9192,19.2529,2.3337,38.1216,31.2995,6.8221,42.8571,41.4058,1.4513
29,2014,Baylor,63.9036,61.1487,114.101,118.684,105.684,100.79899999999999,17.8854,6,0,10.31,-0.36,51.3343,48.6598,2.6745,17.8184,15.8434,-1.975,40.0813,32.0062,8.0751,44.9647,32.3099,12.6548
30,2014,New Mexico,65.6502,64.7417,111.79899999999999,113.78200000000001,99.3433,96.2346,17.5475,7,1,4.83,3.24,51.0805,44.9875,6.093,15.9193,14.9465,-0.9728,32.491,28.2209,4.2701,46.6235,31.3283,15.2952
31,2014,Harvard,64.5519,64.1253,111.823,112.027,92.8241,94.7095,17.3178,12,0,0.13,0.98,52.0615,46.2346,5.8269,17.6137,21.1561,3.5424,32.3499,29.2706,3.0793,48.6154,36.358000000000004,12.2574
32,2014,Stanford,67.0989,65.271,108.976,113.435,101.73,97.4392,15.9959,10,0,9.42,2.34,51.2821,47.9811,3.301,16.8816,17.0467,0.1651,29.2827,28.0632,1.2195,44.9744,37.0389,7.9355
33,2014,St Louis,67.358,65.5822,103.02799999999999,105.59899999999999,91.1002,89.8073,15.792,5,0,5.04,-1.5,49.5859,44.4018,5.1841,18.5571,20.9988,2.4417,28.7986,29.0242,-0.2256,40.3092,35.6202,4.689
34,2014,Arizona St,69.0126,67.6129,107.01899999999999,110.175,98.0732,94.7808,15.3941,10,0,7.5,-2.6,52.3758,46.3284,6.0474,16.2517,16.9845,0.7328,24.4987,30.1724,-5.6737,42.4946,37.3279,5.1667
35,2014,Xavier,65.7549,64.4463,109.087,113.691,102.80799999999999,98.6757,15.0151,12,0,7.89,0.41,51.6757,49.3517,2.324,18.7009,16.9241,-1.7768,34.0521,28.656999999999996,5.3951,41.6216,39.5462,2.0754
36,2014,Texas,69.4218,67.2135,106.37,110.262,100.598,95.2735,14.9889,7,0,9.61,-1.74,47.4237,46.5407,0.883,17.5439,16.2672,-1.2767,39.6099,30.2502,9.3597,43.3683,40.9715,2.3968
37,2014,Memphis,70.5843,67.8621,107.885,111.25200000000001,98.7813,96.3212,14.9304,8,0,7.25,0.02,51.9053,48.3863,3.5189999999999997,18.5705,20.329,1.7585,35.6897,33.2506,2.4391,39.5469,33.8115,5.7354
38,2014,BYU,73.5115,71.172,112.555,114.713,103.542,99.9591,14.7544,10,0,6.59,8.43,50.565,49.0593,1.5057,15.2617,16.5597,1.298,34.8532,28.6367,6.2165,47.646,36.8297,10.8163
39,2014,Providence,64.9039,63.2914,109.064,114.031,103.506,99.2945,14.7367,11,1,8.35,0.81,48.2863,48.9341,-0.6478,17.2685,16.2902,-0.9783,35.3808,30.6809,4.6999,41.8851,33.763000000000005,8.1221
40,2014,Kansas St,65.7266,63.6653,105.09299999999999,108.305,98.3715,93.9099,14.3949,9,0,8.17,-4.06,48.75,45.3213,3.4287,18.4587,19.0069,0.5482,34.7009,33.2183,1.4826,40.2717,45.3777,-5.106
41,2014,George Washington,68.2202,65.8095,107.234,110.212,97.7609,95.9821,14.2297,9,0,5.56,-0.08,51.4625,47.2296,4.2329,19.0156,19.6376,0.622,35.0222,31.445,3.5772,46.6335,33.3509,13.2826
42,2014,Massachusetts,71.7433,70.3142,105.60600000000001,109.84100000000001,98.03,95.6537,14.1875,6,0,7.33,5.53,50.408,46.6247,3.7833,18.7857,18.7436,-0.0421,34.3803,31.6957,2.6846,39.2147,37.2292,1.9855
43,2014,Nebraska,65.3012,64.69800000000001,102.429,108.82,99.169,95.6836,13.1363,11,0,9.3,-1.95,48.3066,47.5588,0.7478,16.7341,18.9334,2.1993,25.7646,28.9737,-3.2091,42.3648,44.8463,-2.4815
44,2014,St Josephs,66.108,64.4393,107.73,111.26100000000001,101.03,98.2332,13.0273,10,1,6.18,0.17,53.9407,47.8383,6.1024,18.6802,15.2636,-3.4166,29.4756,27.7733,1.7023,43.5998,30.6206,12.9792
45,2014,Dayton,65.7334,63.8792,110.764,113.694,101.943,100.71,12.9838,11,0,6.25,-0.57,52.3538,48.8114,3.5424,18.1456,18.8435,0.6979,33.9623,28.7459,5.2164,40.5847,43.0491,-2.4644
46,2014,North Dakota St,64.0705,63.0184,116.89,116.00399999999999,105.24600000000001,103.42,12.5832,12,1,1.38,5.32,54.5339,49.8078,4.7261,15.5752,17.137999999999998,1.5628,30.6286,27.8876,2.741,41.598,40.1666,1.4314
47,2014,Colorado,67.2652,65.097,103.71600000000001,107.9,100.113,95.4275,12.4727,8,0,8.74,1.71,48.3431,49.4209,-1.0778,19.6649,17.8082,-1.8567,34.0119,26.0834,7.9285,48.1561,30.3625,17.7936
48,2014,Stephen F Austin,65.1297,61.7091,116.07799999999999,111.44,96.7428,100.65100000000001,10.7884,12,1,-7.12,-4.19,52.2727,50.5484,1.7243,16.9111,23.5828,6.6717,38.2194,28.9256,9.2938,39.8931,50.7097,-10.8166
49,2014,New Mexico St,66.9142,65.3613,113.90299999999999,112.74600000000001,100.01,102.113,10.6331,13,1,-3.64,2.6,53.1869,44.3804,8.8065,18.7351,16.113,-2.6221,37.7005,32.9803,4.7202,53.9368,34.0538,19.883
50,2014,NC State,64.7835,64.734,108.169,113.205,106.23299999999999,102.65799999999999,10.5467,12,0,7.77,-4.31,50.0,47.5213,2.4787,15.8322,17.4788,1.6466,34.17,35.6693,-1.4993,36.9903,42.6139,-5.6236
51,2014,Manhattan,70.3644,68.0296,107.54,106.544,97.2794,96.9886,9.55527,13,1,-0.2,3.46,50.7349,45.3842,5.3507,19.7338,21.7156,1.9818,34.4398,33.3062,1.1336,55.4709,52.8469,2.6239999999999997
52,2014,Tulsa,68.7516,67.1059,105.665,105.97200000000001,96.9019,96.6323,9.33939,13,1,0.57,2.81,49.1575,46.4481,2.7094,16.782,20.2659,3.4839,30.1887,29.6085,0.5802,47.0774,47.4863,-0.4089
53,2014,North Carolina Central,64.3021,62.708,110.774,107.27600000000001,91.1249,98.9836,8.29208,14,1,-10.35,-1.94,50.2953,44.3513,5.944,17.2039,23.7212,6.5173,35.3282,33.0578,2.2704,49.6161,44.7548,4.8613
54,2014,Mercer,65.9941,63.9334,113.08,108.78,97.853,101.31299999999999,7.46633,14,1,-4.44,4.65,54.0707,46.7356,7.3351,17.4601,18.9746,1.5145,31.9013,31.1612,0.7401,37.3326,41.0229,-3.6903
55,2014,American,60.7947,59.8927,104.931,103.925,96.4633,98.0491,5.8754800000000005,15,1,-2.59,-0.1,55.7629,46.3603,9.4026,23.0141,19.6837,-3.3304,26.5143,29.7297,-3.2154,35.036,40.7156,-5.6796
56,2014,Delaware,70.8447,70.5569,111.766,111.29899999999999,105.662,105.51299999999999,5.78601,13,1,-0.68,2.88,50.3795,49.4326,0.9469,13.4088,16.7811,3.3723,29.1446,32.7982,-3.6536,43.8805,37.9669,5.9136
57,2014,Louisiana Lafayette,70.9898,68.8604,110.051,109.939,104.91,104.85,5.088769999999999,14,1,-0.57,4.65,51.512,50.3772,1.1348,18.7357,18.4766,-0.2591,36.2876,31.8866,4.401,44.2649,43.9655,0.2994
58,2014,Western Michigan,66.6172,65.2493,106.304,106.443,100.561,102.024,4.41973,14,1,-1.86,-3.25,52.032,47.5877,4.4443,20.9268,18.5193,-2.4075,31.0415,31.9516,-0.9101,51.4163,34.6491,16.7672
59,2014,Eastern Kentucky,67.1179,64.6059,114.89299999999999,111.315,106.85,108.295,3.01993,15,1,-4.97,-5.04,56.716,55.6678,1.0482,15.8414,24.156999999999996,8.3156,22.973000000000003,34.0355,-11.0625,43.1953,54.9186,-11.7233
60,2014,Wisconsin Milwaukee,67.5933,65.9973,103.161,104.63,103.86200000000001,104.266,0.3633,15,1,0.03,-2.92,49.0634,49.1411,-0.0777,19.8789,18.459,-1.4199,28.5957,31.1532,-2.5575,44.7383,36.5435,8.1948
61,2014,Weber St,63.998000000000005,63.2017,110.67399999999999,106.025,105.025,106.516,-0.49027,16,1,-6.78,6.69,54.0966,47.8062,6.2904,18.975,13.8193,-5.1557,28.3547,28.6982,-0.3435,49.7199,35.1006,14.6193
