,Unnamed: 0,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
24,38,2002,Missouri,70.7578,68.7099,112.716,115.323,101.992,100.214,15.1086,12,0,7.92,-0.39,52.996,49.2941,3.7019,19.959,20.0369,0.0779,39.659,33.3838,6.2752,31.4692,36.2353,-4.7661,0.5
25,124,2003,IUPUI,68.4166,66.9628,103.494,103.059,101.915,102.298,0.761365,16,1,-2.19,2.78,50.9518,54.4027,-3.4509,23.0373,24.0885,1.0512,34.6562,33.5738,1.0824,42.2732,33.9316,8.3416,0.8
26,126,2003,Wagner,70.2754,67.6016,107.818,104.796,101.404,105.842,-1.04621,15,1,-7.45,2.38,53.1539,51.8549,1.2990000000000002,21.5246,21.7925,0.2679,35.7479,32.6336,3.1143,33.4965,30.551,2.9455,0.8
27,114,2003,Holy Cross,65.4927,65.3578,105.962,105.034,88.5436,94.8568,10.1775,14,1,-5.57,-0.64,50.8844,46.025,4.8594,20.989,23.2305,2.2415,37.9509,26.2136,11.7373,42.1352,35.3482,6.787000000000001,1.0
28,116,2003,Weber St,67.6478,66.2827,110.098,111.03,99.6273,102.287,8.7425,12,1,-1.73,1.29,52.0574,51.6318,0.4256,18.4236,23.116,4.6924,33.5051,30.9917,2.5134,47.3815,31.6502,15.7313,1.0
29,123,2003,Vermont,65.528,64.3012,102.973,101.723,95.5798,99.8857,1.8376,16,1,-5.13,-2.29,48.7493,47.9254,0.8239,21.4373,19.7767,-1.6606,37.0424,28.0545,8.9879,34.3061,28.202,6.1041,0.8
30,118,2003,Utah St,60.9901,61.232,107.293,106.86,97.7196,100.121,6.73911,15,1,-2.0,-0.07,49.4727,49.2063,0.2664,20.3542,20.0913,-0.2629,39.5313,28.5049,11.0264,38.2754,29.0159,9.2595,0.7
31,120,2003,Colorado St,68.3241,67.1579,107.759,111.597,106.412,105.323,6.27421,14,1,4.39,-3.45,54.0816,49.4941,4.5875,23.6055,17.8332,-5.7723,36.2334,34.2884,1.945,46.3822,39.4042,6.978,0.5
32,111,2003,Western Kentucky,68.5639,67.5481,106.201,108.073,95.851,96.5019,11.5715,13,1,1.09,2.09,52.6831,47.5154,5.1677,21.9717,22.7888,0.8171,36.679,33.1683,3.5107,37.2834,33.8358,3.4476,1.0
33,109,2003,Wisconsin Milwaukee,71.3004,71.2184,108.187,109.433,98.0054,96.795,12.6377,12,1,2.06,1.05,53.5655,49.2595,4.306,20.687,24.3456,3.6586,33.2401,33.0679,0.1722,37.1031,42.5355,-5.4324,0.8
34,129,2003,UNC Asheville,69.782,67.655,100.382,100.943,110.119,114.311,-13.3682,16,1,-6.45,11.61,48.5939,51.9504,-3.3565,22.3344,18.1581,-4.1763,34.1586,37.4401,-3.2815,36.2767,37.1639,-0.8872,0.5
