,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate
0,2009,Pittsburgh,66.9968,64.7792,116.603,121.48,96.1493,92.00200000000001,29.4777,1,,10.11,0.79,52.9426,46.5116,6.431,17.987000000000002,18.7561,0.7691,42.0158,29.7243,12.2915,33.0327,30.2326,2.8001
1,2009,Memphis,67.7431,64.5834,108.992,110.759,83.4843,81.3187,29.4398,2,1.0,4.73,4.19,50.0919,41.4082,8.6837,18.082,21.8327,3.7507,37.6668,30.0985,7.5683,39.8897,35.4505,4.4392
2,2009,North Carolina,75.9017,72.454,117.352,122.645,96.1566,94.0872,28.5574,1,,9.91,1.06,52.8395,46.5532,6.2863,16.4854,20.4377,3.9523,38.8848,31.6722,7.2126,39.7531,25.3738,14.3793
3,2009,Connecticut,67.6114,65.5863,111.344,114.59700000000001,91.4777,86.5571,28.0401,1,,10.37,-1.68,51.3083,42.3502,8.9581,18.1001,16.1948,-1.9053,39.9217,30.09,9.8317,46.431999999999995,19.4645,26.9675
4,2009,Gonzaga,68.0126,66.4288,114.84200000000001,116.86200000000001,89.7464,90.9086,25.9534,4,1.0,4.63,10.61,55.1643,44.1818,10.9825,16.1103,20.9213,4.811,31.5619,31.0518,0.5101,35.4721,29.5584,5.9137
5,2009,Louisville,69.5444,66.967,105.801,109.21700000000001,88.4266,83.84899999999999,25.3676,1,1.0,9.57,-0.19,52.6953,44.2537,8.4416,19.7478,22.9543,3.2065,34.5558,31.7234,2.8324,31.3842,30.186,1.1982
6,2009,Duke,69.4428,65.5211,111.86,117.869,94.5432,92.541,25.3284,2,1.0,10.23,3.18,50.4799,47.7938,2.6861,17.355,23.3086,5.9536,37.5283,32.8864,4.6419,41.3163,31.0312,10.2851
7,2009,UCLA,65.527,64.4791,115.929,119.973,97.0572,94.8599,25.1136,6,,8.42,-3.43,54.8403,49.8058,5.0345,18.0906,23.7439,5.6533,36.297,30.9872,5.3098,31.2215,35.5716,-4.3501
8,2009,West Virginia,65.7492,63.2031,109.806,114.693,93.8755,89.6619,25.031,6,,10.95,2.11,48.4753,46.5527,1.9226,17.9154,23.250999999999998,5.3356,40.8291,31.6075,9.2216,35.9148,38.3894,-2.4746
9,2009,Missouri,72.7415,69.8579,111.229,114.53,91.3725,91.046,23.484,3,1.0,7.96,-3.76,52.7965,46.4136,6.3829,16.0485,24.7989,8.7504,34.2706,34.4828,-0.2122,36.6274,39.9162,-3.2888
10,2009,Arizona St,60.4248,58.5891,113.584,117.682,98.1255,94.244,23.4381,6,,10.14,-2.04,56.4028,46.8302,9.5726,18.5856,19.2861,0.7005,30.0099,30.151,-0.1411,38.7078,30.871,7.8368
11,2009,Oklahoma,69.3666,66.283,113.677,117.928,97.2826,94.6403,23.2882,2,,9.49,0.46,55.1776,45.7818,9.3958,19.7444,18.1359,-1.6085,36.8664,31.7972,5.0692,46.4732,28.84,17.6332
12,2009,Kansas,69.4385,66.4233,110.70200000000001,114.807,94.4339,91.6765,23.1309,3,,8.83,1.55,53.3855,43.9604,9.4251,21.531999999999996,18.8712,-2.6608,36.7391,28.9632,7.7759,39.5149,35.0495,4.4654
13,2009,Michigan St,66.5629,65.9592,108.11399999999999,112.73200000000001,94.5144,89.9494,22.7829,2,,12.33,5.81,49.7658,47.2498,2.516,20.6753,19.9242,-0.7511,40.7407,27.342,13.3987,41.0304,36.5213,4.5091
14,2009,Purdue,65.3743,65.2998,105.14,110.175,89.85,88.2115,21.9637,5,1.0,8.94,-5.45,50.0,44.0582,5.9418,17.2101,22.0338,4.8237,29.6596,32.1563,-2.4967,33.1724,31.2623,1.9101
15,2009,Washington,71.9705,71.7787,108.14200000000001,112.741,95.6615,90.8054,21.9358,4,,10.18,0.09,48.8406,46.7157,2.1249,20.0077,20.0077,0.0,41.4644,30.6693,10.7951,44.2995,33.2843,11.0152
16,2009,Villanova,69.0715,66.8453,110.17,113.63799999999999,95.8818,91.9303,21.7081,3,,9.99,-5.37,50.7521,47.2826,3.4695,18.7529,21.3564,2.6035,36.482,29.8573,6.6247,41.887,38.7524,3.1346
17,2009,Syracuse,71.52,69.2046,109.274,116.963,98.5211,95.2698,21.693,3,,11.46,0.77,54.3951,46.7065,7.6886,20.5965,18.7509,-1.8456,35.5985,35.469,0.1295,39.2841,26.2248,13.0593
18,2009,BYU,68.8705,68.4554,111.601,114.296,93.4846,92.6399,21.6562,8,,4.57,0.39,54.8431,45.9459,8.8972,16.4953,19.9394,3.4441,28.8793,25.5682,3.3111,35.2229,36.3176,-1.0947
19,2009,Marquette,69.4381,67.19800000000001,113.189,117.05799999999999,99.0492,96.07600000000001,20.9824,6,,8.22,-4.95,51.1864,50.9292,0.2572,16.49,21.1368,4.6468,34.824,30.6918,4.1322,45.3782,30.1356,15.2426
20,2009,Wake Forest,75.3508,72.3248,107.85600000000001,111.35799999999999,93.2075,91.0587,20.299,4,,7.66,-4.35,52.4067,45.1655,7.2412,20.9369,20.506999999999998,-0.4299,36.0535,30.7356,5.3179,43.483000000000004,32.7301,10.7529
21,2009,Clemson,70.5245,67.3639,111.84899999999999,116.758,95.9776,96.4646,20.2938,7,,6.19,-4.45,52.7651,48.2628,4.5023,19.9222,24.0487,4.1265,39.1828,36.3479,2.8349,31.5068,32.4647,-0.9579
22,2009,Illinois,62.8633,61.8419,101.81700000000001,106.425,89.7271,87.3285,19.0963,5,,7.96,-3.36,51.0992,44.2068,6.8924,18.8281,21.3323,2.5042,29.857,31.7662,-1.9092,22.4665,26.6919,-4.2254
23,2009,Xavier,67.0833,65.3071,107.589,111.15799999999999,92.6022,92.0625,19.0951,4,,5.81,7.97,52.3564,43.6776,8.6788,21.4689,18.5239,-2.945,37.4299,27.8011,9.6288,46.0997,32.9975,13.1022
24,2009,Utah,65.1733,64.0174,107.71600000000001,110.948,96.2666,91.91,19.0381,5,1.0,7.29,6.96,54.6324,45.0797,9.5527,20.6622,15.9223,-4.7399,28.0264,24.9356,3.0908,39.1512,36.3386,2.8126
25,2009,Texas,67.6477,64.8728,106.538,110.7,96.2428,92.1925,18.5075,7,,10.16,2.01,48.4731,45.9604,2.5127,18.4038,19.8357,1.4319,39.0457,32.6095,6.4362,38.6331,36.687,1.9461
26,2009,California,66.2593,65.2261,112.094,116.839,101.75299999999999,98.6172,18.2213,7,,9.17,-3.54,53.9502,48.985,4.9652,17.861,18.2669,0.4059,32.3227,31.1804,1.1423,34.2533,32.9594,1.2939
27,2009,Wisconsin,58.8514,58.4386,108.415,113.854,99.2701,95.8886,17.9651,12,,9.51,1.32,49.911,48.9322,0.9788,15.9844,19.3335,3.3491,31.5998,26.2546,5.3452,34.5789,34.108000000000004,0.4709
28,2009,Oklahoma St,72.5113,69.1545,111.321,115.065,101.399,97.2997,17.7655,8,,10.46,-0.28,53.9825,50.1982,3.7843,16.7592,20.4265,3.6673,27.8994,30.4897,-2.5903,39.4366,41.328,-1.8914
29,2009,USC,65.1124,62.8813,104.566,109.428,97.5739,91.7696,17.6587,10,1.0,10.81,0.74,50.8139,46.2819,4.532,21.0648,19.8,-1.2648,37.3866,31.0574,6.3292,42.2138,32.6573,9.5565
30,2009,Tennessee,71.4926,67.35600000000001,109.2,114.801,101.271,98.2193,16.5817,9,,9.4,9.15,50.9026,50.5897,0.3129,18.3115,20.6518,2.3403,37.181,30.3431,6.8379,36.6746,36.8205,-0.1459
31,2009,Ohio St,61.5882,61.9585,107.87200000000001,113.73100000000001,99.9425,97.2667,16.4647,8,,9.46,-3.41,54.75899999999999,47.691,7.068,20.865,20.4293,-0.4357,28.8411,34.2394,-5.3983,38.2571,24.6289,13.6282
