,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate
0,2015,Kentucky,63.8582,61.9696,115.91,121.27,83.6596,83.8367,37.4333,1,1,8.58,3.13,51.5116,39.5794,11.9322,16.2529,21.2721,5.0192,39.5012,31.8213,7.6799,43.8605,31.7108,12.1497
1,2015,Wisconsin,59.2656,58.0767,120.495,126.815,94.4646,93.2904,33.5251,1,1,11.03,5.3,54.7518,47.6577,7.0941,12.3664,15.7923,3.4259,32.1309,23.721999999999998,8.4089,36.1702,22.4187,13.7515
2,2015,Arizona,66.8428,65.5943,113.625,118.227,87.414,85.9123,32.3143,2,1,7.37,0.09,53.4574,45.1051,8.3523,16.5174,20.6171,4.0997,34.5088,22.3881,12.1207,47.0987,37.3142,9.7845
3,2015,Villanova,65.0568,63.8347,116.619,122.473,92.9741,91.5163,30.9562,1,1,7.67,0.23,55.3333,45.4939,9.8394,16.254,21.5588,5.3048,32.5153,31.2102,1.3051,41.7949,30.3972,11.3977
4,2015,Virginia,58.4807,57.5332,110.71600000000001,115.318,85.6441,84.4292,30.8885,2,0,8.21,0.46,50.5688,42.3145,8.2543,15.739,17.8807,2.1417,34.2557,24.2188,10.0369,34.926,28.6219,6.3041
5,2015,Duke,66.5735,65.6368,120.499,124.25299999999999,97.7779,94.9453,29.3074,1,0,11.17,1.31,56.618,46.5366,10.0814,16.2675,18.5859,2.3184,35.7717,30.1621,5.6096,39.8448,24.0245,15.8203
6,2015,Gonzaga,64.9509,64.2083,120.007,121.92,93.6311,92.9958,28.9239,2,1,4.37,3.0,57.9169,44.2436,13.6733,16.08,17.1161,1.0361,33.8983,27.9547,5.9436,38.7432,30.5423,8.2009
7,2015,Utah,62.6865,60.3923,113.65,116.43299999999999,91.0838,89.5299,26.9035,5,0,8.19,0.6,55.236999999999995,42.9893,12.2477,18.2472,18.340999999999998,0.0938,31.2625,28.4158,2.8467,43.4172,34.2681,9.1491
8,2015,Oklahoma,68.1552,66.9861,104.82600000000001,111.785,91.3524,87.6854,24.1001,3,0,11.0,1.05,49.2875,44.068999999999996,5.2185,17.6303,19.6921,2.0618,31.5235,31.4182,0.1053,32.8256,28.4395,4.3861
9,2015,Notre Dame,64.1137,63.2851,121.259,124.62299999999999,101.40700000000001,100.552,24.0703,3,1,7.59,-11.62,58.2727,47.8546,10.4181,14.5084,17.2719,2.7635,27.9215,32.1508,-4.2293,36.6812,24.0741,12.6071
10,2015,North Carolina,69.4319,69.0232,111.24,117.921,98.154,94.1249,23.7959,4,0,12.76,7.64,51.5808,45.3832,6.1976,18.221,17.6918,-0.5292,39.9696,31.1864,8.7832,35.21,37.7858,-2.5758
11,2015,Kansas,66.7924,66.6617,106.34200000000001,114.271,96.675,90.5293,23.7421,2,0,13.17,9.57,49.3674,44.6257,4.7417,19.2182,17.4749,-1.7433,34.9467,31.6327,3.3139999999999996,42.6113,33.7812,8.8301
12,2015,Baylor,62.6602,61.2742,109.564,117.19200000000001,95.7085,93.7123,23.4796,3,0,10.22,-0.51,49.8616,45.7886,4.073,20.0776,19.3073,-0.7703,41.9469,31.4703,10.4766,38.5936,32.1085,6.4851
13,2015,Iowa St,69.8477,69.3108,112.195,120.166,99.1069,97.135,23.031,3,1,10.59,-1.18,54.3082,47.5733,6.7349,15.7945,18.5322,2.7377,28.2837,29.5686,-1.2849,36.5433,23.9789,12.5644
14,2015,Wichita St,60.9344,61.4547,111.943,114.962,90.9491,93.3065,21.6555,7,0,3.24,3.44,50.3483,45.7734,4.5749,14.9927,21.3504,6.3577,34.4948,27.381,7.1138,36.1736,36.5707,-0.3971
15,2015,Ohio St,66.193,65.1703,113.772,115.31200000000001,94.6393,94.3058,21.0066,10,0,6.76,-7.41,54.2356,46.4012,7.8344,17.0248,21.6249,4.6001,33.5355,32.0064,1.5291,34.7368,27.8203,6.9165
16,2015,Northern Iowa,57.4039,58.013999999999996,112.49700000000001,115.17,92.7107,94.2192,20.9503,5,1,1.42,0.61,55.8678,45.5831,10.2847,17.8063,19.1798,1.3735,27.0127,26.9472,0.0655,39.7776,27.0208,12.7568
17,2015,Michigan St,63.1326,62.8407,110.854,115.973,97.91,95.052,20.9213,7,0,10.49,-0.88,53.2325,44.9144,8.3181,17.4424,16.4931,-0.9493,33.4609,27.0193,6.4416,32.7373,38.9734,-6.2361
18,2015,Louisville,66.242,64.8006,103.478,108.601,89.9282,88.176,20.4245,4,0,9.69,-2.36,47.7051,43.998999999999995,3.7061,17.1721,21.2967,4.1246,34.683,30.8404,3.8426,38.6719,33.2993,5.3726
19,2015,Texas,63.0775,61.7245,106.50200000000001,112.87700000000001,94.5966,92.759,20.1184,11,0,9.52,-2.47,49.1018,42.0942,7.0076,20.1106,14.0081,-6.1025,37.9155,28.5934,9.3221,36.5814,34.8167,1.7647
20,2015,Butler,64.5773,63.0408,106.552,110.554,93.8813,90.9269,19.6267,6,0,9.72,0.69,48.3528,46.7209,1.6319,16.9677,19.4948,2.5271,34.6939,25.2925,9.4014,40.7545,33.352,7.4025
21,2015,Georgetown,64.6746,63.7582,107.54799999999999,113.166,98.2031,93.59700000000001,19.5694,4,0,10.23,3.24,51.312,47.0862,4.2258,19.1802,20.2432,1.063,34.266999999999996,30.9587,3.3083,43.8677,44.0559,-0.1882
