,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
24,2002,NC State,69.9059,67.2156,108.39399999999999,112.169,96.7003,93.9116,18.2573,7,0,8.28,-5.56,52.4607,48.8391,3.6216,19.087,23.5632,4.4762,30.9711,30.6437,0.3274,38.9005,40.2985,-1.3980000000000001,0.6
25,2002,Notre Dame,70.3693,68.1446,109.0,115.319,95.8235,97.5508,17.7678,8,0,7.34,-1.55,51.4736,45.0614,6.4122,18.5731,19.6631,1.09,35.672,33.5849,2.0871,34.0447,26.4865,7.5582,0.6
26,2002,Texas Tech,72.5477,69.7493,109.07600000000001,114.262,97.7252,96.9368,17.3249,6,0,6.69,-0.13,50.2251,47.0843,3.1408,17.0043,20.9877,3.9834,34.4856,36.838,-2.3524,38.4192,23.9036,14.5156,0.7
27,2002,Michigan St,64.8412,62.9567,107.569,113.29,98.5233,96.0881,17.2017,10,0,9.76,1.5,51.6324,45.4624,6.17,23.0284,17.1594,-5.869,39.1485,29.7587,9.3898,34.7038,32.4277,2.2761,0.7
28,2002,Charlotte,68.4682,66.7234,107.288,114.501,99.05799999999999,97.5064,16.9942,9,0,9.24,6.49,51.1272,47.3368,3.7904,19.8276,19.4874,-0.3402,35.7008,32.3529,3.3479,35.6069,33.5051,2.1018,0.5
29,2002,California,68.9445,66.4567,104.04700000000001,109.706,94.9897,92.8917,16.8143,6,0,7.89,-5.85,50.2163,48.1365,2.0798,19.0354,24.7955,5.7601,32.8182,35.8356,-3.0174,36.1817,38.8188,-2.6371,0.7
30,2002,Wake Forest,73.2075,69.4424,110.631,117.448,103.941,100.76700000000001,16.6817,7,0,11.24,5.85,53.5339,50.1176,3.4163,19.8534,19.4939,-0.3595,36.6834,34.0651,2.6183,35.3868,33.4431,1.9437,0.4
31,2002,Texas,70.7855,68.8534,109.9,116.036,102.734,99.5269,16.5086,6,0,10.18,5.3,50.0477,49.7544,0.2933,19.1969,20.1856,0.9887,41.0016,34.1772,6.8244,38.8359,34.7741,4.0618,0.6
32,2002,Miami,70.5375,68.5524,104.557,110.135,93.07700000000001,93.973,16.1625,5,0,5.75,-5.04,49.1855,45.5172,3.6683,20.0316,24.125,4.0934,33.2192,36.5617,-3.3425,35.628,34.5889,1.0391,0.6
33,2002,Oklahoma St,68.8801,65.7045,103.935,107.59100000000001,92.8097,91.8978,15.6932,7,0,7.11,0.53,49.3022,45.4595,3.8427,22.0639,22.7888,0.7249,41.4655,33.1936,8.2719,38.0032,30.1251,7.8781,0.6
34,2002,UCLA,69.505,67.0304,106.244,113.259,102.93700000000001,97.9373,15.3217,8,0,12.0,8.58,53.0073,49.6265,3.3808,21.3603,19.4224,-1.9379,36.022,33.2788,2.7432,33.9435,28.1873,5.7562,0.5
35,2002,Western Kentucky,69.0281,67.0926,109.12200000000001,110.535,92.5488,95.2192,15.3154,9,1,0.23,0.29,53.5858,47.2106,6.3752,20.7666,22.6242,1.8576,36.284,29.7753,6.5087,34.825,35.4529,-0.6279,1.0
36,2002,Utah,62.6181,61.8472,107.712,111.44200000000001,97.4318,96.1611,15.2805,12,0,5.38,1.57,54.4956,48.7537,5.7419,20.9921,20.8215,-0.1706,29.4964,28.5215,0.9749,41.9591,41.2024,0.7567,0.5
